ID	Description	no.gen	tot.gen	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	ont	cluster	rat.gen
GO:0007018	microtubule-based movement	167	2430	480/14234	1.04639581021942e-21	3.78481364556365e-18	3.13423081892565e-18	LOC112573941/LOC112573876/LOC112566855/LOC112570684/LOC112553782/LOC112566478/LOC112573173/LOC112570615/LOC112576220/LOC112558188/LOC112559366/LOC112565120/LOC112556513/LOC112573620/LOC112554168/LOC112572210/LOC112554804/LOC112573825/LOC112566202/LOC112563641/LOC112562186/LOC112556344/LOC112565056/LOC112564923/LOC112573811/LOC112560841/LOC112563657/LOC112562777/LOC112563577/LOC112557527/LOC112560288/LOC112569909/LOC112555202/LOC112560232/LOC112553960/LOC112562339/LOC112560393/LOC112576655/LOC112555136/LOC112573632/LOC112562348/LOC112560742/LOC112563767/LOC112565761/LOC112562070/LOC112558546/LOC112575350/LOC112561080/LOC112573606/LOC112563961/LOC112561164/LOC112560321/LOC112553418/LOC112571168/LOC112561827/LOC112559509/LOC112564217/LOC112554732/LOC112576808/LOC112565653/LOC112570728/LOC112560317/LOC112559681/LOC112558128/LOC112566756/LOC112560066/LOC112573139/LOC112571522/LOC112558478/LOC112567792/LOC112570404/LOC112571759/LOC112569908/LOC112566953/LOC112564665/LOC112567984/LOC112566087/LOC112571420/LOC112564732/LOC112575059/LOC112563689/LOC112574048/LOC112556073/LOC112558382/LOC112564650/LOC112572825/LOC112567265/LOC112570562/LOC112571117/LOC112555258/LOC112562688/LOC112553526/LOC112560032/LOC112577188/LOC112574020/LOC112570322/LOC112575876/LOC112573418/LOC112576515/LOC112560835/LOC112554806/LOC112560134/LOC112558041/LOC112553497/LOC112554589/LOC112560752/LOC112558319/LOC112576766/LOC112560667/LOC112572718/LOC112571203/LOC112564019/LOC112554431/LOC112558160/LOC112571517/LOC112558897/LOC112558045/LOC112576682/LOC112570768/LOC112572169/LOC112563948/LOC112553650/LOC112574611/LOC112561210/LOC112561523/LOC112568589/LOC112562789/LOC112576194/LOC112570365/LOC112566730/LOC112566888/LOC112569696/LOC112570307/LOC112575243/LOC112554808/LOC112577305/LOC112571958/LOC112560415/LOC112573571/LOC112569963/LOC112574343/LOC112573550/LOC112566579/LOC112565924/LOC112567795/LOC112565544/LOC112573553/LOC112564914/LOC112570753/LOC112572462/LOC112570655/LOC112571444/LOC112575537/LOC112571830/LOC112570220/LOC112562461/LOC112572154/LOC112561068/LOC112573115/LOC112555135/LOC112572895/LOC112555670/LOC112558606/LOC112553283/LOC112561649/LOC112570021/LOC112567333	167	BP	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	6.87242798353909
GO:0044782	cilium organization	166	2430	475/14234	8.19130498307073e-22	3.78481364556365e-18	3.13423081892565e-18	LOC112565033/LOC112562125/LOC112573323/LOC112562946/LOC112553782/LOC112566478/LOC112573173/LOC112570615/LOC112576220/LOC112558188/LOC112563642/LOC112559366/LOC112554450/LOC112563859/LOC112556513/LOC112573620/LOC112554168/LOC112573825/LOC112566202/LOC112563499/LOC112576785/LOC112563641/LOC112560241/LOC112562186/LOC112567773/LOC112556634/LOC112573226/LOC112571083/LOC112568959/LOC112562777/LOC112576693/LOC112570895/LOC112563577/LOC112557527/LOC112560288/LOC112569909/LOC112555202/LOC112559722/LOC112555357/LOC112576803/LOC112562339/LOC112570860/LOC112560388/LOC112576655/LOC112570994/LOC112555136/LOC112562348/LOC112560742/LOC112575392/LOC112563767/LOC112558546/LOC112575350/LOC112561164/LOC112571168/LOC112561827/LOC112564217/LOC112554732/LOC112569858/LOC112576808/LOC112565653/LOC112570728/LOC112560317/LOC112559681/LOC112573139/LOC112571522/LOC112554591/LOC112571759/LOC112569908/LOC112564665/LOC112566087/LOC112571420/LOC112566884/LOC112575059/LOC112563689/LOC112558382/LOC112570695/LOC112564650/LOC112572825/LOC112555258/LOC112562688/LOC112570027/LOC112570322/LOC112573418/LOC112572513/LOC112560835/LOC112577176/LOC112554806/LOC112573331/LOC112558173/LOC112554589/LOC112576766/LOC112571127/LOC112571084/LOC112560667/LOC112573327/LOC112572718/LOC112557328/LOC112556459/LOC112564019/LOC112554431/LOC112558897/LOC112558045/LOC112564941/LOC112555103/LOC112572169/LOC112554755/LOC112561523/LOC112568589/LOC112570377/LOC112557760/LOC112566091/LOC112566730/LOC112570942/LOC112571983/LOC112575243/LOC112554808/LOC112577305/LOC112571958/LOC112573649/LOC112560415/LOC112573571/LOC112569963/LOC112553716/LOC112553416/LOC112565924/LOC112567795/LOC112565544/LOC112564914/LOC112572462/LOC112570655/LOC112576514/LOC112573693/LOC112553389/LOC112570378/LOC112571331/LOC112567745/LOC112571444/LOC112555965/LOC112575537/LOC112557804/LOC112571830/LOC112570220/LOC112556330/LOC112559414/LOC112561068/LOC112556338/LOC112574597/LOC112571634/LOC112570503/LOC112559415/LOC112573115/LOC112575932/LOC112571425/LOC112555135/LOC112564181/LOC112572895/LOC112555670/LOC112558606/LOC112553283/LOC112577162/LOC112561649/LOC112571704/LOC112570021/LOC112567333/LOC112561971/LOC112563757	166	BP	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	6.83127572016461
GO:0060271	cilium assembly	157	2430	460/14234	1.54774883969313e-19	2.23928302126802e-16	1.85436603088286e-16	LOC112565033/LOC112562125/LOC112573323/LOC112562946/LOC112553782/LOC112566478/LOC112573173/LOC112570615/LOC112576220/LOC112558188/LOC112563642/LOC112559366/LOC112554450/LOC112563859/LOC112556513/LOC112573620/LOC112554168/LOC112573825/LOC112566202/LOC112563499/LOC112576785/LOC112563641/LOC112562186/LOC112556634/LOC112573226/LOC112571083/LOC112568959/LOC112562777/LOC112576693/LOC112570895/LOC112563577/LOC112557527/LOC112560288/LOC112569909/LOC112555202/LOC112559722/LOC112555357/LOC112576803/LOC112570860/LOC112560388/LOC112576655/LOC112570994/LOC112555136/LOC112562348/LOC112560742/LOC112575392/LOC112563767/LOC112558546/LOC112561164/LOC112571168/LOC112561827/LOC112564217/LOC112554732/LOC112569858/LOC112576808/LOC112565653/LOC112570728/LOC112560317/LOC112559681/LOC112573139/LOC112571522/LOC112554591/LOC112571759/LOC112564665/LOC112566087/LOC112571420/LOC112566884/LOC112575059/LOC112563689/LOC112558382/LOC112570695/LOC112564650/LOC112572825/LOC112562688/LOC112570027/LOC112570322/LOC112573418/LOC112572513/LOC112560835/LOC112577176/LOC112554806/LOC112573331/LOC112558173/LOC112554589/LOC112576766/LOC112571127/LOC112571084/LOC112560667/LOC112573327/LOC112572718/LOC112557328/LOC112556459/LOC112554431/LOC112558897/LOC112558045/LOC112564941/LOC112555103/LOC112572169/LOC112554755/LOC112561523/LOC112568589/LOC112570377/LOC112557760/LOC112566091/LOC112566730/LOC112570942/LOC112571983/LOC112575243/LOC112554808/LOC112577305/LOC112571958/LOC112573649/LOC112560415/LOC112573571/LOC112569963/LOC112553716/LOC112553416/LOC112565924/LOC112567795/LOC112564914/LOC112572462/LOC112570655/LOC112576514/LOC112573693/LOC112553389/LOC112570378/LOC112571331/LOC112567745/LOC112571444/LOC112575537/LOC112557804/LOC112571830/LOC112570220/LOC112556330/LOC112559414/LOC112561068/LOC112556338/LOC112574597/LOC112571634/LOC112570503/LOC112559415/LOC112573115/LOC112575932/LOC112571425/LOC112555135/LOC112564181/LOC112572895/LOC112555670/LOC112558606/LOC112553283/LOC112577162/LOC112561649/LOC112571704/LOC112570021/LOC112567333/LOC112561971/LOC112563757	157	BP	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	6.46090534979424
GO:0042391	regulation of membrane potential	153	2430	491/14234	4.56492097576904e-15	4.71751976267332e-12	3.9066113192634e-12	LOC112572037/LOC112564851/LOC112555961/LOC112553938/LOC112566774/LOC112567533/LOC112559483/LOC112571885/LOC112569142/LOC112570046/LOC112571647/LOC112557623/LOC112554215/LOC112565911/LOC112566252/LOC112567040/LOC112574399/LOC112566447/LOC112562058/LOC112573323/LOC112565295/LOC112569792/LOC112559485/LOC112555382/LOC112575206/LOC112562932/LOC112574940/LOC112554695/LOC112571679/LOC112570462/LOC112561362/LOC112556494/LOC112566595/LOC112561372/LOC112561837/LOC112561032/LOC112563593/LOC112567844/LOC112574016/LOC112571742/LOC112562952/LOC112560821/LOC112561184/LOC112555264/LOC112559559/LOC112572607/LOC112562538/LOC112566222/LOC112554394/LOC112564325/LOC112561281/LOC112568215/LOC112572441/LOC112553967/LOC112553123/LOC112563592/LOC112572045/LOC112559482/LOC112572212/LOC112560601/LOC112577198/LOC112556256/LOC112557487/LOC112563961/LOC112574430/LOC112570159/LOC112554369/LOC112553977/LOC112564775/LOC112562356/LOC112553547/LOC112563150/LOC112564849/LOC112567332/LOC112556844/LOC112576630/LOC112573544/LOC112560395/LOC112556073/LOC112553968/LOC112565121/LOC112577252/LOC112556382/LOC112572425/LOC112572017/LOC112565030/LOC112567213/LOC112565822/LOC112576607/LOC112561272/LOC112553497/LOC112564521/LOC112558319/LOC112560055/LOC112569697/LOC112562704/LOC112556672/LOC112562827/LOC112567669/LOC112554529/LOC112567067/LOC112567241/LOC112569696/LOC112560404/LOC112563531/LOC112570840/LOC112577242/LOC112561916/LOC112570205/LOC112558139/LOC112565826/LOC112560394/LOC112572231/LOC112553421/LOC112565181/LOC112577257/LOC112566082/LOC112576396/LOC112558939/LOC112572424/LOC112558309/LOC112571448/LOC112558695/LOC112565972/LOC112572556/LOC112572612/LOC112560694/LOC112562736/LOC112562921/LOC112557207/LOC112557958/LOC112557344/LOC112559608/LOC112554143/LOC112559484/LOC112554184/LOC112560706/LOC112554531/LOC112574079/LOC112560632/LOC112572423/LOC112558747/LOC112570539/LOC112565537/LOC112576368/LOC112560817/LOC112570668/LOC112555110/LOC112566248/LOC112555462/LOC112570021/LOC112574861/LOC112561562	153	BP	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	6.2962962962963
GO:0030900	forebrain development	145	2430	489/14234	1.84950495921697e-12	1.02917837499812e-09	8.52269856105571e-10	LOC112564666/LOC112575597/LOC112564273/LOC112564620/LOC112571885/LOC112574021/LOC112556188/LOC112559593/LOC112575536/LOC112563614/LOC112565911/LOC112559942/LOC112557524/LOC112567040/LOC112573323/LOC112567253/LOC112561268/LOC112568014/LOC112554355/LOC112557718/LOC112554375/LOC112561949/LOC112561595/LOC112561837/LOC112563859/LOC112566404/LOC112557375/LOC112567687/LOC112562263/LOC112566831/LOC112559617/LOC112557022/LOC112576131/LOC112564260/LOC112556344/LOC112571786/LOC112563029/LOC112561281/LOC112575446/LOC112572526/LOC112566735/LOC112562806/LOC112556160/LOC112569077/LOC112560702/LOC112576704/LOC112556940/LOC112572976/LOC112554322/LOC112575392/LOC112573303/LOC112570270/LOC112563961/LOC112559420/LOC112574047/LOC112556014/LOC112571725/LOC112567648/LOC112576808/LOC112556451/LOC112565371/LOC112571085/LOC112564849/LOC112556452/LOC112567332/LOC112560315/LOC112556844/LOC112555783/LOC112567991/LOC112558815/LOC112570771/LOC112560593/LOC112567322/LOC112562743/LOC112570027/LOC112570915/LOC112565904/LOC112561552/LOC112575876/LOC112555855/LOC112573381/LOC112561272/LOC112576332/LOC112575854/LOC112571127/LOC112571084/LOC112560667/LOC112559435/LOC112562417/LOC112556672/LOC112554665/LOC112567669/LOC112571301/LOC112561549/LOC112566281/LOC112574277/LOC112565925/LOC112572761/LOC112570760/LOC112562006/LOC112564278/LOC112557026/LOC112566730/LOC112577149/LOC112569696/LOC112557574/LOC112570536/LOC112564033/LOC112554874/LOC112563597/LOC112558106/LOC112577395/LOC112560415/LOC112558025/LOC112560251/LOC112569897/LOC112567041/LOC112565635/LOC112558949/LOC112557964/LOC112560505/LOC112554430/LOC112571089/LOC112575639/LOC112568834/LOC112571331/LOC112559279/LOC112565039/LOC112554785/LOC112569391/LOC112564996/LOC112560436/LOC112555965/LOC112558695/LOC112554782/LOC112556894/LOC112576246/LOC112554143/LOC112560420/LOC112557455/LOC112570043/LOC112575932/LOC112569894/LOC112554603/LOC112570021	145	BP	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	5.96707818930041
GO:0022803	passive transmembrane transporter activity	152	2552	486/15404	3.02050938466005e-16	5.5059571068946e-14	4.66021447918979e-14	LOC112572037/LOC112553398/LOC112553938/LOC112570694/LOC112559483/LOC112569142/LOC112570046/LOC112571647/LOC112572968/LOC112553565/LOC112562771/LOC112554215/LOC112565911/LOC112566252/LOC112575225/LOC112574399/LOC112566447/LOC112565295/LOC112575559/LOC112569792/LOC112559485/LOC112555382/LOC112562932/LOC112561268/LOC112574940/LOC112554695/LOC112571679/LOC112570462/LOC112566595/LOC112572347/LOC112561837/LOC112574242/LOC112563593/LOC112571789/LOC112560398/LOC112571742/LOC112562952/LOC112557910/LOC112560821/LOC112554314/LOC112559559/LOC112577061/LOC112562538/LOC112560322/LOC112554394/LOC112553997/LOC112573794/LOC112560375/LOC112561281/LOC112568215/LOC112572441/LOC112553967/LOC112553123/LOC112563592/LOC112573801/LOC112570647/LOC112559482/LOC112574146/LOC112572266/LOC112560601/LOC112577198/LOC112557487/LOC112564178/LOC112574430/LOC112570159/LOC112559601/LOC112560682/LOC112564775/LOC112553547/LOC112557247/LOC112563150/LOC112570312/LOC112555535/LOC112556844/LOC112559947/LOC112576630/LOC112573544/LOC112560395/LOC112553968/LOC112556382/LOC112571003/LOC112565274/LOC112563258/LOC112576607/LOC112565191/LOC112561272/LOC112560502/LOC112553497/LOC112558319/LOC112560055/LOC112569697/LOC112554642/LOC112573995/LOC112574148/LOC112560581/LOC112562827/LOC112557374/LOC112572094/LOC112554529/LOC112560265/LOC112561084/LOC112553740/LOC112576818/LOC112567446/LOC112574226/LOC112567241/LOC112560404/LOC112566966/LOC112558986/LOC112570840/LOC112577046/LOC112561916/LOC112558690/LOC112573996/LOC112560394/LOC112572231/LOC112553421/LOC112571985/LOC112560740/LOC112577257/LOC112576396/LOC112574979/LOC112563393/LOC112558939/LOC112556130/LOC112560482/LOC112566814/LOC112563247/LOC112571444/LOC112571448/LOC112554349/LOC112555036/LOC112560694/LOC112574147/LOC112562921/LOC112554143/LOC112559484/LOC112554184/LOC112561274/LOC112560706/LOC112556674/LOC112554531/LOC112560632/LOC112560817/LOC112570668/LOC112561229/LOC112566248/LOC112558662/LOC112561368/LOC112576738/LOC112555462/LOC112577421	152	MF	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	5.95611285266458
GO:0015267	channel activity	151	2552	479/15404	1.75431974316754e-16	3.77083377487355e-14	3.19161479378012e-14	LOC112572037/LOC112553398/LOC112553938/LOC112570694/LOC112559483/LOC112569142/LOC112570046/LOC112571647/LOC112572968/LOC112553565/LOC112562771/LOC112554215/LOC112565911/LOC112566252/LOC112575225/LOC112574399/LOC112566447/LOC112565295/LOC112575559/LOC112569792/LOC112559485/LOC112555382/LOC112562932/LOC112561268/LOC112574940/LOC112554695/LOC112571679/LOC112570462/LOC112566595/LOC112572347/LOC112561837/LOC112574242/LOC112563593/LOC112571789/LOC112560398/LOC112571742/LOC112562952/LOC112557910/LOC112560821/LOC112554314/LOC112559559/LOC112577061/LOC112562538/LOC112560322/LOC112554394/LOC112553997/LOC112573794/LOC112560375/LOC112561281/LOC112568215/LOC112572441/LOC112553967/LOC112553123/LOC112563592/LOC112573801/LOC112570647/LOC112559482/LOC112574146/LOC112572266/LOC112560601/LOC112577198/LOC112557487/LOC112564178/LOC112574430/LOC112570159/LOC112559601/LOC112560682/LOC112564775/LOC112553547/LOC112557247/LOC112563150/LOC112570312/LOC112555535/LOC112556844/LOC112559947/LOC112576630/LOC112573544/LOC112560395/LOC112553968/LOC112556382/LOC112571003/LOC112565274/LOC112563258/LOC112576607/LOC112565191/LOC112561272/LOC112560502/LOC112553497/LOC112558319/LOC112560055/LOC112569697/LOC112554642/LOC112573995/LOC112574148/LOC112560581/LOC112562827/LOC112557374/LOC112572094/LOC112554529/LOC112560265/LOC112561084/LOC112553740/LOC112576818/LOC112567446/LOC112574226/LOC112567241/LOC112560404/LOC112566966/LOC112558986/LOC112570840/LOC112577046/LOC112561916/LOC112558690/LOC112573996/LOC112560394/LOC112572231/LOC112553421/LOC112571985/LOC112560740/LOC112577257/LOC112576396/LOC112574979/LOC112558939/LOC112556130/LOC112560482/LOC112566814/LOC112563247/LOC112571444/LOC112571448/LOC112554349/LOC112555036/LOC112560694/LOC112574147/LOC112562921/LOC112554143/LOC112559484/LOC112554184/LOC112561274/LOC112560706/LOC112556674/LOC112554531/LOC112560632/LOC112560817/LOC112570668/LOC112561229/LOC112566248/LOC112558662/LOC112561368/LOC112576738/LOC112555462/LOC112577421	151	MF	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	5.91692789968652
GO:0005216	ion channel activity	144	2552	449/15404	1.77311932987785e-16	3.77083377487355e-14	3.19161479378012e-14	LOC112572037/LOC112553938/LOC112570694/LOC112559483/LOC112569142/LOC112570046/LOC112571647/LOC112572968/LOC112553565/LOC112562771/LOC112554215/LOC112565911/LOC112566252/LOC112575225/LOC112574399/LOC112566447/LOC112565295/LOC112575559/LOC112569792/LOC112559485/LOC112555382/LOC112562932/LOC112561268/LOC112574940/LOC112554695/LOC112571679/LOC112570462/LOC112566595/LOC112572347/LOC112561837/LOC112574242/LOC112571789/LOC112560398/LOC112571742/LOC112562952/LOC112557910/LOC112560821/LOC112554314/LOC112559559/LOC112577061/LOC112562538/LOC112560322/LOC112554394/LOC112553997/LOC112573794/LOC112560375/LOC112561281/LOC112568215/LOC112572441/LOC112553967/LOC112553123/LOC112563592/LOC112573801/LOC112570647/LOC112559482/LOC112574146/LOC112572266/LOC112560601/LOC112577198/LOC112557487/LOC112564178/LOC112574430/LOC112570159/LOC112559601/LOC112560682/LOC112564775/LOC112553547/LOC112557247/LOC112563150/LOC112570312/LOC112555535/LOC112559947/LOC112576630/LOC112573544/LOC112560395/LOC112553968/LOC112556382/LOC112571003/LOC112563258/LOC112576607/LOC112565191/LOC112561272/LOC112560502/LOC112553497/LOC112558319/LOC112560055/LOC112569697/LOC112554642/LOC112573995/LOC112574148/LOC112560581/LOC112562827/LOC112557374/LOC112572094/LOC112554529/LOC112560265/LOC112561084/LOC112553740/LOC112576818/LOC112567446/LOC112574226/LOC112567241/LOC112560404/LOC112566966/LOC112558986/LOC112570840/LOC112561916/LOC112558690/LOC112573996/LOC112560394/LOC112572231/LOC112553421/LOC112571985/LOC112560740/LOC112577257/LOC112576396/LOC112574979/LOC112558939/LOC112556130/LOC112560482/LOC112566814/LOC112563247/LOC112571444/LOC112571448/LOC112554349/LOC112555036/LOC112560694/LOC112574147/LOC112562921/LOC112554143/LOC112559484/LOC112554184/LOC112560706/LOC112556674/LOC112554531/LOC112560632/LOC112560817/LOC112570668/LOC112561229/LOC112566248/LOC112558662/LOC112576738/LOC112555462/LOC112577421	144	MF	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	5.64263322884013
GO:0005874	microtubule	128	2448	412/14434	6.71363627912212e-13	4.02818176747327e-11	3.23314589231408e-11	LOC112573941/LOC112558727/LOC112559593/LOC112565868/LOC112556486/LOC112562125/LOC112576240/LOC112553782/LOC112573173/LOC112565120/LOC112573620/LOC112554168/LOC112572210/LOC112554804/LOC112566202/LOC112563641/LOC112556344/LOC112564923/LOC112566157/LOC112575446/LOC112571083/LOC112560197/LOC112562777/LOC112570895/LOC112560288/LOC112553820/LOC112555357/LOC112565411/LOC112553960/LOC112560393/LOC112571417/LOC112560388/LOC112570994/LOC112565165/LOC112558546/LOC112575350/LOC112558342/LOC112561080/LOC112572014/LOC112558913/LOC112573606/LOC112563961/LOC112561164/LOC112560321/LOC112561827/LOC112559509/LOC112559601/LOC112564217/LOC112576808/LOC112565653/LOC112560317/LOC112559681/LOC112558128/LOC112571522/LOC112554591/LOC112556708/LOC112570404/LOC112571759/LOC112566087/LOC112564732/LOC112570771/LOC112567265/LOC112554437/LOC112560032/LOC112561887/LOC112577188/LOC112570322/LOC112575876/LOC112576515/LOC112575856/LOC112560134/LOC112558041/LOC112558173/LOC112554589/LOC112560354/LOC112555225/LOC112560667/LOC112571989/LOC112572718/LOC112576564/LOC112571203/LOC112554431/LOC112558160/LOC112570623/LOC112558897/LOC112558045/LOC112576682/LOC112574611/LOC112562789/LOC112562006/LOC112569609/LOC112566888/LOC112564033/LOC112570878/LOC112570307/LOC112577305/LOC112553728/LOC112573649/LOC112553716/LOC112574343/LOC112573550/LOC112571650/LOC112566579/LOC112565924/LOC112573553/LOC112555835/LOC112576514/LOC112564628/LOC112553389/LOC112553732/LOC112553898/LOC112575537/LOC112574110/LOC112556330/LOC112565781/LOC112573410/LOC112575215/LOC112556559/LOC112556656/LOC112576971/LOC112575932/LOC112554575/LOC112561220/LOC112577162/LOC112565754/LOC112574512/LOC112564198/LOC112557313	128	CC	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	5.22875816993464
GO:0031253	cell projection membrane	128	2448	495/14434	2.41701654304511e-07	4.4621843871602e-06	3.58149010022069e-06	LOC112553938/LOC112559483/LOC112554129/LOC112554423/LOC112565911/LOC112571760/LOC112567040/LOC112574399/LOC112554581/LOC112565657/LOC112573323/LOC112559485/LOC112575206/LOC112561268/LOC112573196/LOC112569065/LOC112568014/LOC112555351/LOC112570462/LOC112569990/LOC112561949/LOC112561372/LOC112570544/LOC112563642/LOC112561837/LOC112563593/LOC112564249/LOC112564431/LOC112560821/LOC112561184/LOC112573134/LOC112559559/LOC112554576/LOC112572607/LOC112562538/LOC112566222/LOC112554394/LOC112554052/LOC112564190/LOC112572441/LOC112572964/LOC112572526/LOC112553123/LOC112554583/LOC112572045/LOC112557432/LOC112559482/LOC112574146/LOC112565165/LOC112565761/LOC112560307/LOC112558128/LOC112564669/LOC112564849/LOC112570312/LOC112567332/LOC112554591/LOC112556844/LOC112557792/LOC112563824/LOC112558815/LOC112556073/LOC112555534/LOC112554527/LOC112565030/LOC112564071/LOC112567782/LOC112570265/LOC112565822/LOC112555855/LOC112553497/LOC112553739/LOC112576332/LOC112560055/LOC112575854/LOC112556454/LOC112560667/LOC112554054/LOC112553745/LOC112564504/LOC112562178/LOC112567669/LOC112565107/LOC112556713/LOC112564867/LOC112568589/LOC112573633/LOC112556461/LOC112560404/LOC112563531/LOC112577395/LOC112560415/LOC112564343/LOC112554073/LOC112561916/LOC112568656/LOC112570678/LOC112570633/LOC112556465/LOC112554402/LOC112573688/LOC112575931/LOC112563393/LOC112577042/LOC112564191/LOC112571444/LOC112555292/LOC112558309/LOC112571448/LOC112560926/LOC112557507/LOC112556432/LOC112572612/LOC112562736/LOC112559608/LOC112561820/LOC112559484/LOC112560706/LOC112556674/LOC112564185/LOC112565873/LOC112556908/LOC112570811/LOC112561935/LOC112570668/LOC112558304/LOC112570021/LOC112561562	128	CC	de-up-go_s_12dpa-s_1dpa-1dpa-ref_lfc0.txt	5.22875816993464
