dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.7695687290389202	0.7177291200935791	1.2783520413558482	-17.420696586826537	2.995732273553991	3.79580080157096e-18	cilium organization	1. cilium organization	['GO:0044782', 'GO:0060271', 'GO:0008045', 'GO:0072499', 'GO:0033564', 'GO:0021952', 'GO:0021955', 'GO:0097374', 'GO:0070983', 'GO:0044458', 'GO:0120316', 'GO:0000070', 'GO:0098813', 'GO:0007059', 'GO:0000819', 'GO:0051306', 'GO:0051304', 'GO:0140014', 'GO:0007143']	GO:0044782	0
2	0.025987458906587175	0.28091461869758766	1.3597127536681144	-17.149260607200638	2.1972245773362196	7.0915209917936e-18	cilium movement	2. cilium movement	['GO:0003341', 'GO:0060294', 'GO:0051255', 'GO:0035082', 'GO:0001578', 'GO:0007288', 'GO:0031109', 'GO:1902850']	GO:0003341	0
3	0.4435634113576775	1.0091428066309918	1.2456938402224604	-11.325027359460984	2.772588722239781	4.73121452560062e-12	regulation of membrane potential	3. regulation of membrane potential	['GO:0042391', 'GO:0060078', 'GO:0007204', 'GO:0060079', 'GO:0051899', 'GO:0086011', 'GO:0060080', 'GO:0001508', 'GO:0086001', 'GO:0019228', 'GO:0035150', 'GO:0097746', 'GO:0035151', 'GO:0035152', 'GO:0042310']	GO:0042391	0
4	-0.3860747184436739	-0.1175115198446445	1.2110402769493152	-10.16974710630415	1.6094379124341003	6.76476779411879e-11	homophilic cell adhesion via plasma membrane adhesion molecu...	4. homophilic cell adhesion via plasma membrane adhesion molecu...	['GO:0098742', 'GO:0007156', 'GO:0007158', 'GO:0061343']	GO:0007156	0
5	0.29558567867939567	1.228393117482716	1.319932370169811	-9.475013585834962	1.9459101490553132	3.3495496075162e-10	neuropeptide signaling pathway	5. neuropeptide signaling pathway	['GO:0007218', 'GO:0007188', 'GO:0007187', 'GO:0007200', 'GO:0007193', 'GO:0007189']	GO:0007218	0
6	-1.342968225905599	-0.2425367614735562	1.7228531235371538	-9.470348891251245	2.1972245773362196	3.38572054389765e-10	ear development	6. ear development	['GO:0043583', 'GO:0001822', 'GO:0001656', 'GO:0021510', 'GO:0060348', 'GO:0001823', 'GO:0021983', 'GO:0030879']	GO:0043583	0
7	1.24733810439355	0.24142197714772495	1.4889707396936829	-9.026802517998506	3.332204510175204	9.40150717882446e-10	adult behavior	7. adult behavior	['GO:0030534', 'GO:0008344', 'GO:0007631', 'GO:0002209', 'GO:0035176', 'GO:0051703', 'GO:0002118', 'GO:0040040', 'GO:0007628', 'GO:0048266', 'GO:0072375', 'GO:0019098', 'GO:0007617', 'GO:0018991', 'GO:0060179', 'GO:0007619', 'GO:0007622', 'GO:0048512', 'GO:0042745', 'GO:0022410', 'GO:0050802', 'GO:0030431', 'GO:0007635', 'GO:0042048', 'GO:0008345', 'GO:0030537', 'GO:0090659']	GO:0030534	0
8	-1.3746425489743228	-0.48398970541883113	1.567311263003858	-8.986250435373597	3.295836866004329	1.03216603685532e-09	forebrain development	8. forebrain development	['GO:0030900', 'GO:0051216', 'GO:0048839', 'GO:0042246', 'GO:0021537', 'GO:0060041', 'GO:0030902', 'GO:0021543', 'GO:0060173', 'GO:0021987', 'GO:0022037', 'GO:0021536', 'GO:0060021', 'GO:0090102', 'GO:0021516', 'GO:0021544', 'GO:0021548', 'GO:0001657', 'GO:0072164', 'GO:0030323', 'GO:0072163', 'GO:0072073', 'GO:0060037', 'GO:0035270', 'GO:0021591', 'GO:0048486']	GO:0030900	0
9	0.012254268813987551	-0.1200205175675742	1.5155356578992851	-8.966576928450705	1.791759469228055	1.07999829919072e-09	cilium-dependent cell motility	9. cilium-dependent cell motility	['GO:0001539', 'GO:0060285', 'GO:0030317', 'GO:0001764', 'GO:0097475']	GO:0060285	0
10	1.2578688264200373	0.13144755775876302	1.4286698233106194	-8.922521590581095	3.4011973816621555	1.19530410066903e-09	sensory perception of mechanical stimulus	10. sensory perception of mechanical stimulus	['GO:0050954', 'GO:0007605', 'GO:0050886', 'GO:0001964', 'GO:0050905', 'GO:0003016', 'GO:0035812', 'GO:0006936', 'GO:0003012', 'GO:0006941', 'GO:0060048', 'GO:0003015', 'GO:0060047', 'GO:0099565', 'GO:0007606', 'GO:0001503', 'GO:0007608', 'GO:0019233', 'GO:0019226', 'GO:0050953', 'GO:0007601', 'GO:0033555', 'GO:0042596', 'GO:0010092', 'GO:0021871', 'GO:0021511', 'GO:0021513', 'GO:0009953', 'GO:0071910']	GO:0050954	0
11	-0.3665876535151466	-1.1410481693621193	0.8892570351134134	-8.702772088066634	1.9459101490553132	1.98256717758097e-09	potassium ion transport	11. potassium ion transport	['GO:0006813', 'GO:0071805', 'GO:0070588', 'GO:0035725', 'GO:0006814', 'GO:0070509']	GO:0006813	0
12	0.13512099468032862	1.0511723193880256	1.410618400407593	-7.602375686644764	3.828641396489095	2.49818337202137e-08	positive regulation of monoatomic ion transport	12. positive regulation of monoatomic ion transport	['GO:0043270', 'GO:0034767', 'GO:1904064', 'GO:0034764', 'GO:0032414', 'GO:0032411', 'GO:2001259', 'GO:2000179', 'GO:0034765', 'GO:0034762', 'GO:0010959', 'GO:2001257', 'GO:1904062', 'GO:0032412', 'GO:0022898', 'GO:0032409', 'GO:0045761', 'GO:0031279', 'GO:0051339', 'GO:2001258', 'GO:0099601', 'GO:1901385', 'GO:0051588', 'GO:0046928', 'GO:0051589', 'GO:0043268', 'GO:1901381', 'GO:0043266', 'GO:1901379', 'GO:0014059', 'GO:0050433', 'GO:0051952', 'GO:0051955', 'GO:0046883', 'GO:0090276', 'GO:0051048', 'GO:0017158', 'GO:0035813', 'GO:0044062', 'GO:0098801', 'GO:0051954', 'GO:0051957', 'GO:0033605', 'GO:0090279', 'GO:0090280']	GO:0043270	0
13	-1.3828342353932572	-0.3481586252901331	1.5361839389742147	-7.586798314126707	2.6390573296152584	2.58941515748423e-08	central nervous system neuron differentiation	13. central nervous system neuron differentiation	['GO:0021953', 'GO:0021879', 'GO:0001649', 'GO:0021872', 'GO:0002062', 'GO:0048665', 'GO:0001708', 'GO:0021515', 'GO:0097154', 'GO:0042490', 'GO:0060113', 'GO:0048663', 'GO:0021877']	GO:0021953	0
14	-0.8134671307327291	0.8513599672852991	1.4507861011511318	-7.1723349091712905	2.3978952727983707	6.72457885768055e-08	axonemal dynein complex assembly	14. axonemal dynein complex assembly	['GO:0070286', 'GO:0036158', 'GO:0036159', 'GO:0019991', 'GO:0120192', 'GO:0043297', 'GO:0120193', 'GO:0045216', 'GO:0007416', 'GO:0007043']	GO:0070286	0
15	-0.07481569854425797	0.9828892443452861	1.6669480790831532	-6.490091649590903	2.6390573296152584	3.2352537584747e-07	negative regulation of synaptic transmission	15. negative regulation of synaptic transmission	['GO:0050805', 'GO:0032223', 'GO:0030514', 'GO:0030510', 'GO:0021914', 'GO:0050806', 'GO:0051968', 'GO:0035025', 'GO:0051966', 'GO:0032222', 'GO:0048167', 'GO:0010738', 'GO:0010739']	GO:0050805	0
16	-1.4026356693847013	0.06040706477919376	1.785169061313494	-6.38776054574872	2.3978952727983707	4.09486373457703e-07	ear morphogenesis	16. ear morphogenesis	['GO:0048593', 'GO:0042471', 'GO:0035113', 'GO:0003007', 'GO:0048562', 'GO:0048048', 'GO:0060349', 'GO:0060443', 'GO:0042472', 'GO:0030326']	GO:0042471	0
17	0.8137854030043924	-1.140984461808135	1.6911565062480016	-6.325047683505758	2.5649493574615367	4.73099312014898e-07	response to amine	17. response to amine	['GO:0014075', 'GO:0001975', 'GO:0071418', 'GO:0060359', 'GO:0071242', 'GO:0042220', 'GO:0043279', 'GO:0051592', 'GO:0071248', 'GO:0071241', 'GO:0071294', 'GO:0010226']	GO:0014075	0
18	-0.1329086068785256	1.3229779756644957	1.4921164467831465	-6.117858028854264	2.772588722239781	7.62328174868276e-07	regulation of behavior	18. regulation of behavior	['GO:0050795', 'GO:0042749', 'GO:0048521', 'GO:0045187', 'GO:0042752', 'GO:1903522', 'GO:0008016', 'GO:0061337', 'GO:0019229', 'GO:0044060', 'GO:0031644', 'GO:0098815', 'GO:0110110', 'GO:0001759', 'GO:0031128']	GO:0050795	0
19	0.8448520605508797	-0.787216302486727	1.2572427864708269	-6.069888820895668	2.5649493574615367	8.51355956877789e-07	detection of abiotic stimulus	19. detection of abiotic stimulus	['GO:0009582', 'GO:0009583', 'GO:0009584', 'GO:0051602', 'GO:0010996', 'GO:0009612', 'GO:0043052', 'GO:0050918', 'GO:0009581', 'GO:0007602', 'GO:0050906', 'GO:0051606']	GO:0009582	0
20	0.6749259411815898	-0.2953703897646262	1.6072226875374487	-6.069888820895668	1.791759469228055	8.51355956877789e-07	regulation of cytosolic calcium ion concentration	20. regulation of cytosolic calcium ion concentration	['GO:0006874', 'GO:0051480', 'GO:0099566', 'GO:0055078', 'GO:0055075']	GO:0051480	0
21	0.10714562674286729	-1.0979929389448528	1.6069949269484922	-5.854940259282088	1.3862943611198906	1.39656045602755e-06	extracellular transport	21. extracellular transport	['GO:0006858', 'GO:0003351', 'GO:0099111']	GO:0006858	0
22	0.642785171789473	1.1160497027122025	1.2912322611776312	-5.756203365902867	1.791759469228055	1.75305940922143e-06	second-messenger-mediated signaling	22. second-messenger-mediated signaling	['GO:0019932', 'GO:0019722', 'GO:0010737', 'GO:0019935', 'GO:0019933']	GO:0019932	0
23	0.033112231188412986	-0.43684518210806467	1.5619146509445356	-5.744715733543688	2.0794415416798357	1.80004874738906e-06	neuron recognition	23. neuron recognition	['GO:0008037', 'GO:0008038', 'GO:0016198', 'GO:0070593', 'GO:0016199', 'GO:0007413', 'GO:0106030']	GO:0008038	0
24	-0.44395955364781486	0.34142204824388855	1.781033159528669	-5.541652288158348	1.0986122886681098	2.87307995296002e-06	mating	24. mating	['GO:0007618', 'GO:0097722']	GO:0007618	0
25	0.47692203644323944	1.1845829310278004	1.3305612663148922	-5.300800148281992	1.6094379124341003	5.00264691614651e-06	glutamate receptor signaling pathway	25. glutamate receptor signaling pathway	['GO:0030509', 'GO:0007215', 'GO:0035235', 'GO:0021910']	GO:0007215	0
26	0.8110218690838614	0.7726506583394974	1.6941453349405613	-5.059199403901555	3.5263605246161616	8.72570640431303e-06	regulation of axon guidance	26. regulation of axon guidance	['GO:1902667', 'GO:1902669', 'GO:1905489', 'GO:0050770', 'GO:0030517', 'GO:1905330', 'GO:0010769', 'GO:2000027', 'GO:0030516', 'GO:0061387', 'GO:0048841', 'GO:0048843', 'GO:0050922', 'GO:0040013', 'GO:0050920', 'GO:0051494', 'GO:0010639', 'GO:0051784', 'GO:0045839', 'GO:0031111', 'GO:0051447', 'GO:2000242', 'GO:2000241', 'GO:0010721', 'GO:0050768', 'GO:0051961', 'GO:0032330', 'GO:0045992', 'GO:1902866', 'GO:0045666', 'GO:0045665', 'GO:0045667', 'GO:0045668']	GO:1902667	0
27	0.33238600927746925	-0.1479815813399921	1.5582700537226553	-5.014748828365649	1.6094379124341003	9.66609750372735e-06	neuron projection extension	27. neuron projection extension	['GO:0060560', 'GO:1990138', 'GO:0048588', 'GO:0048675']	GO:1990138	0
28	-0.03567310944675489	1.3334783482453416	1.5237136381871574	-4.596168169211095	2.302585092994046	2.53414715809259e-05	regulation of ossification	28. regulation of ossification	['GO:0030278', 'GO:0045778', 'GO:0030501', 'GO:0070169', 'GO:0006937', 'GO:0090257', 'GO:0006942', 'GO:0002027', 'GO:0086091']	GO:0030278	0
29	0.07341114821175113	-0.9109422035098211	1.8263789200840066	-4.403105168192084	2.5649493574615367	3.95270890188281e-05	dopamine secretion	29. dopamine secretion	['GO:0050432', 'GO:0014046', 'GO:0015872', 'GO:0015844', 'GO:0051937', 'GO:0046879', 'GO:0009914', 'GO:0030072', 'GO:0099643', 'GO:0046717', 'GO:0060986', 'GO:0048791']	GO:0014046	0
30	-1.3173094809907653	-0.574670700429571	1.6467872222144762	-4.398137947546817	1.9459101490553132	3.99817733098192e-05	central nervous system neuron development	30. central nervous system neuron development	['GO:0021954', 'GO:0021884', 'GO:0060119', 'GO:0060856', 'GO:0060857', 'GO:0021782']	GO:0021954	0
31	0.8698685369179453	-0.04321435176471198	1.4467842715278278	-4.370818153254829	0.6931471805599453	4.25776655995937e-05	peptidyl-glutamic acid modification	31. peptidyl-glutamic acid modification	['GO:0018200']	GO:0018200	0
32	0.9381091290293504	-1.0599852403952295	1.393908668913672	-4.368913355926129	1.791759469228055	4.27648195745649e-05	response to acid chemical	32. response to acid chemical	['GO:0001101', 'GO:0071229', 'GO:0072347', 'GO:0046683', 'GO:0071230']	GO:0001101	0
33	-0.5743806200963741	-0.6300091370760839	1.2702051400349101	-4.1681484891607505	1.0986122886681098	6.78971446526763e-05	rhythmic process	33. rhythmic process	['GO:0048511', 'GO:0007623']	GO:0048511	0
34	-1.4887022788621427	-0.08680905103793903	1.5116125784720345	-3.845853764444582	2.6390573296152584	0.000142608770474713	limb morphogenesis	34. limb morphogenesis	['GO:0035108', 'GO:0001736', 'GO:0007164', 'GO:0010171', 'GO:0060042', 'GO:0003151', 'GO:0021575', 'GO:0001738', 'GO:0060603', 'GO:0060411', 'GO:0003148', 'GO:0048645', 'GO:0007432']	GO:0035108	0
35	1.1878385299788412	-1.0304005237265863	1.590737682982557	-3.8216293565990287	2.3978952727983707	0.000150789341069228	response to corticosteroid	35. response to corticosteroid	['GO:0031960', 'GO:0051384', 'GO:0014074', 'GO:0032526', 'GO:0046680', 'GO:0017085', 'GO:0071870', 'GO:0071868', 'GO:0071869', 'GO:0071867']	GO:0031960	0
36	0.2766116061189544	0.7949013333204287	1.6755150264002554	-3.8028438824701274	1.3862943611198906	0.000157454877192877	synaptic transmission, cholinergic	36. synaptic transmission, cholinergic	['GO:0007271', 'GO:0035249', 'GO:0007274']	GO:0007271	0
37	-0.16067919431811611	-1.177575570361273	1.3569031235923312	-3.672080185907337	1.0986122886681098	0.000212774615356812	neurotransmitter transport	37. neurotransmitter transport	['GO:0006836', 'GO:0007269']	GO:0006836	0
38	-0.13148413399724881	-1.0653123977525771	1.6023874444311557	-3.6716875233899184	0.6931471805599453	0.000212967080149142	amine transport	38. amine transport	['GO:0015837']	GO:0015837	0
39	1.1301724122646999	-0.7673760237877085	1.6586833880562717	-3.5319613918677	1.6094379124341003	0.000293791081624659	cellular response to BMP stimulus	39. cellular response to BMP stimulus	['GO:0071773', 'GO:0071772', 'GO:1903351', 'GO:1903350']	GO:0071773	0
40	0.32007154853657416	-0.45947677155897704	1.2815132120184884	-3.388599364535011	1.791759469228055	0.00040869623363704	toxin metabolic process	40. toxin metabolic process	['GO:0009404', 'GO:0043385', 'GO:0009407', 'GO:0046701', 'GO:0017143']	GO:0009404	0
41	-0.5442154234797838	0.06854512508508981	1.550517880535812	-3.1246779170242376	1.0986122886681098	0.000750450554743543	neural precursor cell proliferation	41. neural precursor cell proliferation	['GO:0061351', 'GO:0010463']	GO:0061351	0
42	0.4147206924510149	0.21094495355922377	1.7967072705329794	-3.1246779170242376	1.0986122886681098	0.000750450554743543	chemorepulsion of axon	42. chemorepulsion of axon	['GO:0050919', 'GO:0061643']	GO:0061643	0
43	-0.4389924327347617	-0.35476689222871377	1.8187543076795847	-3.039248136809459	1.3862943611198906	0.000913591106453472	cardiac muscle cell contraction	43. cardiac muscle cell contraction	['GO:0070252', 'GO:0086003', 'GO:0030048']	GO:0086003	0
44	1.1080735195608526	-0.5369392142573872	2.1369796601105353	-2.850897752555214	0.6931471805599453	0.00140962063119542	response to bronchodilator	44. response to bronchodilator	['GO:0097366']	GO:0097366	0
45	0.6892999022296843	0.8655438817310187	1.5781597701276817	-2.657317451752544	1.3862943611198906	0.00220131680101673	regulation of cilium movement	45. regulation of cilium movement	['GO:0032886', 'GO:0003352', 'GO:0003356']	GO:0003352	0
46	-0.7451975000831743	0.563899274681584	2.100808529477377	-2.4507404418472882	0.6931471805599453	0.00354208972504834	postsynapse assembly	46. postsynapse assembly	['GO:0099068']	GO:0099068	0
47	-0.6614445529435691	0.8207378615160016	1.7332281108535759	-2.365724720619635	0.6931471805599453	0.00430799588095826	presynapse assembly	47. presynapse assembly	['GO:0099054']	GO:0099054	0
48	-0.44232694847867926	-0.9173795899743467	1.5873394911999446	-2.3437476515567055	0.6931471805599453	0.00453160814216264	protein localization to cilium	48. protein localization to cilium	['GO:0061512']	GO:0061512	0
49	-0.20056429451229066	0.20989399523987542	1.4798971459903112	-2.1999459764130287	1.3862943611198906	0.00631035836610682	establishment of cell polarity	49. establishment of cell polarity	['GO:0007163', 'GO:0030010', 'GO:0042067']	GO:0030010	0
50	-1.2523812141620303	0.0762292007217629	1.8904800117529308	-2.1118056469435085	1.3862943611198906	0.00773026448206871	bone maturation	50. bone maturation	['GO:0070977', 'GO:0001556', 'GO:0048799']	GO:0070977	0
51	0.646168286413056	0.11423363667984669	1.9047801177460308	-2.1118056469435085	0.6931471805599453	0.00773026448206871	lauric acid metabolic process	51. lauric acid metabolic process	['GO:0048252']	GO:0048252	0
52	-0.20015922034635641	-0.6234801610026934	1.5087574432874926	-2.02612944254283	0.6931471805599453	0.00941608905834937	alkaloid metabolic process	52. alkaloid metabolic process	['GO:0009820']	GO:0009820	0
53	0.8749727706845242	0.2470252638956542	1.7825317691524658	-2.02612944254283	1.3862943611198906	0.00941608905834937	vitamin D3 metabolic process	53. vitamin D3 metabolic process	['GO:0070640', 'GO:0006584', 'GO:0009712']	GO:0070640	0
