Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0044782	GO:0044782	cilium organization	3.796e-18	0.000e+00	3.591e+00	2.566e-04
GO:0044782	GO:0060271	cilium assembly	2.246e-16	0.000e+00	3.614e+00	2.433e-04
GO:0044782	GO:0008045	motor neuron axon guidance	5.280e-04	0.000e+00	5.012e+00	9.724e-06
GO:0044782	GO:0072499	photoreceptor cell axon guidance	1.075e-03	0.000e+00	6.090e+00	8.128e-07
GO:0044782	GO:0033564	anterior/posterior axon guidance	2.555e-04	0.000e+00	5.819e+00	1.518e-06
GO:0044782	GO:0021952	central nervous system projection neuron axonogenesis	2.646e-04	0.000e+00	5.203e+00	6.264e-06
GO:0044782	GO:0021955	central nervous system neuron axonogenesis	7.066e-03	0.000e+00	5.098e+00	7.987e-06
GO:0044782	GO:0097374	sensory neuron axon guidance	4.150e-04	0.000e+00	5.962e+00	1.092e-06
GO:0044782	GO:0070983	dendrite guidance	6.324e-03	0.000e+00	6.036e+00	9.203e-07
GO:0044782	GO:0044458	motile cilium assembly	2.968e-05	0.000e+00	5.182e+00	6.570e-06
GO:0044782	GO:0120316	sperm flagellum assembly	3.698e-03	0.000e+00	5.874e+00	1.337e-06
GO:0044782	GO:0000070	mitotic sister chromatid segregation	1.410e-03	0.000e+00	4.837e+00	1.455e-05
GO:0044782	GO:0098813	nuclear chromosome segregation	3.447e-03	0.000e+00	4.322e+00	4.770e-05
GO:0044782	GO:0007059	chromosome segregation	5.883e-03	0.000e+00	2.891e+00	1.284e-03
GO:0044782	GO:0000819	sister chromatid segregation	8.347e-03	0.000e+00	4.718e+00	1.913e-05
GO:0044782	GO:0051306	mitotic sister chromatid separation	3.008e-03	0.000e+00	5.300e+00	5.011e-06
GO:0044782	GO:0051304	chromosome separation	4.553e-03	0.000e+00	3.916e+00	1.214e-04
GO:0044782	GO:0140014	mitotic nuclear division	4.699e-03	0.000e+00	5.537e+00	2.905e-06
GO:0044782	GO:0007143	female meiotic nuclear division	4.478e-03	0.000e+00	5.026e+00	9.422e-06
GO:0042391	GO:0042391	regulation of membrane potential	4.731e-12	0.000e+00	3.475e+00	3.347e-04
GO:0042391	GO:0060078	regulation of postsynaptic membrane potential	4.647e-09	0.000e+00	3.636e+00	2.314e-04
GO:0042391	GO:0007204	positive regulation of cytosolic calcium ion concentration	7.505e-04	0.000e+00	4.654e+00	2.220e-05
GO:0042391	GO:0060079	excitatory postsynaptic potential	5.678e-08	0.000e+00	3.865e+00	1.366e-04
GO:0042391	GO:0051899	membrane depolarization	2.056e-03	0.000e+00	5.083e+00	8.256e-06
GO:0042391	GO:0086011	membrane repolarization during action potential	3.542e-03	0.000e+00	5.315e+00	4.837e-06
GO:0042391	GO:0060080	inhibitory postsynaptic potential	7.028e-03	0.000e+00	5.838e+00	1.451e-06
GO:0042391	GO:0001508	action potential	2.197e-09	0.000e+00	4.770e+00	1.698e-05
GO:0042391	GO:0086001	cardiac muscle cell action potential	6.417e-03	0.000e+00	5.104e+00	7.877e-06
GO:0042391	GO:0019228	neuronal action potential	2.278e-04	0.000e+00	5.346e+00	4.504e-06
GO:0042391	GO:0035150	regulation of tube size	2.021e-06	0.000e+00	3.875e+00	1.335e-04
GO:0042391	GO:0097746	blood vessel diameter maintenance	6.300e-03	0.000e+00	3.887e+00	1.298e-04
GO:0042391	GO:0035151	regulation of tube size, open tracheal system	2.683e-05	0.000e+00	5.499e+00	3.167e-06
GO:0042391	GO:0035152	regulation of tube architecture, open tracheal system	3.919e-03	0.000e+00	5.277e+00	5.290e-06
GO:0042391	GO:0042310	vasoconstriction	9.226e-04	0.000e+00	4.384e+00	4.133e-05
GO:0030900	GO:0030900	forebrain development	1.032e-09	0.000e+00	4.794e+00	1.608e-05
GO:0030900	GO:0051216	cartilage development	5.923e-03	0.000e+00	4.363e+00	4.334e-05
GO:0030900	GO:0048839	inner ear development	1.080e-09	0.000e+00	4.680e+00	2.089e-05
GO:0030900	GO:0042246	tissue regeneration	6.324e-03	0.000e+00	4.536e+00	2.910e-05
GO:0030900	GO:0021537	telencephalon development	1.053e-05	0.000e+00	5.380e+00	4.172e-06
GO:0030900	GO:0060041	retina development in camera-type eye	3.919e-03	0.000e+00	4.694e+00	2.022e-05
GO:0030900	GO:0030902	hindbrain development	8.454e-05	0.000e+00	5.220e+00	6.019e-06
GO:0030900	GO:0021543	pallium development	1.363e-03	0.000e+00	6.298e+00	5.038e-07
GO:0030900	GO:0060173	limb development	2.375e-03	0.000e+00	4.945e+00	1.136e-05
GO:0030900	GO:0021987	cerebral cortex development	4.624e-04	0.000e+00	4.928e+00	1.181e-05
GO:0030900	GO:0022037	metencephalon development	6.436e-03	0.000e+00	6.254e+00	5.576e-07
GO:0030900	GO:0021536	diencephalon development	4.705e-05	0.000e+00	6.011e+00	9.741e-07
GO:0030900	GO:0060021	roof of mouth development	9.562e-03	0.000e+00	4.857e+00	1.389e-05
GO:0030900	GO:0090102	cochlea development	3.187e-04	0.000e+00	5.488e+00	3.248e-06
GO:0030900	GO:0021516	dorsal spinal cord development	4.890e-03	0.000e+00	5.619e+00	2.402e-06
GO:0030900	GO:0021544	subpallium development	1.838e-03	0.000e+00	5.997e+00	1.008e-06
GO:0030900	GO:0021548	pons development	7.597e-03	0.000e+00	6.726e+00	1.881e-07
GO:0030900	GO:0001657	ureteric bud development	6.028e-05	0.000e+00	5.179e+00	6.617e-06
GO:0030900	GO:0072164	mesonephric tubule development	1.533e-04	0.000e+00	5.069e+00	8.538e-06
GO:0030900	GO:0030323	respiratory tube development	9.991e-03	0.000e+00	5.647e+00	2.254e-06
GO:0030900	GO:0072163	mesonephric epithelium development	1.533e-04	0.000e+00	5.055e+00	8.807e-06
GO:0030900	GO:0072073	kidney epithelium development	1.984e-03	0.000e+00	4.752e+00	1.768e-05
GO:0030900	GO:0060037	pharyngeal system development	3.117e-03	0.000e+00	5.300e+00	5.008e-06
GO:0030900	GO:0035270	endocrine system development	8.709e-03	0.000e+00	6.304e+00	4.971e-07
GO:0030900	GO:0021591	ventricular system development	6.417e-03	0.000e+00	5.343e+00	4.538e-06
GO:0030900	GO:0048486	parasympathetic nervous system development	4.733e-03	0.000e+00	6.505e+00	3.124e-07
GO:0019932	GO:0019932	second-messenger-mediated signaling	1.753e-06	0.000e+00	3.637e+00	2.305e-04
GO:0019932	GO:0019722	calcium-mediated signaling	9.440e-03	0.000e+00	3.992e+00	1.018e-04
GO:0019932	GO:0010737	protein kinase A signaling	1.434e-03	0.000e+00	5.540e+00	2.885e-06
GO:0019932	GO:0019935	cyclic-nucleotide-mediated signaling	2.887e-05	0.000e+00	5.055e+00	8.817e-06
GO:0019932	GO:0019933	cAMP-mediated signaling	2.562e-03	0.000e+00	5.338e+00	4.595e-06
GO:0043270	GO:0043270	positive regulation of monoatomic ion transport	2.498e-08	0.000e+00	4.098e+00	7.971e-05
GO:0043270	GO:0034767	positive regulation of monoatomic ion transmembrane transport	1.038e-06	0.000e+00	4.150e+00	7.081e-05
GO:0043270	GO:1904064	positive regulation of cation transmembrane transport	5.824e-07	0.000e+00	4.245e+00	5.691e-05
GO:0043270	GO:0034764	positive regulation of transmembrane transport	2.398e-04	0.000e+00	4.087e+00	8.177e-05
GO:0043270	GO:0032414	positive regulation of ion transmembrane transporter activity	2.287e-04	0.000e+00	4.290e+00	5.129e-05
GO:0043270	GO:0032411	positive regulation of transporter activity	1.658e-03	0.000e+00	4.276e+00	5.298e-05
GO:0043270	GO:2001259	positive regulation of cation channel activity	1.260e-03	0.000e+00	4.473e+00	3.368e-05
GO:0043270	GO:2000179	positive regulation of neural precursor cell proliferation	4.532e-03	0.000e+00	5.026e+00	9.415e-06
GO:0043270	GO:0034765	regulation of monoatomic ion transmembrane transport	1.552e-07	0.000e+00	3.268e+00	5.393e-04
GO:0043270	GO:0034762	regulation of transmembrane transport	2.487e-05	0.000e+00	3.238e+00	5.783e-04
GO:0043270	GO:0010959	regulation of metal ion transport	5.482e-03	0.000e+00	3.805e+00	1.566e-04
GO:0043270	GO:2001257	regulation of cation channel activity	3.661e-06	0.000e+00	4.211e+00	6.155e-05
GO:0043270	GO:1904062	regulation of monoatomic cation transmembrane transport	4.258e-05	0.000e+00	3.930e+00	1.176e-04
GO:0043270	GO:0032412	regulation of monoatomic ion transmembrane transporter activity	6.028e-05	0.000e+00	4.011e+00	9.748e-05
GO:0043270	GO:0022898	regulation of transmembrane transporter activity	1.382e-04	0.000e+00	4.000e+00	1.001e-04
