dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.769568729038912	0.7177291200935845	1.2783520413558482	-17.42195549917469	2.995732273553991	3.78481364556365e-18	cilium organization	1. cilium organization	['GO:0044782', 'GO:0060271', 'GO:0008045', 'GO:0072499', 'GO:0033564', 'GO:0021952', 'GO:0021955', 'GO:0097374', 'GO:0070983', 'GO:0044458', 'GO:0120316', 'GO:0000070', 'GO:0098813', 'GO:0007059', 'GO:0000819', 'GO:0051306', 'GO:0051304', 'GO:0140014', 'GO:0007143']	GO:0044782	0
2	0.025987458906600574	0.28091461869756856	1.3597127536681144	-17.15051951954879	2.1972245773362196	7.07099419085251e-18	cilium movement	2. cilium movement	['GO:0003341', 'GO:0060294', 'GO:0051255', 'GO:0035082', 'GO:0001578', 'GO:0007288', 'GO:0031109', 'GO:1902850']	GO:0003341	0
3	0.4435634113576744	1.0091428066309935	1.2456938402224604	-11.326286271809137	2.772588722239781	4.71751976267332e-12	regulation of membrane potential	3. regulation of membrane potential	['GO:0042391', 'GO:0060078', 'GO:0007204', 'GO:0060079', 'GO:0051899', 'GO:0086011', 'GO:0060080', 'GO:0001508', 'GO:0086001', 'GO:0019228', 'GO:0035150', 'GO:0097746', 'GO:0035151', 'GO:0035152', 'GO:0042310']	GO:0042391	0
4	-0.3860747184435896	-0.11751151984464511	1.2110402769493152	-10.171006018652303	1.6094379124341003	6.7451867984363e-11	homophilic cell adhesion via plasma membrane adhesion molecu...	4. homophilic cell adhesion via plasma membrane adhesion molecu...	['GO:0098742', 'GO:0007156', 'GO:0007158', 'GO:0061343']	GO:0007156	0
5	0.29558567867938823	1.228393117482717	1.319932370169811	-9.476272498183116	1.9459101490553132	3.33985415034765e-10	neuropeptide signaling pathway	5. neuropeptide signaling pathway	['GO:0007218', 'GO:0007188', 'GO:0007187', 'GO:0007200', 'GO:0007193', 'GO:0007189']	GO:0007218	0
6	-1.3429682259056004	-0.24253676147355355	1.7228531235371538	-9.4716078035994	2.1972245773362196	3.37592038794701e-10	ear development	6. ear development	['GO:0043583', 'GO:0001822', 'GO:0001656', 'GO:0021510', 'GO:0060348', 'GO:0001823', 'GO:0021983', 'GO:0030879']	GO:0043583	0
7	1.2473381043935503	0.24142197714772562	1.4889707396936829	-9.028061430346659	3.332204510175204	9.37429399470932e-10	adult behavior	7. adult behavior	['GO:0030534', 'GO:0008344', 'GO:0007631', 'GO:0002209', 'GO:0035176', 'GO:0051703', 'GO:0002118', 'GO:0040040', 'GO:0007628', 'GO:0048266', 'GO:0072375', 'GO:0019098', 'GO:0007617', 'GO:0018991', 'GO:0060179', 'GO:0007619', 'GO:0007622', 'GO:0048512', 'GO:0042745', 'GO:0022410', 'GO:0050802', 'GO:0030431', 'GO:0007635', 'GO:0042048', 'GO:0008345', 'GO:0030537', 'GO:0090659']	GO:0030534	0
8	-1.3746425489743246	-0.48398970541882924	1.567311263003858	-8.987509347721753	3.295836866004329	1.02917837499812e-09	forebrain development	8. forebrain development	['GO:0030900', 'GO:0051216', 'GO:0048839', 'GO:0042246', 'GO:0021537', 'GO:0060041', 'GO:0030902', 'GO:0021543', 'GO:0060173', 'GO:0021987', 'GO:0022037', 'GO:0021536', 'GO:0060021', 'GO:0090102', 'GO:0021516', 'GO:0021544', 'GO:0021548', 'GO:0001657', 'GO:0072164', 'GO:0030323', 'GO:0072163', 'GO:0072073', 'GO:0060037', 'GO:0035270', 'GO:0021591', 'GO:0048486']	GO:0030900	0
9	0.012254268813988955	-0.12002051756756676	1.5155356578992851	-8.967835840798857	1.791759469228055	1.07687218419651e-09	cilium-dependent cell motility	9. cilium-dependent cell motility	['GO:0001539', 'GO:0060285', 'GO:0030317', 'GO:0001764', 'GO:0097475']	GO:0060285	0
10	1.2578688264200368	0.13144755775876302	1.4286698233106194	-8.92378050292925	3.4011973816621555	1.19184422663539e-09	sensory perception of mechanical stimulus	10. sensory perception of mechanical stimulus	['GO:0050954', 'GO:0007605', 'GO:0050886', 'GO:0001964', 'GO:0050905', 'GO:0003016', 'GO:0035812', 'GO:0006936', 'GO:0003012', 'GO:0006941', 'GO:0060048', 'GO:0003015', 'GO:0060047', 'GO:0099565', 'GO:0007606', 'GO:0001503', 'GO:0007608', 'GO:0019233', 'GO:0019226', 'GO:0050953', 'GO:0007601', 'GO:0033555', 'GO:0042596', 'GO:0010092', 'GO:0021871', 'GO:0021511', 'GO:0021513', 'GO:0009953', 'GO:0071910']	GO:0050954	0
