dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	1.0328782893026132	-0.37722307957221934	1.0162029030610407	-16.818843775161863	3.044522437723423	1.51759618047377e-17	gated channel activity	1. gated channel activity	['GO:0022836', 'GO:0022839', 'GO:0005261', 'GO:0005216', 'GO:0015267', 'GO:0022803', 'GO:0005267', 'GO:0022843', 'GO:0005244', 'GO:0022832', 'GO:0015271', 'GO:0099094', 'GO:0015276', 'GO:0022834', 'GO:0005231', 'GO:0004970', 'GO:0005230', 'GO:0005234', 'GO:0005227', 'GO:0015269']	GO:0022836	0
2	0.39706801952568505	0.7389178922155604	1.1544285670086023	-13.708415693391522	2.9444389791664403	1.95697062434662e-14	tubulin binding	2. tubulin binding	['GO:0015631', 'GO:0008017', 'GO:0005516', 'GO:0051015', 'GO:0030165', 'GO:0097110', 'GO:0001965', 'GO:0051018', 'GO:0045503', 'GO:0051959', 'GO:0008179', 'GO:0031681', 'GO:0045504', 'GO:0031690', 'GO:0001664', 'GO:0031698', 'GO:0070700', 'GO:0033612']	GO:0015631	0
3	0.8914554253771129	0.5506512694869965	1.3151598986467854	-11.287209958289445	2.8903717578961645	5.16166769755624e-12	neurotransmitter receptor activity	3. neurotransmitter receptor activity	['GO:0030594', 'GO:0022824', 'GO:0022835', 'GO:0099528', 'GO:0099529', 'GO:0098960', 'GO:1904315', 'GO:0099583', 'GO:0008188', 'GO:0008528', 'GO:0001653', 'GO:0004983', 'GO:0005000', 'GO:0008066', 'GO:0015277', 'GO:0009881', 'GO:0008020']	GO:0030594	0
4	-1.0829574585824788	0.01431029512622261	1.0698509352641898	-9.140031174301708	1.6094379124341003	7.24383960854188e-10	cytoskeletal motor activity	4. cytoskeletal motor activity	['GO:0003774', 'GO:0003777', 'GO:0008569', 'GO:0008574']	GO:0003774	0
5	1.094015964743878	-0.10365590377676714	1.0962296859150522	-9.018027518829822	1.791759469228055	9.59339841551136e-10	potassium ion transmembrane transporter activity	5. potassium ion transmembrane transporter activity	['GO:0015079', 'GO:0005249', 'GO:0005272', 'GO:0015081', 'GO:0005248']	GO:0015079	0
6	-0.7488743564214233	0.6821561448144019	1.7825850908767262	-6.4781154073369365	0.6931471805599453	3.32571165680907e-07	neurotransmitter binding	6. neurotransmitter binding	['GO:0042165']	GO:0042165	0
7	0.306425885194348	0.07247882940052554	1.6228770563842823	-5.072822779004868	2.1972245773362196	8.45623845460583e-06	peptide hormone binding	7. peptide hormone binding	['GO:0042277', 'GO:0017046', 'GO:0033218', 'GO:0042562', 'GO:0042923', 'GO:0016595', 'GO:0016594', 'GO:0016597']	GO:0017046	0
8	-0.2982211750043573	0.9473593775332415	1.398353749612271	-3.773890765956597	0.6931471805599453	0.000168309734162418	heparin binding	8. heparin binding	['GO:0008201']	GO:0008201	0
9	-0.5959858680193225	0.24208784625644394	1.7671783727558301	-3.2815849229467466	1.0986122886681098	0.00052289570794931	serotonin binding	9. serotonin binding	['GO:0043176', 'GO:0051378']	GO:0051378	0
10	-0.8037128841224979	-0.4456453967364973	1.8590683928105791	-2.5630706795809055	0.6931471805599453	0.00273482360916956	thromboxane-A synthase activity	10. thromboxane-A synthase activity	['GO:0004796']	GO:0004796	0
11	-0.47456851382847476	-0.9291141568077228	1.8638271567501254	-2.376471306513936	0.6931471805599453	0.00420270293679325	estrogen 2-hydroxylase activity	11. estrogen 2-hydroxylase activity	['GO:0101021']	GO:0101021	0
12	0.06708666433373452	-1.028022988759138	1.9266224185437053	-2.315377785598532	0.6931471805599453	0.00483751377169273	all-trans retinoic acid 18-hydroxylase activity	12. all-trans retinoic acid 18-hydroxylase activity	['GO:0062183']	GO:0062183	0
13	-0.2219740073550282	-1.0135297448384528	1.817018004506186	-2.220917914790463	0.6931471805599453	0.00601287374976034	retinoic acid 4-hydroxylase activity	13. retinoic acid 4-hydroxylase activity	['GO:0008401']	GO:0008401	0
14	-0.11297231740682728	0.31410052039614245	1.3521457712044684	-2.2102534491274906	0.6931471805599453	0.00616235269282878	calcium-dependent phospholipid binding	14. calcium-dependent phospholipid binding	['GO:0005544']	GO:0005544	0
15	0.06665902186327474	1.0152127323616702	1.5667057623098952	-2.086764052017038	0.6931471805599453	0.00818909572934556	cAMP binding	15. cAMP binding	['GO:0030552']	GO:0030552	0
16	0.483677310399764	-0.6800836371004076	1.2798483077687965	-2.0147144480155137	1.0986122886681098	0.00966686273788251	nucleoside diphosphate kinase activity	16. nucleoside diphosphate kinase activity	['GO:0016776', 'GO:0004550']	GO:0004550	0
