dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.2532043573732762	-0.9905207154204226	1.4068176014019682	-22.341909047263524	0.6931471805599453	4.55083356646889e-23	axoneme	1. axoneme	['GO:0005930']	GO:0005930	0
2	0.4226015046108615	0.5267381783489692	1.6878896622949058	-22.09198484333582	1.3862943611198906	8.09124136720734e-23	ciliary plasm	2. ciliary plasm	['GO:0032838', 'GO:0097014', 'GO:0032839']	GO:0097014	0
3	0.7598496721063878	-1.4791567166445019	1.2706081460512713	-19.575453044968434	1.3862943611198906	2.65795090623823e-20	motile cilium	3. motile cilium	['GO:0031514', 'GO:0097729', 'GO:0036126']	GO:0031514	0
4	-1.6866280476972804	0.03120521523756467	1.1516741653157216	-15.063077198400329	1.6094379124341003	8.64814179301556e-16	monoatomic ion channel complex	4. monoatomic ion channel complex	['GO:0034702', 'GO:0034703', 'GO:0034706', 'GO:0034704']	GO:0034702	0
5	0.7205375049089185	1.4647305891826883	1.0717622275360685	-13.816468988985786	1.3862943611198906	1.52591734980732e-14	synaptic membrane	5. synaptic membrane	['GO:0097060', 'GO:0045211', 'GO:0042734']	GO:0097060	0
6	-1.2188929572934117	0.7571907475603923	1.1358604537169412	-10.727580624210187	1.3862943611198906	1.87248943412486e-11	microtubule associated complex	6. microtubule associated complex	['GO:0005875', 'GO:0030286', 'GO:0005871']	GO:0005875	0
7	-1.6482239316732374	0.17869563527920923	0.8097955537924798	-10.468784491159722	1.0986122886681098	3.3979384579288e-11	transmembrane transporter complex	7. transmembrane transporter complex	['GO:1902495', 'GO:1990351']	GO:1902495	0
8	0.9479693923385675	1.2821061056194978	1.5890858539998638	-9.966787630092082	1.791759469228055	1.07947445596446e-10	neuron projection membrane	8. neuron projection membrane	['GO:0031256', 'GO:0032589', 'GO:0032591', 'GO:0032590', 'GO:0030673']	GO:0032589	0
9	0.9255184303604139	1.38781912785784	1.3277324152423962	-9.177144509768853	1.0986122886681098	6.65051826019206e-10	cell projection membrane	9. cell projection membrane	['GO:0031253', 'GO:0060170']	GO:0031253	0
10	-1.0904068043034585	0.7840599596351223	1.5386573712254965	-8.853856374252054	1.3862943611198906	1.400050257349e-09	axonemal dynein complex	10. axonemal dynein complex	['GO:0005858', 'GO:0036157', 'GO:0036156']	GO:0005858	0
11	0.1255577350078422	-0.6485018784104312	1.0038888648977267	-8.129042334189913	0.6931471805599453	7.42946713351694e-09	microtubule	11. microtubule	['GO:0005874']	GO:0005874	0
12	-1.3886778519139196	-0.3347017904760355	1.2868469998942929	-7.863452125349985	1.3862943611198906	1.36945534260422e-08	receptor complex	12. receptor complex	['GO:0043235', 'GO:0098802', 'GO:0097648']	GO:0043235	0
13	-1.4217618205512894	0.30092368479045434	1.537684227412342	-7.813748494978478	1.6094379124341003	1.53550595485179e-08	neurotransmitter receptor complex	13. neurotransmitter receptor complex	['GO:0098878', 'GO:0008328', 'GO:0032281', 'GO:0032983']	GO:0098878	0
14	-1.6142619007169585	-0.02535209125713257	1.3372491630670913	-7.2086154010716434	1.0986122886681098	6.18563940416431e-08	potassium channel complex	14. potassium channel complex	['GO:0034705', 'GO:0008076']	GO:0034705	0
15	1.0376495854563674	0.28002681571319804	1.4195417980205032	-6.643599807547771	0.6931471805599453	2.27195744452489e-07	perikaryon	15. perikaryon	['GO:0043204']	GO:0043204	0
16	0.7898299178444333	-1.3611825723151116	1.5484483013577461	-6.643599807547771	1.3862943611198906	2.27195744452489e-07	non-motile cilium	16. non-motile cilium	['GO:0097730', 'GO:0097731', 'GO:0097733']	GO:0097730	0
17	0.599621853799344	-1.4796613434235681	1.3740255682042903	-6.534218816568407	1.6094379124341003	2.92267943298778e-07	actin-based cell projection	17. actin-based cell projection	['GO:0098858', 'GO:0030175', 'GO:0005902', 'GO:0032420']	GO:0098858	0
18	-0.20544926294760382	1.0136755144210292	1.7395566146346944	-6.277343125151868	1.3862943611198906	5.2802790535618e-07	septate junction	18. septate junction	['GO:0005918', 'GO:0043296', 'GO:0070160']	GO:0005918	0
19	0.5837697368823035	1.3977767496333244	1.518198357030371	-5.358743451458419	1.0986122886681098	4.3778063669007e-06	postsynaptic specialization membrane	19. postsynaptic specialization membrane	['GO:0099634', 'GO:0098839']	GO:0099634	0
20	0.9731642093356709	0.06184808208092865	1.599412504850087	-5.333263234877643	1.0986122886681098	4.64233808206657e-06	neuron projection terminus	20. neuron projection terminus	['GO:0044306', 'GO:0043679']	GO:0044306	0
21	-0.27482188640477306	0.9227949779918029	1.6256957276281268	-4.933813380260299	1.791759469228055	1.16462637097389e-05	excitatory synapse	21. excitatory synapse	['GO:0060076', 'GO:0031594', 'GO:0098685', 'GO:0098982', 'GO:0060077']	GO:0060076	0
22	0.9333817431888057	-1.2686074731539028	1.4654719698671392	-4.778711933402834	1.3862943611198906	1.66451635441065e-05	dendritic spine	22. dendritic spine	['GO:0043197', 'GO:0044309', 'GO:0044308']	GO:0043197	0
23	-0.29289346190851157	-0.6148554810808158	1.4396158825573226	-4.69782917964247	0.6931471805599453	2.00526059823172e-05	ciliary basal body	23. ciliary basal body	['GO:0036064']	GO:0036064	0
24	0.5939812048087948	0.20179222425440113	1.88453533360317	-4.384197794638039	0.6931471805599453	4.12859426886707e-05	distal axon	24. distal axon	['GO:0150034']	GO:0150034	0
25	0.4556289172251182	-0.6325794846327253	1.7361482552526377	-3.9475546713545464	0.6931471805599453	0.000112835388525471	stereocilium bundle	25. stereocilium bundle	['GO:0032421']	GO:0032421	0
26	-0.5600277065717553	-0.691405784824342	1.4148056707044514	-3.8769300225670817	0.6931471805599453	0.00013276083566954	external side of plasma membrane	26. external side of plasma membrane	['GO:0009897']	GO:0009897	0
27	0.09463535740291561	0.27933767265025833	1.622158126620702	-3.6913323357655594	0.6931471805599453	0.000203548386545869	sperm midpiece	27. sperm midpiece	['GO:0097225']	GO:0097225	0
28	0.20054504714836394	0.7731476759849899	1.4112691397272001	-3.587482505294006	0.6931471805599453	0.000258533898280209	sarcolemma	28. sarcolemma	['GO:0042383']	GO:0042383	0
29	-0.4893088374149938	-0.9364410144495569	1.8323392381455919	-3.583934032887705	0.6931471805599453	0.000260654944147031	main axon	29. main axon	['GO:0044304']	GO:0044304	0
30	0.5255428092520291	-0.3833199812414182	1.595269332741035	-3.4666500707556995	0.6931471805599453	0.000341467935818054	cell leading edge	30. cell leading edge	['GO:0031252']	GO:0031252	0
31	-0.04246692428020773	-0.28286733508557466	1.69418596054409	-3.3139959534736407	0.6931471805599453	0.000485293021844846	dendritic shaft	31. dendritic shaft	['GO:0043198']	GO:0043198	0
32	0.7768976764804906	-0.2233145587556791	1.6274554397433982	-3.297752590575528	0.6931471805599453	0.000503787525363169	terminal bouton	32. terminal bouton	['GO:0043195']	GO:0043195	0
33	1.124885329637084	-0.12120589203006293	1.8789415368121636	-3.2408206142963216	0.6931471805599453	0.000574353650480462	postsynaptic endocytic zone	33. postsynaptic endocytic zone	['GO:0098843']	GO:0098843	0
34	-0.013355397406914485	-0.9089471909864939	1.712757868620224	-3.115078276086283	0.6931471805599453	0.000767223194624247	manchette	34. manchette	['GO:0002177']	GO:0002177	0
35	0.9660013946338779	-0.3956973047761037	1.682164714061749	-3.068423699719351	1.0986122886681098	0.000854232912612812	axonal growth cone	35. axonal growth cone	['GO:0030426', 'GO:0044295']	GO:0044295	0
36	-0.9310599058972978	-0.0916621968793905	1.806560680060276	-2.7942360867916682	0.6931471805599453	0.00160606794118739	stereocilia ankle link complex	36. stereocilia ankle link complex	['GO:0002142']	GO:0002142	0
37	-0.0933131507345197	0.5639619098446872	1.7021764334450147	-2.6835672708789837	0.6931471805599453	0.00207220505653465	myofilament	37. myofilament	['GO:0036379']	GO:0036379	0
38	0.28269715410419094	-0.0641443601143841	1.6865588034375079	-2.4679667044707485	1.0986122886681098	0.00340434288363979	cell body membrane	38. cell body membrane	['GO:0044298', 'GO:0032809']	GO:0044298	0
39	0.7838414013596076	0.4468192107673685	1.8238547799704847	-2.447932751520377	1.0986122886681098	0.00356506332499133	stereocilia ankle link	39. stereocilia ankle link	['GO:0002139', 'GO:0002141']	GO:0002141	0
40	-0.84763888095097	0.307109243392488	1.8367208082957633	-2.2741705988253775	0.6931471805599453	0.00531899278446917	USH2 complex	40. USH2 complex	['GO:1990696']	GO:1990696	0
41	-0.3628233156137215	-0.2598664167693317	1.5809854424877445	-2.16871915916079	0.6931471805599453	0.00678079852935366	spindle midzone	41. spindle midzone	['GO:0051233']	GO:0051233	0
42	-0.18889117623828938	0.23223226248076992	1.440872632635482	-2.0287419512613933	0.6931471805599453	0.00935961637877524	synaptic vesicle membrane	42. synaptic vesicle membrane	['GO:0030672']	GO:0030672	0
