Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0031253	GO:0031253	cell projection membrane	6.651e-10	0.000e+00	3.772e+00	1.689e-04
GO:0031253	GO:0060170	ciliary membrane	5.451e-03	0.000e+00	4.249e+00	5.640e-05
GO:0097060	GO:0097060	synaptic membrane	1.526e-14	0.000e+00	2.921e+00	1.201e-03
GO:0097060	GO:0045211	postsynaptic membrane	1.231e-13	0.000e+00	3.046e+00	8.999e-04
GO:0097060	GO:0042734	presynaptic membrane	1.323e-08	0.000e+00	4.614e+00	2.432e-05
GO:0005874	GO:0005874	microtubule	7.429e-09	0.000e+00	2.729e+00	1.867e-03
GO:0150034	GO:0150034	distal axon	4.129e-05	0.000e+00	6.583e+00	2.610e-07
GO:0031252	GO:0031252	cell leading edge	3.415e-04	0.000e+00	4.930e+00	1.176e-05
GO:1902495	GO:1902495	transmembrane transporter complex	3.398e-11	0.000e+00	2.247e+00	5.657e-03
GO:1902495	GO:1990351	transporter complex	6.651e-10	0.000e+00	2.242e+00	5.723e-03
GO:0031514	GO:0031514	motile cilium	2.658e-20	0.000e+00	3.563e+00	2.735e-04
GO:0031514	GO:0097729	9+2 motile cilium	1.577e-13	0.000e+00	4.713e+00	1.937e-05
GO:0031514	GO:0036126	sperm flagellum	3.398e-11	0.000e+00	4.860e+00	1.379e-05
GO:0043235	GO:0043235	receptor complex	1.369e-08	0.000e+00	3.621e+00	2.391e-04
GO:0043235	GO:0098802	plasma membrane signaling receptor complex	3.194e-03	0.000e+00	3.744e+00	1.803e-04
GO:0043235	GO:0097648	G protein-coupled receptor complex	8.049e-03	0.000e+00	5.420e+00	3.804e-06
GO:0034702	GO:0034702	monoatomic ion channel complex	8.648e-16	0.000e+00	3.163e+00	6.863e-04
GO:0034702	GO:0034703	cation channel complex	1.811e-15	0.000e+00	3.334e+00	4.639e-04
GO:0034702	GO:0034706	sodium channel complex	1.588e-10	0.000e+00	3.906e+00	1.242e-04
GO:0034702	GO:0034704	calcium channel complex	9.360e-03	0.000e+00	3.767e+00	1.708e-04
GO:0098858	GO:0098858	actin-based cell projection	2.923e-07	0.000e+00	3.951e+00	1.119e-04
GO:0098858	GO:0030175	filopodium	2.769e-03	0.000e+00	4.203e+00	6.267e-05
GO:0098858	GO:0005902	microvillus	8.192e-03	0.000e+00	4.479e+00	3.322e-05
GO:0098858	GO:0032420	stereocilium	3.852e-05	0.000e+00	4.805e+00	1.568e-05
GO:0097014	GO:0032838	plasma membrane bounded cell projection cytoplasm	7.149e-18	0.000e+00	4.708e+00	1.961e-05
GO:0097014	GO:0097014	ciliary plasm	8.091e-23	0.000e+00	5.408e+00	3.908e-06
GO:0097014	GO:0032839	dendrite cytoplasm	5.319e-03	0.000e+00	5.430e+00	3.712e-06
GO:0005930	GO:0005930	axoneme	4.551e-23	0.000e+00	4.083e+00	8.261e-05
GO:0044306	GO:0044306	neuron projection terminus	4.642e-06	0.000e+00	4.950e+00	1.122e-05
