Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0005261	GO:0005216	monoatomic ion channel activity	6.321e-19	0.000e+00	2.261e+00	5.486e-03
GO:0005261	GO:0005261	monoatomic cation channel activity	6.986e-20	0.000e+00	2.503e+00	3.142e-03
GO:0005261	GO:0015267	channel activity	6.630e-19	0.000e+00	2.200e+00	6.313e-03
GO:0005261	GO:0022803	passive transmembrane transporter activity	6.630e-19	0.000e+00	2.200e+00	6.313e-03
GO:0005261	GO:0005267	potassium channel activity	2.007e-12	0.000e+00	3.284e+00	5.196e-04
GO:0005261	GO:0015294	solute:monoatomic cation symporter activity	8.840e-03	0.000e+00	3.299e+00	5.020e-04
GO:0005261	GO:0008519	ammonium transmembrane transporter activity	7.351e-03	0.000e+00	3.828e+00	1.487e-04
GO:0005261	GO:0005262	calcium channel activity	4.548e-04	0.000e+00	3.466e+00	3.420e-04
GO:0005261	GO:0015085	calcium ion transmembrane transporter activity	5.675e-04	0.000e+00	3.228e+00	5.912e-04
GO:0005261	GO:0005245	voltage-gated calcium channel activity	6.345e-03	0.000e+00	4.020e+00	9.545e-05
GO:0005261	GO:0005272	sodium channel activity	5.634e-09	0.000e+00	3.759e+00	1.741e-04
GO:0005261	GO:0015081	sodium ion transmembrane transporter activity	3.579e-08	0.000e+00	3.204e+00	6.250e-04
GO:0005261	GO:0015370	solute:sodium symporter activity	6.553e-03	0.000e+00	3.547e+00	2.840e-04
GO:0005261	GO:0005248	voltage-gated sodium channel activity	3.663e-04	0.000e+00	4.461e+00	3.460e-05
GO:0022836	GO:0022836	gated channel activity	5.899e-23	0.000e+00	2.763e+00	1.727e-03
GO:0022836	GO:0022839	monoatomic ion gated channel activity	1.153e-21	0.000e+00	2.765e+00	1.718e-03
GO:0022836	GO:0015276	ligand-gated monoatomic ion channel activity	2.393e-12	0.000e+00	3.183e+00	6.561e-04
GO:0022836	GO:0022834	ligand-gated channel activity	2.393e-12	0.000e+00	3.183e+00	6.562e-04
GO:0022836	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	3.913e-08	0.000e+00	3.456e+00	3.500e-04
GO:0022836	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	1.022e-09	0.000e+00	4.098e+00	7.977e-05
GO:0022836	GO:0005234	extracellularly glutamate-gated ion channel activity	1.942e-06	0.000e+00	6.721e+00	1.901e-07
GO:0022836	GO:0099094	ligand-gated monoatomic cation channel activity	7.830e-13	0.000e+00	3.731e+00	1.856e-04
GO:0022836	GO:0022848	acetylcholine-gated monoatomic cation-selective channel activity	9.284e-04	0.000e+00	4.284e+00	5.205e-05
GO:0022836	GO:0022843	voltage-gated monoatomic cation channel activity	5.465e-14	0.000e+00	3.490e+00	3.235e-04
GO:0022836	GO:0005244	voltage-gated monoatomic ion channel activity	2.037e-13	0.000e+00	3.122e+00	7.548e-04
GO:0022836	GO:0022832	voltage-gated channel activity	2.037e-13	0.000e+00	3.117e+00	7.633e-04
GO:0022836	GO:0015271	outward rectifier potassium channel activity	8.344e-05	0.000e+00	5.857e+00	1.391e-06
GO:0022836	GO:0005227	calcium activated cation channel activity	8.384e-04	0.000e+00	4.091e+00	8.109e-05
GO:0022836	GO:0015269	calcium-activated potassium channel activity	5.783e-03	0.000e+00	4.454e+00	3.519e-05
GO:0042277	GO:0033218	amide binding	4.836e-07	0.000e+00	2.923e+00	1.193e-03
GO:0042277	GO:0042277	peptide binding	5.476e-10	0.000e+00	3.856e+00	1.392e-04
GO:0042277	GO:0001540	amyloid-beta binding	7.366e-03	0.000e+00	4.532e+00	2.938e-05
GO:0042277	GO:0017046	peptide hormone binding	1.383e-06	0.000e+00	5.068e+00	8.558e-06
GO:0042277	GO:0042562	hormone binding	1.434e-05	0.000e+00	4.446e+00	3.579e-05
GO:0042277	GO:0042923	neuropeptide binding	7.592e-04	0.000e+00	5.835e+00	1.461e-06
GO:0042277	GO:0016595	glutamate binding	5.733e-04	0.000e+00	6.274e+00	5.322e-07
GO:0042277	GO:0016594	glycine binding	6.326e-04	0.000e+00	5.031e+00	9.308e-06
GO:0015631	GO:0015631	tubulin binding	4.346e-08	0.000e+00	3.172e+00	6.727e-04
GO:0015631	GO:0008017	microtubule binding	1.460e-07	0.000e+00	3.272e+00	5.341e-04
GO:0015631	GO:0017022	myosin binding	4.445e-03	0.000e+00	4.461e+00	3.463e-05
GO:0015631	GO:0051015	actin filament binding	1.195e-03	0.000e+00	3.643e+00	2.276e-04
GO:0015631	GO:0003779	actin binding	3.395e-03	0.000e+00	2.919e+00	1.206e-03
