Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0150034	GO:0150034	distal axon	7.834e-07	0.000e+00	6.583e+00	2.610e-07
GO:0005874	GO:0005874	microtubule	1.934e-06	0.000e+00	2.729e+00	1.867e-03
GO:0031252	GO:0031252	cell leading edge	2.598e-03	0.000e+00	4.930e+00	1.176e-05
GO:0045211	GO:0097060	synaptic membrane	1.201e-15	0.000e+00	2.921e+00	1.201e-03
GO:0045211	GO:0045211	postsynaptic membrane	2.293e-15	0.000e+00	3.046e+00	8.999e-04
GO:0045211	GO:0099634	postsynaptic specialization membrane	2.744e-06	0.000e+00	4.564e+00	2.729e-05
GO:0045211	GO:0009925	basal plasma membrane	6.642e-03	0.000e+00	4.828e+00	1.485e-05
GO:0045211	GO:0016323	basolateral plasma membrane	8.511e-03	0.000e+00	4.140e+00	7.241e-05
GO:0045211	GO:0042734	presynaptic membrane	1.460e-09	0.000e+00	4.614e+00	2.432e-05
GO:0045211	GO:0098839	postsynaptic density membrane	6.210e-05	0.000e+00	4.634e+00	2.325e-05
GO:0045211	GO:0032589	neuron projection membrane	3.480e-11	0.000e+00	4.899e+00	1.261e-05
GO:0045211	GO:0031256	leading edge membrane	1.048e-07	0.000e+00	4.144e+00	7.179e-05
GO:0045211	GO:0032591	dendritic spine membrane	1.411e-04	0.000e+00	5.182e+00	6.580e-06
GO:0045211	GO:0032590	dendrite membrane	1.521e-03	0.000e+00	5.444e+00	3.601e-06
GO:0045211	GO:0030673	axolemma	7.795e-04	0.000e+00	5.922e+00	1.198e-06
GO:0045211	GO:0031253	cell projection membrane	2.549e-11	0.000e+00	3.772e+00	1.689e-04
GO:0045211	GO:0060170	ciliary membrane	8.871e-03	0.000e+00	4.249e+00	5.640e-05
GO:0034702	GO:0034702	monoatomic ion channel complex	2.570e-19	0.000e+00	3.163e+00	6.863e-04
GO:0034702	GO:0034703	cation channel complex	3.912e-17	0.000e+00	3.334e+00	4.639e-04
GO:0034702	GO:0034706	sodium channel complex	3.359e-10	0.000e+00	3.906e+00	1.242e-04
GO:0034702	GO:0034704	calcium channel complex	4.827e-03	0.000e+00	3.767e+00	1.708e-04
GO:0034702	GO:1902495	transmembrane transporter complex	4.993e-15	0.000e+00	2.247e+00	5.657e-03
GO:0034702	GO:1990351	transporter complex	3.105e-13	0.000e+00	2.242e+00	5.723e-03
GO:0034702	GO:0016459	myosin complex	3.739e-03	0.000e+00	3.092e+00	8.095e-04
