dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.7578487204726652	0.8774575196194971	1.319932370169811	-17.677443192230335	1.9459101490553132	2.10163265454668e-18	neuropeptide signaling pathway	1. neuropeptide signaling pathway	['GO:0007218', 'GO:0007188', 'GO:0007187', 'GO:0007200', 'GO:0007193', 'GO:0007189']	GO:0007218	0
2	1.3905104270123894	-0.42144525822365614	1.4286698233106194	-15.172961058795515	3.6109179126442243	6.7148905958662e-16	sensory perception of mechanical stimulus	2. sensory perception of mechanical stimulus	['GO:0050954', 'GO:0007605', 'GO:0050886', 'GO:0007591', 'GO:0045494', 'GO:0007585', 'GO:0060384', 'GO:0003016', 'GO:0006936', 'GO:0003012', 'GO:0006939', 'GO:0001503', 'GO:0043931', 'GO:0003015', 'GO:0003018', 'GO:0099565', 'GO:0007606', 'GO:0007608', 'GO:0001763', 'GO:0019233', 'GO:0050953', 'GO:0007601', 'GO:0003014', 'GO:0070293', 'GO:0030431', 'GO:0050802', 'GO:0007588', 'GO:0035812', 'GO:0019226', 'GO:0050909', 'GO:0033555', 'GO:0042596', 'GO:0048265', 'GO:0001964', 'GO:0050905', 'GO:0050884']	GO:0050954	0
3	-0.3939622078703263	0.13181636608987451	1.2110402769493152	-14.46166998742891	1.9459101490553132	3.45406107531816e-15	homophilic cell adhesion via plasma membrane adhesion molecu...	3. homophilic cell adhesion via plasma membrane adhesion molecu...	['GO:0098742', 'GO:0007156', 'GO:0007157', 'GO:0007158', 'GO:0061343', 'GO:0060710']	GO:0007156	0
4	-0.23363476515310547	1.271971085965624	1.2912322611776312	-14.22230281565672	2.0794415416798357	5.9937301240547e-15	second-messenger-mediated signaling	4. second-messenger-mediated signaling	['GO:0019932', 'GO:0019722', 'GO:0070371', 'GO:0010737', 'GO:0035584', 'GO:0019935', 'GO:0019933']	GO:0019932	0
5	0.012907057067300803	-0.3354981612458756	1.3597127536681144	-12.239399838908618	1.791759469228055	5.76235700150543e-13	cilium movement	5. cilium movement	['GO:0007018', 'GO:0003341', 'GO:0060294', 'GO:0035082', 'GO:0001578']	GO:0003341	0
6	0.6247936781297889	1.7564878009781477	1.410618400407593	-12.212820968736464	2.995732273553991	6.12602875853976e-13	positive regulation of monoatomic ion transport	6. positive regulation of monoatomic ion transport	['GO:0043270', 'GO:0034767', 'GO:1904064', 'GO:0034764', 'GO:0032414', 'GO:0032411', 'GO:2001259', 'GO:0051928', 'GO:1904427', 'GO:0051924', 'GO:1903169', 'GO:1901385', 'GO:0042531', 'GO:0042509', 'GO:0042532', 'GO:0010799', 'GO:0043268', 'GO:0043266', 'GO:1901381']	GO:0043270	0
7	-0.14241589069790309	-1.4815479543503545	1.7228531235371538	-12.178869776995187	2.1972245773362196	6.62415098795002e-13	ear development	7. ear development	['GO:0043583', 'GO:0001822', 'GO:0001656', 'GO:0021510', 'GO:0021983', 'GO:0030879', 'GO:0001823', 'GO:0001892']	GO:0043583	0
8	-1.3357693091336704	0.8327374870845422	1.4889707396936829	-11.942311166420916	3.4339872044851463	1.14205977041534e-12	adult behavior	8. adult behavior	['GO:0030534', 'GO:0008344', 'GO:0007632', 'GO:0002118', 'GO:0007638', 'GO:0040040', 'GO:0007625', 'GO:0048266', 'GO:0071625', 'GO:0007628', 'GO:0090659', 'GO:0036269', 'GO:0007631', 'GO:0042755', 'GO:0007612', 'GO:0008306', 'GO:0007613', 'GO:0072375', 'GO:0007635', 'GO:0042048', 'GO:0030537', 'GO:0008345', 'GO:0042745', 'GO:0007622', 'GO:0048512', 'GO:0022410', 'GO:0048511', 'GO:0007623', 'GO:0002209', 'GO:0001662']	GO:0030534	0
9	0.054445142068147614	-1.5410760999595576	1.5433012685882128	-11.59794646559631	3.4339872044851463	2.52379185486969e-12	inner ear development	9. inner ear development	['GO:0021537', 'GO:0048839', 'GO:0060348', 'GO:0030902', 'GO:0021543', 'GO:0021987', 'GO:0022037', 'GO:0021549', 'GO:0072006', 'GO:0003231', 'GO:0003205', 'GO:0021536', 'GO:0090102', 'GO:0060711', 'GO:0021544', 'GO:0021984', 'GO:0097065', 'GO:0071698', 'GO:0071696', 'GO:0021548', 'GO:0030900', 'GO:0051216', 'GO:0021675', 'GO:0021545', 'GO:0060840', 'GO:0035904', 'GO:0048486', 'GO:0035270', 'GO:0007424', 'GO:0060037']	GO:0048839	0
10	-0.15385986272978394	1.1030198377316796	1.2907702934086687	-11.548004638485493	3.044522437723423	2.83136175525728e-12	regulation of postsynaptic membrane potential	10. regulation of postsynaptic membrane potential	['GO:0050803', 'GO:0060078', 'GO:0060079', 'GO:0060080', 'GO:0030322', 'GO:0007204', 'GO:0010524', 'GO:0060402', 'GO:0035150', 'GO:0035296', 'GO:0097746', 'GO:0035151', 'GO:0035152', 'GO:0042310', 'GO:0001508', 'GO:0019228', 'GO:0008217', 'GO:0003073', 'GO:0016486', 'GO:0140448']	GO:0060078	0
11	-0.7224394694749797	-0.9243843821212292	1.2572427864708269	-11.276560073537752	2.995732273553991	5.28980821176784e-12	detection of abiotic stimulus	11. detection of abiotic stimulus	['GO:0009582', 'GO:0009583', 'GO:0009584', 'GO:0051602', 'GO:0007603', 'GO:0043052', 'GO:0016056', 'GO:0009642', 'GO:0009581', 'GO:0007602', 'GO:0050906', 'GO:0051606', 'GO:0060004', 'GO:0062149', 'GO:0050974', 'GO:0050982', 'GO:0009612', 'GO:0050910', 'GO:0010996']	GO:0009582	0
12	0.6428629599377788	0.9195906207006113	1.4921164467831465	-10.276442466711085	2.833213344056216	5.29124088435666e-11	regulation of behavior	12. regulation of behavior	['GO:0050795', 'GO:0042749', 'GO:0060259', 'GO:0048520', 'GO:0045187', 'GO:0042752', 'GO:0048521', 'GO:0060688', 'GO:0030278', 'GO:0030501', 'GO:0110110', 'GO:0003156', 'GO:0045666', 'GO:0050772', 'GO:0043576', 'GO:0002087']	GO:0050795	0
13	0.9860022756425947	0.5652516350505532	1.6669480790831532	-9.702597644502335	3.4339872044851463	1.9833636775754e-10	negative regulation of synaptic transmission	13. negative regulation of synaptic transmission	['GO:0050805', 'GO:0032223', 'GO:0021914', 'GO:0050806', 'GO:0060291', 'GO:0048167', 'GO:0048168', 'GO:0032222', 'GO:0051966', 'GO:0051968', 'GO:0010738', 'GO:0010739', 'GO:0008277', 'GO:0001960', 'GO:0070372', 'GO:1902216', 'GO:1902214', 'GO:0046427', 'GO:1904894', 'GO:0060336', 'GO:0060334', 'GO:0060330', 'GO:0060331', 'GO:0048843', 'GO:0040013', 'GO:0022401', 'GO:0023058', 'GO:0030514', 'GO:0045746', 'GO:0060761']	GO:0050805	0
14	0.31023695064711343	-0.14154187741054947	1.6072226875374487	-9.41746129012446	2.1972245773362196	3.82418338149575e-10	regulation of cytosolic calcium ion concentration	14. regulation of cytosolic calcium ion concentration	['GO:0006874', 'GO:0051480', 'GO:0099566', 'GO:0046716', 'GO:0055064', 'GO:0055078', 'GO:0055075', 'GO:0001895']	GO:0051480	0
15	0.8597469367213679	-0.9388751548380272	0.8892570351134134	-9.386419510293868	2.5649493574615367	4.10752759436001e-10	potassium ion transport	15. potassium ion transport	['GO:0035725', 'GO:0006813', 'GO:0006814', 'GO:0071805', 'GO:0070588', 'GO:0006816', 'GO:0097553', 'GO:0070509', 'GO:0006821', 'GO:1902476', 'GO:0098661', 'GO:0015698']	GO:0006813	0
16	-0.36469431752527093	-1.3706742211755254	1.785169061313494	-9.325409347366888	3.367295829986474	4.72705496972826e-10	ear morphogenesis	16. ear morphogenesis	['GO:0048593', 'GO:0042471', 'GO:0035113', 'GO:0003007', 'GO:0048562', 'GO:0048048', 'GO:0060349', 'GO:0060443', 'GO:0003338', 'GO:0042472', 'GO:0030326', 'GO:0060713', 'GO:0060669', 'GO:0090103', 'GO:0001736', 'GO:0007164', 'GO:0003206', 'GO:0060042', 'GO:0048844', 'GO:0021575', 'GO:0003151', 'GO:0042067', 'GO:0060411', 'GO:0021602', 'GO:0001738', 'GO:0035108', 'GO:0071697', 'GO:0071699']	GO:0042471	0
17	0.7712576875881618	1.76327890284165	1.1842262139095114	-9.257809853144227	2.5649493574615367	5.52319207890976e-10	regulation of monoatomic ion transmembrane transport	17. regulation of monoatomic ion transmembrane transport	['GO:0034762', 'GO:0034765', 'GO:0010959', 'GO:0044070', 'GO:1904062', 'GO:2001257', 'GO:0032412', 'GO:0022898', 'GO:0032409', 'GO:0099601', 'GO:0090279', 'GO:0090280']	GO:0034765	0
18	-0.2893677943876457	-1.4351599841001896	1.5361839389742147	-8.863265217659704	3.4657359027997265	1.3700448431225e-09	central nervous system neuron differentiation	18. central nervous system neuron differentiation	['GO:0021953', 'GO:0021879', 'GO:0002062', 'GO:0048665', 'GO:0001708', 'GO:0071542', 'GO:0097154', 'GO:0042490', 'GO:0060113', 'GO:0035315', 'GO:0009913', 'GO:0042491', 'GO:0060563', 'GO:0048663', 'GO:0060581', 'GO:0021954', 'GO:0021884', 'GO:0042462', 'GO:0060119', 'GO:0060857', 'GO:0021782', 'GO:0060856', 'GO:0048645', 'GO:0048859', 'GO:0021872', 'GO:0042063', 'GO:0010001', 'GO:0048709', 'GO:0001649', 'GO:0031128', 'GO:0001759']	GO:0021953	0
19	-0.9041210828503822	0.6274081349942644	1.781033159528669	-8.454001871932215	1.791759469228055	3.51558925206498e-09	mating	19. mating	['GO:0007618', 'GO:0007567', 'GO:0007320', 'GO:0044706', 'GO:0046692']	GO:0007618	0
20	0.5317013266481075	0.9490250878074671	1.5597857598157443	-8.450119721113095	2.8903717578961645	3.54715591998741e-09	regulation of nervous system process	20. regulation of nervous system process	['GO:0031644', 'GO:0098815', 'GO:0051930', 'GO:0051931', 'GO:0051969', 'GO:0090394', 'GO:0031645', 'GO:0051970', 'GO:0044060', 'GO:0006937', 'GO:0090257', 'GO:1903522', 'GO:0008016', 'GO:0098801', 'GO:0002027', 'GO:0019229', 'GO:0061337']	GO:0031644	0
21	-1.193044707682327	0.28565747830623767	1.2783520413558482	-8.423016960972818	2.3978952727983707	3.77557445477605e-09	cilium organization	21. cilium organization	['GO:0044782', 'GO:0060271', 'GO:0008045', 'GO:0044458', 'GO:0072499', 'GO:0060122', 'GO:0033564', 'GO:0097374', 'GO:0007413', 'GO:0106030']	GO:0044782	0
22	0.8920512601202237	1.4356491874752098	1.5650101907344227	-7.840531305359789	1.6094379124341003	1.44367253592476e-08	regulation of neurotransmitter transport	22. regulation of neurotransmitter transport	['GO:0051588', 'GO:0046928', 'GO:0051589', 'GO:0046929']	GO:0051588	0
23	0.7629368220708896	1.5287265060771773	1.522669581618593	-7.613918181002295	2.4849066497880004	2.43266226781086e-08	regulation of amine transport	23. regulation of amine transport	['GO:0051952', 'GO:0051955', 'GO:0014059', 'GO:0050433', 'GO:0014048', 'GO:0032892', 'GO:0032890', 'GO:0014052', 'GO:0051954', 'GO:0051957', 'GO:0033605']	GO:0051952	0
24	0.6843463220699735	-1.0162104043785705	1.3569031235923312	-7.432406525018704	1.6094379124341003	3.6948216096046e-08	neurotransmitter transport	24. neurotransmitter transport	['GO:0006836', 'GO:0007269', 'GO:0098810', 'GO:0001504']	GO:0006836	0
25	-1.116577665732172	0.4031938215254387	1.6810194269310208	-7.317448627890046	2.3978952727983707	4.81450200728491e-08	septate junction assembly	25. septate junction assembly	['GO:0120193', 'GO:0019991', 'GO:0045216', 'GO:0007416', 'GO:0007043', 'GO:0034331', 'GO:0043297', 'GO:0120192', 'GO:0070286', 'GO:0036158']	GO:0019991	0
26	1.5707321527546436	-0.49574681200708404	1.574247413720359	-7.295769883974056	2.1972245773362196	5.06092750152658e-08	reproductive behavior	26. reproductive behavior	['GO:0019098', 'GO:0007617', 'GO:0018991', 'GO:0007619', 'GO:0007620', 'GO:0007340', 'GO:0060179', 'GO:0008049']	GO:0019098	0
27	-0.0868328313411713	1.2530676316148102	1.3305612663148922	-7.282288156714546	2.0794415416798357	5.22049691294353e-08	glutamate receptor signaling pathway	27. glutamate receptor signaling pathway	['GO:0007215', 'GO:0035235', 'GO:0021910', 'GO:0035567', 'GO:0060071', 'GO:0060333', 'GO:0035771']	GO:0007215	0
28	0.1974618922390352	0.8067995774349886	1.534911162061581	-7.271368623207012	2.4849066497880004	5.35342073599701e-08	regulation of adenylate cyclase activity	28. regulation of adenylate cyclase activity	['GO:0031279', 'GO:0045761', 'GO:0051339', 'GO:0045762', 'GO:0010518', 'GO:0010517', 'GO:0060193', 'GO:0060191', 'GO:0007202', 'GO:1900274', 'GO:0010863']	GO:0045761	0
29	0.4728189876686002	-0.7412441902748381	1.8263789200840066	-6.836588995769077	3.1354942159291497	1.45683713859136e-07	dopamine secretion	29. dopamine secretion	['GO:0050432', 'GO:0014046', 'GO:0015872', 'GO:0015844', 'GO:0051937', 'GO:0046879', 'GO:0009914', 'GO:0042445', 'GO:0030072', 'GO:0030073', 'GO:0060986', 'GO:0014047', 'GO:0015800', 'GO:0006865', 'GO:0048791', 'GO:0099504', 'GO:0046717', 'GO:0099643', 'GO:0016079', 'GO:0099003', 'GO:0007589', 'GO:0035809']	GO:0014046	0
30	-0.037563633816930446	-1.5091415904706116	1.6446774305745073	-6.836588995769077	2.6390573296152584	1.45683713859136e-07	ureteric bud development	30. ureteric bud development	['GO:0072164', 'GO:0001657', 'GO:0072163', 'GO:0072073', 'GO:0008544', 'GO:0060485', 'GO:0007498', 'GO:0072080', 'GO:0061326', 'GO:0072234', 'GO:0072243', 'GO:0072170', 'GO:0072207']	GO:0001657	0
31	0.9156589872984399	-0.6706289188822933	1.6023874444311557	-6.81233877145026	0.6931471805599453	1.54049831829406e-07	amine transport	31. amine transport	['GO:0015837']	GO:0015837	0
32	0.5083732721624503	0.5547761548227234	1.6580894202541558	-6.779069154087878	1.9459101490553132	1.66314780098469e-07	synaptic transmission, glutamatergic	32. synaptic transmission, glutamatergic	['GO:0035249', 'GO:0001963', 'GO:0007274', 'GO:0007271', 'GO:0016204', 'GO:0060012']	GO:0035249	0
33	-0.6134354841402047	0.309965009551433	1.5155356578992851	-6.364631729122015	2.1972245773362196	4.31885149419811e-07	cilium-dependent cell motility	33. cilium-dependent cell motility	['GO:0001539', 'GO:0060285', 'GO:0030317', 'GO:0001764', 'GO:1904936', 'GO:0097722', 'GO:0022029', 'GO:0021885']	GO:0060285	0
34	0.6455865269362606	1.694321361067102	1.448994224019021	-6.344668007781769	2.833213344056216	4.52201493342324e-07	positive regulation of secretion	34. positive regulation of secretion	['GO:0051047', 'GO:1903532', 'GO:0046883', 'GO:0090276', 'GO:0002791', 'GO:0050796', 'GO:0050708', 'GO:0008207', 'GO:0017158', 'GO:1903305', 'GO:0017157', 'GO:0051048', 'GO:1903531', 'GO:0046888', 'GO:0044062', 'GO:0035813']	GO:0051047	0
35	0.04304454138151504	-0.8937862941288025	1.5129301581040926	-5.967931278436797	3.367295829986474	1.07663556399926e-06	response to calcium ion	35. response to calcium ion	['GO:0045471', 'GO:0051592', 'GO:0060359', 'GO:0042220', 'GO:0043279', 'GO:0035094', 'GO:0071294', 'GO:0071248', 'GO:0071241', 'GO:0010043', 'GO:0031960', 'GO:0051384', 'GO:1903351', 'GO:0071870', 'GO:0071869', 'GO:0071867', 'GO:0071868', 'GO:1903350', 'GO:0071360', 'GO:0071773', 'GO:0071772', 'GO:0072347', 'GO:0001101', 'GO:0009415', 'GO:0071229', 'GO:0014075', 'GO:0001975', 'GO:0071418']	GO:0051592	0
36	-0.12756879783135686	-0.011807782085220278	1.5619146509445356	-4.947058203387846	1.791759469228055	1.12964451154344e-05	neuron recognition	36. neuron recognition	['GO:0008037', 'GO:0008038', 'GO:0016198', 'GO:0070593', 'GO:0016199']	GO:0008038	0
37	-0.7988734803486593	-0.2965025779927238	1.416223519519229	-4.893174620115197	1.0986122886681098	1.27886699690101e-05	olefinic compound metabolic process	37. olefinic compound metabolic process	['GO:0120254', 'GO:0042572']	GO:0120254	0
38	0.10261980156453211	1.1348815309225564	1.5284357545403469	-4.806381721664689	2.6390573296152584	1.56177432293781e-05	regulation of axonogenesis	38. regulation of axonogenesis	['GO:0050770', 'GO:0030517', 'GO:1902667', 'GO:0050920', 'GO:0031346', 'GO:0010976', 'GO:0030516', 'GO:0061387', 'GO:0048841', 'GO:1905330', 'GO:2000027', 'GO:0010769', 'GO:0090175']	GO:0050770	0
39	-0.3151423722627203	-0.15678719487078943	1.5582700537226553	-4.43152292733775	1.6094379124341003	3.70234659401962e-05	neuron projection extension	39. neuron projection extension	['GO:0060560', 'GO:1990138', 'GO:0048588', 'GO:0048675']	GO:1990138	0
40	1.3263546053803394	-0.32215320615121873	1.6974717693362775	-4.382826333829286	2.0794415416798357	4.14165258584642e-05	specification of animal organ identity	40. specification of animal organ identity	['GO:0009954', 'GO:0010092', 'GO:0021871', 'GO:0010160', 'GO:0021511', 'GO:0071910', 'GO:0035469']	GO:0010092	0
41	0.7602815511335587	-0.2096798478043754	1.4963437351651447	-4.090436524639496	1.0986122886681098	8.12013922121924e-05	biological process involved in intraspecies interaction betw...	41. biological process involved in intraspecies interaction betw...	['GO:0051703', 'GO:0035176']	GO:0051703	0
42	-0.6781875259015987	-0.7534459439163508	1.7767006660976838	-4.08499538740845	0.6931471805599453	8.22251382937698e-05	protein poly-ADP-ribosylation	42. protein poly-ADP-ribosylation	['GO:0070212']	GO:0070212	0
43	-0.5074655050085173	-1.3501458511523905	1.8105762651470265	-4.08499538740845	1.0986122886681098	8.22251382937698e-05	animal organ maturation	43. animal organ maturation	['GO:0048799', 'GO:0070977']	GO:0048799	0
