Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0005819	GO:0005819	spindle	1.932e-09	0.000e+00	3.456e+00	3.503e-04
GO:0005819	GO:0072686	mitotic spindle	4.292e-07	0.000e+00	4.179e+00	6.629e-05
GO:0005819	GO:0072687	meiotic spindle	7.944e-03	0.000e+00	5.512e+00	3.075e-06
GO:0000793	GO:0000793	condensed chromosome	1.854e-15	0.000e+00	4.612e+00	2.444e-05
GO:0000793	GO:0000794	condensed nuclear chromosome	6.051e-09	0.000e+00	4.817e+00	1.522e-05
GO:0000775	GO:0098687	chromosomal region	9.539e-10	0.000e+00	3.130e+00	7.411e-04
GO:0000775	GO:0000775	chromosome, centromeric region	8.843e-10	0.000e+00	3.398e+00	4.000e-04
GO:0000775	GO:0000779	condensed chromosome, centromeric region	3.286e-08	0.000e+00	4.722e+00	1.897e-05
GO:0000922	GO:0000922	spindle pole	6.451e-08	0.000e+00	3.791e+00	1.618e-04
GO:0000776	GO:0005874	microtubule	3.261e-05	0.000e+00	2.729e+00	1.867e-03
GO:0000776	GO:0000776	kinetochore	1.905e-08	0.000e+00	3.503e+00	3.143e-04
GO:0000776	GO:0005876	spindle microtubule	1.526e-04	0.000e+00	4.371e+00	4.256e-05
GO:0030496	GO:0030496	midbody	1.163e-03	0.000e+00	3.976e+00	1.058e-04
GO:0005918	GO:0005918	septate junction	6.855e-06	0.000e+00	5.695e+00	2.019e-06
GO:0005918	GO:0043296	apical junction complex	2.794e-05	0.000e+00	5.334e+00	4.630e-06
GO:0005918	GO:0070160	tight junction	1.148e-04	0.000e+00	3.318e+00	4.805e-04
GO:0051233	GO:0051233	spindle midzone	1.310e-09	0.000e+00	4.860e+00	1.381e-05
GO:0051233	GO:1990023	mitotic spindle midzone	1.157e-05	0.000e+00	5.255e+00	5.555e-06
GO:0005657	GO:0005657	replication fork	4.831e-04	0.000e+00	4.175e+00	6.690e-05
GO:0045171	GO:0045171	intercellular bridge	9.046e-03	0.000e+00	4.566e+00	2.717e-05
GO:0005871	GO:0005875	microtubule associated complex	1.526e-04	0.000e+00	3.114e+00	7.694e-04
GO:0005871	GO:0005871	kinesin complex	1.148e-04	0.000e+00	3.878e+00	1.325e-04
GO:0016459	GO:0016459	myosin complex	4.263e-03	0.000e+00	3.092e+00	8.095e-04
GO:0000940	GO:0000940	outer kinetochore	9.043e-08	0.000e+00	4.823e+00	1.504e-05
GO:0036379	GO:0036379	myofilament	2.168e-04	0.000e+00	5.486e+00	3.267e-06
