dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.1740136943078969	1.2552880943991258	0.9174263844824733	-12.973855247593699	2.5649493574615367	1.06204948433238e-13	monoatomic cation channel activity	1. monoatomic cation channel activity	['GO:0005216', 'GO:0005261', 'GO:0015267', 'GO:0022803', 'GO:0005267', 'GO:0022836', 'GO:0022839', 'GO:0005227', 'GO:0022843', 'GO:0005244', 'GO:0022832', 'GO:0015271']	GO:0005261	0
2	-0.2609518757529273	-0.9216687353068342	1.1544285670086023	-10.533010511050705	2.1972245773362196	2.93082231090509e-11	tubulin binding	2. tubulin binding	['GO:0015631', 'GO:0008017', 'GO:0045503', 'GO:0045504', 'GO:0001965', 'GO:0003779', 'GO:0051015', 'GO:0051018']	GO:0015631	0
3	0.3789218000597195	0.10780214858962142	1.0698509352641898	-9.762951866009548	1.6094379124341003	1.72602918170665e-10	cytoskeletal motor activity	3. cytoskeletal motor activity	['GO:0003774', 'GO:0003777', 'GO:0008569', 'GO:0008574']	GO:0003774	0
4	-0.4435322498689738	1.0258526290558958	1.0962296859150522	-8.203184969972245	2.0794415416798357	6.2634704095008e-09	potassium ion transmembrane transporter activity	4. potassium ion transmembrane transporter activity	['GO:0015079', 'GO:0005249', 'GO:0005272', 'GO:0015081', 'GO:0005248', 'GO:0015277', 'GO:0008066']	GO:0015079	0
5	-0.010662388905542495	1.2109008537984565	1.3167683617609591	-7.418127161015591	2.0794415416798357	3.81832454287678e-08	ligand-gated monoatomic cation channel activity	5. ligand-gated monoatomic cation channel activity	['GO:0099094', 'GO:0015276', 'GO:0022834', 'GO:0005231', 'GO:0005230', 'GO:1904315', 'GO:0005234']	GO:0099094	0
6	0.1846302926877652	-1.01657028233016	1.3521457712044684	-5.1061135156011686	0.6931471805599453	7.83224897209537e-06	calcium-dependent phospholipid binding	6. calcium-dependent phospholipid binding	['GO:0005544']	GO:0005544	0
7	0.8392257071150984	0.49823924816022397	1.4481557626869423	-4.900855570561215	2.1972245773362196	1.25644773983118e-05	neurotransmitter receptor activity involved in regulation of...	7. neurotransmitter receptor activity involved in regulation of...	['GO:0098960', 'GO:0099529', 'GO:0030594', 'GO:0022824', 'GO:0022835', 'GO:0099583', 'GO:0008188', 'GO:0004714']	GO:0099529	0
8	-0.6144117798888128	-0.7309273485937517	1.7825850908767262	-4.049840835967515	0.6931471805599453	8.91577631417919e-05	neurotransmitter binding	8. neurotransmitter binding	['GO:0042165']	GO:0042165	0
9	-0.8740798433886434	-0.420405671151342	1.3497205685810676	-3.45477611740806	1.0986122886681098	0.000350932736215751	peptide binding	9. peptide binding	['GO:0042277', 'GO:0017046']	GO:0042277	0
10	0.318906036418477	-0.6032633399561531	1.5706953083469184	-3.0075903808439413	0.6931471805599453	0.000982674347769266	collagen binding	10. collagen binding	['GO:0005518']	GO:0005518	0
11	0.9369779437935319	-0.548192901603665	0.8319465439623752	-2.401441281293752	1.3862943611198906	0.00396788172977694	exopeptidase activity	11. exopeptidase activity	['GO:0008238', 'GO:0004713', 'GO:0005007']	GO:0008238	0
12	1.0446816058327093	-0.02243639305344929	1.3492536231099794	-2.3884272524790804	0.6931471805599453	0.00408858233137533	NAD+ ADP-ribosyltransferase activity	12. NAD+ ADP-ribosyltransferase activity	['GO:0003950']	GO:0003950	0
13	-0.3724464688381304	0.16321465518623368	1.4905106497690799	-2.1447207680429003	1.0986122886681098	0.00716604006499623	DNA-binding transcription repressor activity, RNA polymerase...	13. DNA-binding transcription repressor activity, RNA polymerase...	['GO:0001217', 'GO:0001227']	GO:0001227	0
14	-0.9532450849563744	0.0021670428057979753	1.398353749612271	-2.0860412294943114	0.6931471805599453	0.00820273668429198	heparin binding	14. heparin binding	['GO:0008201']	GO:0008201	0
