Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0015631	GO:0015631	tubulin binding	2.924e-11	0.000e+00	3.172e+00	6.727e-04
GO:0015631	GO:0008017	microtubule binding	8.799e-11	0.000e+00	3.272e+00	5.341e-04
GO:0015631	GO:0045503	dynein light chain binding	2.407e-03	0.000e+00	5.341e+00	4.558e-06
GO:0015631	GO:0045504	dynein heavy chain binding	3.932e-03	0.000e+00	5.290e+00	5.124e-06
GO:0015631	GO:0001965	G-protein alpha-subunit binding	1.871e-03	0.000e+00	4.910e+00	1.231e-05
GO:0015631	GO:0003779	actin binding	1.024e-03	0.000e+00	2.919e+00	1.206e-03
GO:0015631	GO:0051015	actin filament binding	4.616e-03	0.000e+00	3.643e+00	2.276e-04
GO:0015631	GO:0051018	protein kinase A binding	3.103e-03	0.000e+00	4.892e+00	1.282e-05
GO:0005261	GO:0005216	monoatomic ion channel activity	1.021e-10	0.000e+00	2.261e+00	5.486e-03
GO:0005261	GO:0005261	monoatomic cation channel activity	1.060e-13	0.000e+00	2.503e+00	3.142e-03
GO:0005261	GO:0015267	channel activity	1.021e-10	0.000e+00	2.200e+00	6.313e-03
GO:0005261	GO:0022803	passive transmembrane transporter activity	1.021e-10	0.000e+00	2.200e+00	6.313e-03
GO:0005261	GO:0005267	potassium channel activity	5.001e-11	0.000e+00	3.284e+00	5.196e-04
GO:0005261	GO:0022836	gated channel activity	1.060e-13	0.000e+00	2.763e+00	1.727e-03
GO:0005261	GO:0022839	monoatomic ion gated channel activity	2.199e-12	0.000e+00	2.765e+00	1.718e-03
GO:0005261	GO:0005227	calcium activated cation channel activity	1.847e-03	0.000e+00	4.091e+00	8.109e-05
GO:0005261	GO:0022843	voltage-gated monoatomic cation channel activity	1.021e-10	0.000e+00	3.490e+00	3.235e-04
GO:0005261	GO:0005244	voltage-gated monoatomic ion channel activity	2.629e-10	0.000e+00	3.122e+00	7.548e-04
GO:0005261	GO:0022832	voltage-gated channel activity	2.629e-10	0.000e+00	3.117e+00	7.633e-04
GO:0005261	GO:0015271	outward rectifier potassium channel activity	4.106e-05	0.000e+00	5.857e+00	1.391e-06
GO:0042277	GO:0042277	peptide binding	3.501e-04	0.000e+00	3.856e+00	1.392e-04
GO:0042277	GO:0017046	peptide hormone binding	8.641e-03	0.000e+00	5.068e+00	8.558e-06
GO:0003774	GO:0003774	cytoskeletal motor activity	1.722e-10	0.000e+00	2.915e+00	1.216e-03
GO:0003774	GO:0003777	microtubule motor activity	1.918e-09	0.000e+00	3.442e+00	3.618e-04
GO:0003774	GO:0008569	minus-end-directed microtubule motor activity	2.162e-04	0.000e+00	4.012e+00	9.728e-05
GO:0003774	GO:0008574	plus-end-directed microtubule motor activity	1.967e-05	0.000e+00	5.344e+00	4.532e-06
GO:0015079	GO:0015079	potassium ion transmembrane transporter activity	6.249e-09	0.000e+00	2.993e+00	1.017e-03
GO:0015079	GO:0005249	voltage-gated potassium channel activity	9.953e-08	0.000e+00	3.656e+00	2.209e-04
GO:0015079	GO:0005272	sodium channel activity	1.195e-08	0.000e+00	3.759e+00	1.741e-04
GO:0015079	GO:0015081	sodium ion transmembrane transporter activity	1.009e-03	0.000e+00	3.204e+00	6.250e-04
GO:0015079	GO:0005248	voltage-gated sodium channel activity	2.030e-04	0.000e+00	4.461e+00	3.460e-05
GO:0015079	GO:0015277	kainate selective glutamate receptor activity	3.521e-04	0.000e+00	6.084e+00	8.243e-07
GO:0015079	GO:0008066	glutamate receptor activity	2.634e-03	0.000e+00	4.056e+00	8.785e-05
GO:0001227	GO:0001217	DNA-binding transcription repressor activity	7.149e-03	0.000e+00	4.421e+00	3.796e-05
