dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	1.1193301502807385	0.2171232532183749	1.2912322611776312	-19.019602202268604	2.302585092994046	9.55867724752373e-20	second-messenger-mediated signaling	1. second-messenger-mediated signaling	['GO:0019932', 'GO:0019722', 'GO:0070371', 'GO:0048016', 'GO:0010737', 'GO:0007263', 'GO:0019935', 'GO:0019933', 'GO:0019934']	GO:0019932	0
2	1.0911136251168738	0.4588002007336417	1.319932370169811	-17.213353061245	2.302585092994046	6.11852781588438e-18	neuropeptide signaling pathway	2. neuropeptide signaling pathway	['GO:0007218', 'GO:0007188', 'GO:0007187', 'GO:0007200', 'GO:0007193', 'GO:0007189', 'GO:0016056', 'GO:0071214', 'GO:0104004']	GO:0007218	0
3	-0.3325846253970395	-1.3020908025940485	1.4286698233106194	-15.681688021089924	3.7376696182833684	2.08119119056079e-16	sensory perception of mechanical stimulus	3. sensory perception of mechanical stimulus	['GO:0050954', 'GO:0007605', 'GO:0007606', 'GO:0006936', 'GO:0003012', 'GO:0001503', 'GO:0007608', 'GO:0019233', 'GO:0099565', 'GO:0048771', 'GO:0019226', 'GO:0001895', 'GO:0007591', 'GO:0050886', 'GO:0045494', 'GO:0050909', 'GO:0032941', 'GO:0060384', 'GO:0003016', 'GO:0050953', 'GO:0007601', 'GO:0003015', 'GO:0060047', 'GO:0030431', 'GO:0050802', 'GO:0007588', 'GO:0030421', 'GO:0035812', 'GO:0003014', 'GO:0033555', 'GO:0042596', 'GO:0048265', 'GO:0010092', 'GO:0007368', 'GO:0009855', 'GO:0009799', 'GO:0007367', 'GO:0007365', 'GO:0071910', 'GO:0001964', 'GO:0050884']	GO:0050954	0
4	0.14760931913094147	-1.0720449875468503	1.2572427864708269	-15.183172322438145	3.044522437723423	6.55884967985351e-16	detection of abiotic stimulus	4. detection of abiotic stimulus	['GO:0009582', 'GO:0009583', 'GO:0009584', 'GO:0051602', 'GO:0007603', 'GO:0043052', 'GO:0050962', 'GO:0009642', 'GO:0009648', 'GO:0009581', 'GO:0007602', 'GO:0050906', 'GO:0051606', 'GO:0062149', 'GO:0060004', 'GO:0050974', 'GO:0050982', 'GO:0009612', 'GO:0050910', 'GO:0010996']	GO:0009582	0
5	-1.0576102710982953	0.5151488455607526	1.2847904732508904	-14.653609031179112	2.4849066497880004	2.22019422579645e-15	cilium assembly	5. cilium assembly	['GO:0060271', 'GO:1905515', 'GO:0008045', 'GO:0044458', 'GO:0099054', 'GO:0099172', 'GO:0060122', 'GO:0072499', 'GO:0033564', 'GO:0070286', 'GO:0036158']	GO:0060271	0
6	-0.08689962856501024	-0.28985887023470863	1.3597127536681144	-14.653609031179112	2.0794415416798357	2.22019422579645e-15	cilium movement	6. cilium movement	['GO:0007018', 'GO:0003341', 'GO:0060294', 'GO:0035082', 'GO:0001578', 'GO:0007019', 'GO:0022617']	GO:0003341	0
7	1.0034853995281114	-0.3112363592903135	1.2456938402224604	-13.909374031317553	3.1780538303479458	1.23204329251994e-14	regulation of membrane potential	7. regulation of membrane potential	['GO:0042391', 'GO:0060078', 'GO:0007204', 'GO:0060079', 'GO:0030322', 'GO:0060080', 'GO:0060081', 'GO:0001508', 'GO:0019228', 'GO:0050803', 'GO:0042445', 'GO:0035150', 'GO:0035296', 'GO:0097746', 'GO:0003018', 'GO:0035151', 'GO:0035152', 'GO:0042310', 'GO:0019229', 'GO:0008217', 'GO:0003073', 'GO:0051899', 'GO:0086010']	GO:0042391	0
8	1.126590802140871	-0.7577324333750591	1.4921164467831465	-12.795579442389633	2.70805020110221	1.60110774234478e-13	regulation of behavior	8. regulation of behavior	['GO:0050795', 'GO:0042749', 'GO:0048520', 'GO:0045187', 'GO:0042752', 'GO:0060259', 'GO:1903998', 'GO:0043051', 'GO:0048521', 'GO:2000252', 'GO:1901045', 'GO:0046662', 'GO:0110110', 'GO:0001759']	GO:0050795	0
9	-0.21846301881033733	-1.3213011860465929	1.4889707396936829	-12.736146710411058	3.367295829986474	1.8359180412226e-13	adult behavior	9. adult behavior	['GO:0030534', 'GO:0008344', 'GO:0007638', 'GO:0002118', 'GO:0040040', 'GO:0048266', 'GO:0007625', 'GO:0071625', 'GO:0007628', 'GO:0090659', 'GO:0036269', 'GO:0007631', 'GO:0042755', 'GO:0007612', 'GO:0008306', 'GO:0007613', 'GO:0072375', 'GO:0007622', 'GO:0048512', 'GO:0042745', 'GO:0022410', 'GO:0045475', 'GO:0007635', 'GO:0042048', 'GO:0030537', 'GO:0008345', 'GO:0002209', 'GO:0001662']	GO:0030534	0
10	-0.20959233507302025	0.24677039212409876	1.2110402769493152	-12.45823806213048	1.9459101490553132	3.48146423365307e-13	homophilic cell adhesion via plasma membrane adhesion molecu...	10. homophilic cell adhesion via plasma membrane adhesion molecu...	['GO:0098742', 'GO:0007156', 'GO:0007157', 'GO:0016339', 'GO:0007158', 'GO:0061343']	GO:0007156	0
11	1.7361867991662059	-0.0756041833397528	1.1842262139095114	-11.578862524685244	2.9444389791664403	2.63716604496027e-12	regulation of monoatomic ion transmembrane transport	11. regulation of monoatomic ion transmembrane transport	['GO:0034762', 'GO:0034765', 'GO:0010959', 'GO:0044070', 'GO:1904062', 'GO:2001257', 'GO:0032412', 'GO:0022898', 'GO:0032409', 'GO:0099601', 'GO:0014059', 'GO:0050433', 'GO:0051952', 'GO:0051955', 'GO:0014048', 'GO:0051954', 'GO:0051957', 'GO:0033605']	GO:0034765	0
12	-1.4548950882838472	-0.09237719942159744	1.7228531235371538	-11.019406988378279	3.295836866004329	9.56297480618446e-12	ear development	12. ear development	['GO:0043583', 'GO:0030879', 'GO:0021510', 'GO:0001823', 'GO:0048839', 'GO:0008544', 'GO:0072073', 'GO:0021537', 'GO:0007424', 'GO:0030902', 'GO:0021543', 'GO:0021675', 'GO:0022037', 'GO:0021987', 'GO:0021549', 'GO:0003231', 'GO:0003205', 'GO:0021536', 'GO:0090102', 'GO:0003281', 'GO:0060711', 'GO:0021544', 'GO:0071698', 'GO:0071696', 'GO:0030900', 'GO:0001822']	GO:0043583	0
