Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0042391	GO:0042391	regulation of membrane potential	1.232e-14	0.000e+00	3.475e+00	3.347e-04
GO:0042391	GO:0060078	regulation of postsynaptic membrane potential	1.460e-09	0.000e+00	3.636e+00	2.314e-04
GO:0042391	GO:0007204	positive regulation of cytosolic calcium ion concentration	9.328e-05	0.000e+00	4.654e+00	2.220e-05
GO:0042391	GO:0060079	excitatory postsynaptic potential	1.003e-08	0.000e+00	3.865e+00	1.366e-04
GO:0042391	GO:0030322	stabilization of membrane potential	8.074e-05	0.000e+00	5.501e+00	3.154e-06
GO:0042391	GO:0060080	inhibitory postsynaptic potential	7.138e-04	0.000e+00	5.838e+00	1.451e-06
GO:0042391	GO:0060081	membrane hyperpolarization	9.961e-03	0.000e+00	5.852e+00	1.407e-06
GO:0042391	GO:0001508	action potential	1.955e-09	0.000e+00	4.770e+00	1.698e-05
GO:0042391	GO:0019228	neuronal action potential	1.710e-03	0.000e+00	5.346e+00	4.504e-06
GO:0042391	GO:0050803	regulation of synapse structure or activity	4.166e-04	0.000e+00	5.792e+00	1.616e-06
GO:0042391	GO:0042445	hormone metabolic process	5.776e-03	0.000e+00	3.227e+00	5.934e-04
GO:0042391	GO:0035150	regulation of tube size	4.113e-07	0.000e+00	3.875e+00	1.335e-04
GO:0042391	GO:0035296	regulation of tube diameter	5.310e-03	0.000e+00	3.884e+00	1.305e-04
GO:0042391	GO:0097746	blood vessel diameter maintenance	2.201e-03	0.000e+00	3.887e+00	1.298e-04
GO:0042391	GO:0003018	vascular process in circulatory system	4.561e-03	0.000e+00	3.846e+00	1.425e-04
GO:0042391	GO:0035151	regulation of tube size, open tracheal system	1.440e-05	0.000e+00	5.499e+00	3.167e-06
GO:0042391	GO:0035152	regulation of tube architecture, open tracheal system	1.215e-05	0.000e+00	5.277e+00	5.290e-06
GO:0042391	GO:0042310	vasoconstriction	2.910e-04	0.000e+00	4.384e+00	4.133e-05
GO:0042391	GO:0019229	regulation of vasoconstriction	9.435e-04	0.000e+00	4.435e+00	3.669e-05
GO:0042391	GO:0008217	regulation of blood pressure	2.240e-04	0.000e+00	4.309e+00	4.906e-05
GO:0042391	GO:0003073	regulation of systemic arterial blood pressure	9.707e-03	0.000e+00	5.006e+00	9.868e-06
GO:0042391	GO:0051899	membrane depolarization	3.246e-03	0.000e+00	5.083e+00	8.256e-06
GO:0042391	GO:0086010	membrane depolarization during action potential	8.193e-03	0.000e+00	5.280e+00	5.247e-06
GO:0019932	GO:0019932	second-messenger-mediated signaling	9.559e-20	0.000e+00	3.637e+00	2.305e-04
GO:0019932	GO:0019722	calcium-mediated signaling	4.632e-09	0.000e+00	3.992e+00	1.018e-04
GO:0019932	GO:0070371	ERK1 and ERK2 cascade	3.457e-03	0.000e+00	5.071e+00	8.488e-06
GO:0019932	GO:0048016	inositol phosphate-mediated signaling	1.710e-03	0.000e+00	4.333e+00	4.650e-05
GO:0019932	GO:0010737	protein kinase A signaling	2.599e-04	0.000e+00	5.540e+00	2.885e-06
GO:0019932	GO:0007263	nitric oxide mediated signal transduction	5.618e-03	0.000e+00	5.536e+00	2.912e-06
GO:0019932	GO:0019935	cyclic-nucleotide-mediated signaling	2.466e-12	0.000e+00	5.055e+00	8.817e-06
GO:0019932	GO:0019933	cAMP-mediated signaling	2.189e-07	0.000e+00	5.338e+00	4.595e-06
GO:0019932	GO:0019934	cGMP-mediated signaling	2.578e-05	0.000e+00	5.383e+00	4.138e-06
GO:0060271	GO:0060271	cilium assembly	2.220e-15	0.000e+00	3.614e+00	2.433e-04
GO:0060271	GO:1905515	non-motile cilium assembly	6.568e-03	0.000e+00	4.432e+00	3.697e-05
GO:0060271	GO:0008045	motor neuron axon guidance	4.749e-03	0.000e+00	5.012e+00	9.724e-06
GO:0060271	GO:0044458	motile cilium assembly	2.381e-04	0.000e+00	5.182e+00	6.570e-06
GO:0060271	GO:0099054	presynapse assembly	8.799e-04	0.000e+00	5.659e+00	2.193e-06
GO:0060271	GO:0099172	presynapse organization	8.009e-04	0.000e+00	5.486e+00	3.265e-06
GO:0060271	GO:0060122	inner ear receptor cell stereocilium organization	4.496e-04	0.000e+00	5.088e+00	8.169e-06
GO:0060271	GO:0072499	photoreceptor cell axon guidance	2.379e-03	0.000e+00	6.090e+00	8.128e-07
GO:0060271	GO:0033564	anterior/posterior axon guidance	3.095e-03	0.000e+00	5.819e+00	1.518e-06
GO:0060271	GO:0070286	axonemal dynein complex assembly	3.905e-07	0.000e+00	4.266e+00	5.414e-05
GO:0060271	GO:0036158	outer dynein arm assembly	1.304e-03	0.000e+00	4.917e+00	1.212e-05
GO:0050954	GO:0050954	sensory perception of mechanical stimulus	2.081e-16	0.000e+00	4.173e+00	6.712e-05
GO:0050954	GO:0007605	sensory perception of sound	2.312e-14	0.000e+00	4.184e+00	6.541e-05
GO:0050954	GO:0007606	sensory perception of chemical stimulus	2.906e-13	0.000e+00	3.190e+00	6.460e-04
GO:0050954	GO:0006936	muscle contraction	1.639e-07	0.000e+00	4.265e+00	5.436e-05
GO:0050954	GO:0003012	muscle system process	4.046e-06	0.000e+00	4.184e+00	6.546e-05
GO:0050954	GO:0001503	ossification	4.293e-05	0.000e+00	4.395e+00	4.026e-05
GO:0050954	GO:0007608	sensory perception of smell	2.224e-06	0.000e+00	3.277e+00	5.286e-04
GO:0050954	GO:0019233	sensory perception of pain	7.159e-09	0.000e+00	5.274e+00	5.320e-06
GO:0050954	GO:0099565	chemical synaptic transmission, postsynaptic	1.460e-09	0.000e+00	6.571e+00	2.687e-07
GO:0050954	GO:0048771	tissue remodeling	4.505e-03	0.000e+00	4.623e+00	2.380e-05
GO:0050954	GO:0019226	transmission of nerve impulse	6.498e-06	0.000e+00	5.432e+00	3.701e-06
GO:0050954	GO:0001895	retina homeostasis	8.444e-04	0.000e+00	5.426e+00	3.752e-06
GO:0050954	GO:0007591	molting cycle, chitin-based cuticle	7.891e-03	0.000e+00	6.127e+00	7.457e-07
GO:0050954	GO:0050886	endocrine process	3.248e-04	0.000e+00	5.145e+00	7.164e-06
GO:0050954	GO:0045494	photoreceptor cell maintenance	4.054e-05	0.000e+00	4.820e+00	1.512e-05
GO:0050954	GO:0050909	sensory perception of taste	1.698e-03	0.000e+00	4.079e+00	8.336e-05
GO:0050954	GO:0032941	secretion by tissue	1.208e-03	0.000e+00	5.159e+00	6.933e-06
GO:0050954	GO:0060384	innervation	5.848e-03	0.000e+00	5.231e+00	5.881e-06
GO:0050954	GO:0003016	respiratory system process	4.642e-03	0.000e+00	5.443e+00	3.607e-06
GO:0050954	GO:0050953	sensory perception of light stimulus	1.460e-09	0.000e+00	3.653e+00	2.221e-04
GO:0050954	GO:0007601	visual perception	1.816e-08	0.000e+00	3.668e+00	2.148e-04
GO:0050954	GO:0003015	heart process	2.128e-04	0.000e+00	5.010e+00	9.778e-06
GO:0050954	GO:0060047	heart contraction	2.962e-03	0.000e+00	5.116e+00	7.662e-06
GO:0050954	GO:0030431	sleep	2.367e-07	0.000e+00	4.593e+00	2.554e-05
GO:0050954	GO:0050802	circadian sleep/wake cycle, sleep	2.719e-06	0.000e+00	6.593e+00	2.553e-07
GO:0050954	GO:0007588	excretion	2.146e-05	0.000e+00	5.422e+00	3.782e-06
GO:0050954	GO:0030421	defecation	2.379e-03	0.000e+00	6.052e+00	8.867e-07
GO:0050954	GO:0035812	renal sodium excretion	2.893e-04	0.000e+00	6.256e+00	5.542e-07
GO:0050954	GO:0003014	renal system process	6.601e-03	0.000e+00	4.658e+00	2.197e-05
GO:0050954	GO:0033555	multicellular organismal response to stress	3.509e-08	0.000e+00	4.995e+00	1.012e-05
GO:0050954	GO:0042596	fear response	8.469e-04	0.000e+00	5.245e+00	5.687e-06
