dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.2698254678037759	-0.1214967981587308	1.4068176014019682	-24.482760416944	0.6931471805599453	3.29033095338199e-25	axoneme	1. axoneme	['GO:0005930']	GO:0005930	0
2	1.036470478228695	-0.02500591061111296	1.6878896622949058	-24.05720546308342	1.3862943611198906	8.76586013488485e-25	ciliary plasm	2. ciliary plasm	['GO:0032838', 'GO:0097014', 'GO:0032839']	GO:0097014	0
3	0.9193430116277709	0.6564565042425673	1.2706081460512713	-21.732819513366305	2.6390573296152584	1.8500373085333e-22	motile cilium	3. motile cilium	['GO:0031514', 'GO:0097729', 'GO:0036126', 'GO:0016028', 'GO:0097730', 'GO:0097731', 'GO:0097733', 'GO:0098858', 'GO:0030175', 'GO:0005902', 'GO:0043197', 'GO:0044309', 'GO:0032420']	GO:0031514	0
4	-0.837509130020638	-0.9263500562069799	1.1516741653157216	-18.515461868918027	2.302585092994046	3.05167395453808e-19	monoatomic ion channel complex	4. monoatomic ion channel complex	['GO:1902495', 'GO:0034702', 'GO:1990351', 'GO:0034703', 'GO:0034706', 'GO:0034704', 'GO:0005891', 'GO:0034705', 'GO:0008076']	GO:0034702	0
5	0.9086470782313312	-0.9676813742539887	1.0717622275360685	-16.436011059001505	2.5649493574615367	3.66428243693232e-17	synaptic membrane	5. synaptic membrane	['GO:0097060', 'GO:0045211', 'GO:0009925', 'GO:0016323', 'GO:0042734', 'GO:0016327', 'GO:0099634', 'GO:0098839', 'GO:0005901', 'GO:0044853', 'GO:0045121', 'GO:0098857']	GO:0097060	0
6	0.8252114874983578	-1.0347774084784025	1.3277324152423962	-12.81828238772279	2.0794415416798357	1.51955915800534e-13	cell projection membrane	6. cell projection membrane	['GO:0031253', 'GO:0060170', 'GO:0032589', 'GO:0031256', 'GO:0032591', 'GO:0032590', 'GO:0030673']	GO:0031253	0
7	0.9861594174769017	-0.2715256262793708	1.4195417980205032	-10.280892424447412	0.6931471805599453	5.23730149454155e-11	perikaryon	7. perikaryon	['GO:0043204']	GO:0043204	0
8	-0.3100005145748633	-1.1874623082322282	1.2868469998942929	-8.97116763514258	1.9459101490553132	1.06864230989059e-09	receptor complex	8. receptor complex	['GO:0043235', 'GO:0098802', 'GO:0097648', 'GO:0098878', 'GO:0008328', 'GO:0016027']	GO:0043235	0
9	-0.6169539391211846	-1.0851615276142714	1.1358604537169412	-8.163398267113285	1.9459101490553132	6.86438656893538e-09	microtubule associated complex	9. microtubule associated complex	['GO:0005875', 'GO:0030286', 'GO:0005871', 'GO:0005858', 'GO:0036157', 'GO:0036156']	GO:0005875	0
10	-0.5177893154954427	0.938615003801438	1.7395566146346944	-8.063785459883407	2.6390573296152584	8.63404961787095e-09	septate junction	10. septate junction	['GO:0005918', 'GO:0043296', 'GO:0070160', 'GO:0098984', 'GO:0098686', 'GO:0032279', 'GO:0098982', 'GO:0098685', 'GO:0060077', 'GO:0060076', 'GO:0098978', 'GO:0005923', 'GO:0031594']	GO:0005918	0
11	0.22494740028008053	1.0636126458786945	1.599412504850087	-8.049889560151824	1.0986122886681098	8.91477609525262e-09	neuron projection terminus	11. neuron projection terminus	['GO:0044306', 'GO:0043679']	GO:0044306	0
12	-0.5921265778712463	0.5326909789738706	1.88453533360317	-7.01901646479511	0.6931471805599453	9.57157783231834e-08	distal axon	12. distal axon	['GO:0150034']	GO:0150034	0
13	-1.0324561969378299	0.3507214954389804	1.7361482552526377	-6.558619192872168	1.0986122886681098	2.76299950510515e-07	stereocilium bundle	13. stereocilium bundle	['GO:0098862', 'GO:0032421']	GO:0032421	0
14	0.1304219993205752	0.8153660167073271	1.8323392381455919	-6.435117194907269	0.6931471805599453	3.67183202282985e-07	main axon	14. main axon	['GO:0044304']	GO:0044304	0
15	-0.7211143046430394	-0.0699173669280417	1.4396158825573226	-5.4003518042249175	0.6931471805599453	3.97784810774631e-06	ciliary basal body	15. ciliary basal body	['GO:0036064']	GO:0036064	0
16	-0.0490983197881138	1.0547947368424058	1.0038888648977267	-5.385736126453425	0.6931471805599453	4.11399608002781e-06	microtubule	16. microtubule	['GO:0005874']	GO:0005874	0
17	0.4902104304149162	-0.7368373075547545	1.4112691397272001	-5.3207034867347165	0.6931471805599453	4.77855416672318e-06	sarcolemma	17. sarcolemma	['GO:0042383']	GO:0042383	0
18	-0.892287608892185	0.5855627225380741	1.6274554397433982	-5.2488094289561475	0.6931471805599453	5.63885037708732e-06	terminal bouton	18. terminal bouton	['GO:0043195']	GO:0043195	0
19	1.005917811273688	0.48745487150970424	1.4248509487594296	-4.861126457895281	1.6094379124341003	1.37680851133013e-05	synaptic vesicle	19. synaptic vesicle	['GO:0070382', 'GO:0008021', 'GO:0030133', 'GO:0031045']	GO:0008021	0
