Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0031253	GO:0031253	cell projection membrane	1.520e-13	0.000e+00	3.772e+00	1.689e-04
GO:0031253	GO:0060170	ciliary membrane	1.166e-05	0.000e+00	4.249e+00	5.640e-05
GO:0031253	GO:0032589	neuron projection membrane	5.603e-12	0.000e+00	4.899e+00	1.261e-05
GO:0031253	GO:0031256	leading edge membrane	1.413e-09	0.000e+00	4.144e+00	7.179e-05
GO:0031253	GO:0032591	dendritic spine membrane	1.646e-03	0.000e+00	5.182e+00	6.580e-06
GO:0031253	GO:0032590	dendrite membrane	9.915e-05	0.000e+00	5.444e+00	3.601e-06
GO:0031253	GO:0030673	axolemma	1.733e-03	0.000e+00	5.922e+00	1.198e-06
GO:0097060	GO:0097060	synaptic membrane	3.664e-17	0.000e+00	2.921e+00	1.201e-03
GO:0097060	GO:0045211	postsynaptic membrane	1.112e-15	0.000e+00	3.046e+00	8.999e-04
GO:0097060	GO:0009925	basal plasma membrane	2.623e-03	0.000e+00	4.828e+00	1.485e-05
GO:0097060	GO:0016323	basolateral plasma membrane	4.615e-03	0.000e+00	4.140e+00	7.241e-05
GO:0097060	GO:0042734	presynaptic membrane	2.213e-08	0.000e+00	4.614e+00	2.432e-05
GO:0097060	GO:0016327	apicolateral plasma membrane	5.253e-03	0.000e+00	5.373e+00	4.234e-06
GO:0097060	GO:0099634	postsynaptic specialization membrane	4.779e-06	0.000e+00	4.564e+00	2.729e-05
GO:0097060	GO:0098839	postsynaptic density membrane	6.420e-05	0.000e+00	4.634e+00	2.325e-05
GO:0097060	GO:0005901	caveola	2.277e-04	0.000e+00	4.159e+00	6.927e-05
GO:0097060	GO:0044853	plasma membrane raft	4.610e-04	0.000e+00	4.129e+00	7.431e-05
GO:0097060	GO:0045121	membrane raft	8.021e-04	0.000e+00	3.751e+00	1.776e-04
GO:0097060	GO:0098857	membrane microdomain	8.021e-04	0.000e+00	3.749e+00	1.780e-04
GO:0150034	GO:0150034	distal axon	9.572e-08	0.000e+00	6.583e+00	2.610e-07
GO:0031252	GO:0031252	cell leading edge	5.713e-05	0.000e+00	4.930e+00	1.176e-05
GO:0005874	GO:0005874	microtubule	4.114e-06	0.000e+00	2.729e+00	1.867e-03
GO:0045178	GO:0045178	basal part of cell	2.546e-03	0.000e+00	5.495e+00	3.198e-06
GO:0043235	GO:0043235	receptor complex	1.069e-09	0.000e+00	3.621e+00	2.391e-04
GO:0043235	GO:0098802	plasma membrane signaling receptor complex	1.684e-03	0.000e+00	3.744e+00	1.803e-04
GO:0043235	GO:0097648	G protein-coupled receptor complex	4.615e-03	0.000e+00	5.420e+00	3.804e-06
GO:0043235	GO:0098878	neurotransmitter receptor complex	4.779e-06	0.000e+00	4.654e+00	2.219e-05
GO:0043235	GO:0008328	ionotropic glutamate receptor complex	8.689e-05	0.000e+00	4.667e+00	2.152e-05
GO:0043235	GO:0016027	inaD signaling complex	1.075e-03	0.000e+00	6.390e+00	4.069e-07
GO:0031514	GO:0031514	motile cilium	1.850e-22	0.000e+00	3.563e+00	2.735e-04
GO:0031514	GO:0097729	9+2 motile cilium	5.253e-13	0.000e+00	4.713e+00	1.937e-05
GO:0031514	GO:0036126	sperm flagellum	1.843e-10	0.000e+00	4.860e+00	1.379e-05
GO:0031514	GO:0016028	rhabdomere	1.606e-04	0.000e+00	5.887e+00	1.298e-06
GO:0031514	GO:0097730	non-motile cilium	6.919e-13	0.000e+00	4.704e+00	1.976e-05
GO:0031514	GO:0097731	9+0 non-motile cilium	3.325e-07	0.000e+00	5.419e+00	3.808e-06
GO:0031514	GO:0097733	photoreceptor cell cilium	1.418e-06	0.000e+00	5.839e+00	1.447e-06
GO:0031514	GO:0098858	actin-based cell projection	6.075e-12	0.000e+00	3.951e+00	1.119e-04
GO:0031514	GO:0030175	filopodium	5.664e-05	0.000e+00	4.203e+00	6.267e-05
GO:0031514	GO:0005902	microvillus	1.445e-05	0.000e+00	4.479e+00	3.322e-05
GO:0031514	GO:0043197	dendritic spine	2.702e-07	0.000e+00	4.330e+00	4.682e-05
GO:0031514	GO:0044309	neuron spine	2.528e-07	0.000e+00	4.314e+00	4.850e-05
GO:0031514	GO:0032420	stereocilium	2.494e-07	0.000e+00	4.805e+00	1.568e-05
GO:0034702	GO:1902495	transmembrane transporter complex	5.796e-15	0.000e+00	2.247e+00	5.657e-03
GO:0034702	GO:0034702	monoatomic ion channel complex	3.052e-19	0.000e+00	3.163e+00	6.863e-04
GO:0034702	GO:1990351	transporter complex	1.586e-13	0.000e+00	2.242e+00	5.723e-03
GO:0034702	GO:0034703	cation channel complex	1.161e-17	0.000e+00	3.334e+00	4.639e-04
GO:0034702	GO:0034706	sodium channel complex	2.029e-08	0.000e+00	3.906e+00	1.242e-04
GO:0034702	GO:0034704	calcium channel complex	3.896e-04	0.000e+00	3.767e+00	1.708e-04
GO:0034702	GO:0005891	voltage-gated calcium channel complex	1.646e-03	0.000e+00	3.811e+00	1.547e-04
GO:0034702	GO:0034705	potassium channel complex	4.762e-08	0.000e+00	3.809e+00	1.554e-04
GO:0034702	GO:0008076	voltage-gated potassium channel complex	3.672e-07	0.000e+00	3.821e+00	1.511e-04
GO:0044306	GO:0044306	neuron projection terminus	8.915e-09	0.000e+00	4.950e+00	1.122e-05
GO:0044306	GO:0043679	axon terminus	1.744e-07	0.000e+00	5.095e+00	8.038e-06
GO:0043204	GO:0043204	perikaryon	5.237e-11	0.000e+00	4.135e+00	7.324e-05
GO:0097014	GO:0032838	plasma membrane bounded cell projection cytoplasm	3.137e-18	0.000e+00	4.708e+00	1.961e-05
GO:0097014	GO:0097014	ciliary plasm	8.766e-25	0.000e+00	5.408e+00	3.908e-06
GO:0097014	GO:0032839	dendrite cytoplasm	1.745e-03	0.000e+00	5.430e+00	3.712e-06
GO:0005930	GO:0005930	axoneme	3.290e-25	0.000e+00	4.083e+00	8.261e-05
GO:0099572	GO:0099572	postsynaptic specialization	4.206e-05	0.000e+00	4.119e+00	7.602e-05
GO:0099572	GO:0014069	postsynaptic density	1.816e-04	0.000e+00	4.134e+00	7.346e-05
GO:0008021	GO:0070382	exocytic vesicle	2.088e-05	0.000e+00	4.140e+00	7.245e-05
GO:0008021	GO:0008021	synaptic vesicle	1.377e-05	0.000e+00	4.157e+00	6.962e-05
GO:0008021	GO:0030133	transport vesicle	1.327e-04	0.000e+00	3.968e+00	1.077e-04
GO:0008021	GO:0031045	dense core granule	6.756e-05	0.000e+00	5.322e+00	4.760e-06
GO:0009897	GO:0009897	external side of plasma membrane	1.075e-03	0.000e+00	4.116e+00	7.661e-05
GO:0005875	GO:0005875	microtubule associated complex	6.864e-09	0.000e+00	3.114e+00	7.694e-04
GO:0005875	GO:0030286	dynein complex	3.164e-07	0.000e+00	3.300e+00	5.017e-04
GO:0005875	GO:0005871	kinesin complex	4.204e-04	0.000e+00	3.878e+00	1.325e-04
GO:0005875	GO:0005858	axonemal dynein complex	2.435e-08	0.000e+00	4.658e+00	2.196e-05
GO:0005875	GO:0036157	outer dynein arm	2.723e-03	0.000e+00	5.194e+00	6.403e-06
GO:0005875	GO:0036156	inner dynein arm	8.824e-04	0.000e+00	5.933e+00	1.167e-06
GO:0036064	GO:0036064	ciliary basal body	3.978e-06	0.000e+00	4.219e+00	6.038e-05
GO:0043195	GO:0043195	terminal bouton	5.639e-06	0.000e+00	5.091e+00	8.111e-06
GO:0042383	GO:0042383	sarcolemma	4.779e-06	0.000e+00	4.101e+00	7.922e-05
GO:0030672	GO:0030672	synaptic vesicle membrane	2.444e-04	0.000e+00	4.224e+00	5.965e-05
GO:0030672	GO:0099501	exocytic vesicle membrane	3.066e-04	0.000e+00	4.224e+00	5.969e-05
GO:0030672	GO:0030658	transport vesicle membrane	1.999e-03	0.000e+00	3.622e+00	2.385e-04
GO:0032421	GO:0098862	cluster of actin-based cell projections	4.786e-04	0.000e+00	4.895e+00	1.274e-05
GO:0032421	GO:0032421	stereocilium bundle	2.763e-07	0.000e+00	5.675e+00	2.111e-06
GO:0005918	GO:0005918	septate junction	8.634e-09	0.000e+00	5.695e+00	2.019e-06
GO:0005918	GO:0043296	apical junction complex	1.226e-08	0.000e+00	5.334e+00	4.630e-06
GO:0005918	GO:0070160	tight junction	6.479e-09	0.000e+00	3.318e+00	4.805e-04
GO:0005918	GO:0098984	neuron to neuron synapse	1.130e-04	0.000e+00	4.936e+00	1.159e-05
GO:0005918	GO:0098686	hippocampal mossy fiber to CA3 synapse	7.452e-03	0.000e+00	5.174e+00	6.703e-06
GO:0005918	GO:0032279	asymmetric synapse	2.444e-04	0.000e+00	5.509e+00	3.098e-06
GO:0005918	GO:0098982	GABA-ergic synapse	1.393e-04	0.000e+00	4.862e+00	1.373e-05
GO:0005918	GO:0098685	Schaffer collateral - CA1 synapse	7.044e-03	0.000e+00	4.779e+00	1.665e-05
GO:0005918	GO:0060077	inhibitory synapse	2.386e-03	0.000e+00	5.696e+00	2.012e-06
GO:0005918	GO:0060076	excitatory synapse	1.662e-05	0.000e+00	5.082e+00	8.280e-06
GO:0005918	GO:0098978	glutamatergic synapse	1.327e-04	0.000e+00	4.086e+00	8.195e-05
GO:0005918	GO:0005923	bicellular tight junction	3.449e-03	0.000e+00	3.328e+00	4.695e-04
GO:0005918	GO:0031594	neuromuscular junction	2.903e-03	0.000e+00	4.722e+00	1.897e-05
GO:0044304	GO:0044304	main axon	3.672e-07	0.000e+00	6.248e+00	5.643e-07
GO:0048786	GO:0048786	presynaptic active zone	8.021e-04	0.000e+00	4.900e+00	1.258e-05
GO:0016328	GO:0016328	lateral plasma membrane	5.551e-03	0.000e+00	4.457e+00	3.490e-05
GO:0001750	GO:0001750	photoreceptor outer segment	4.490e-05	0.000e+00	4.498e+00	3.176e-05
GO:0035869	GO:0035869	ciliary transition zone	6.689e-04	0.000e+00	4.733e+00	1.850e-05
GO:0035869	GO:0032391	photoreceptor connecting cilium	1.733e-03	0.000e+00	5.093e+00	8.081e-06
GO:0044295	GO:0030426	growth cone	2.150e-03	0.000e+00	4.359e+00	4.374e-05
GO:0044295	GO:0044295	axonal growth cone	2.107e-05	0.000e+00	5.377e+00	4.196e-06
GO:0001917	GO:0001917	photoreceptor inner segment	1.393e-04	0.000e+00	4.698e+00	2.005e-05
GO:0043198	GO:0043198	dendritic shaft	3.952e-04	0.000e+00	5.442e+00	3.612e-06
GO:0044298	GO:0044298	cell body membrane	1.055e-03	0.000e+00	5.401e+00	3.973e-06
GO:0044298	GO:0032809	neuronal cell body membrane	2.659e-03	0.000e+00	5.466e+00	3.417e-06
GO:0097546	GO:0097546	ciliary base	1.138e-03	0.000e+00	4.906e+00	1.241e-05
GO:0097225	GO:0097225	sperm midpiece	5.935e-05	0.000e+00	5.064e+00	8.630e-06
GO:0097542	GO:0097542	ciliary tip	1.745e-03	0.000e+00	5.493e+00	3.213e-06
GO:0033268	GO:0033268	node of Ranvier	2.546e-03	0.000e+00	5.697e+00	2.008e-06
GO:0008074	GO:0008074	guanylate cyclase complex, soluble	6.756e-04	0.000e+00	5.849e+00	1.417e-06
GO:0030990	GO:0030990	intraciliary transport particle	7.898e-03	0.000e+00	6.630e+00	2.342e-07
GO:0032426	GO:0032426	stereocilium tip	1.646e-03	0.000e+00	5.477e+00	3.336e-06
GO:0097228	GO:0097228	sperm principal piece	4.615e-03	0.000e+00	5.084e+00	8.246e-06
GO:0033270	GO:0033270	paranode region of axon	6.856e-03	0.000e+00	5.351e+00	4.453e-06
GO:0002141	GO:0002139	stereocilia coupling link	9.694e-05	0.000e+00	6.196e+00	6.372e-07
GO:0002141	GO:0002141	stereocilia ankle link	9.915e-05	0.000e+00	6.196e+00	6.372e-07
GO:0002177	GO:0002177	manchette	1.646e-03	0.000e+00	5.544e+00	2.856e-06
GO:1990696	GO:1990696	USH2 complex	9.015e-05	0.000e+00	6.276e+00	5.298e-07
GO:0002142	GO:0002142	stereocilia ankle link complex	3.291e-04	0.000e+00	6.089e+00	8.138e-07
