Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0022836	GO:0022836	gated channel activity	5.452e-24	0.000e+00	2.763e+00	1.727e-03
GO:0022836	GO:0022839	monoatomic ion gated channel activity	1.231e-20	0.000e+00	2.765e+00	1.718e-03
GO:0022836	GO:0005227	calcium activated cation channel activity	2.080e-05	0.000e+00	4.091e+00	8.109e-05
GO:0022836	GO:0005261	monoatomic cation channel activity	1.231e-20	0.000e+00	2.503e+00	3.142e-03
GO:0022836	GO:0005216	monoatomic ion channel activity	7.568e-21	0.000e+00	2.261e+00	5.486e-03
GO:0022836	GO:0015267	channel activity	1.725e-19	0.000e+00	2.200e+00	6.313e-03
GO:0022836	GO:0022803	passive transmembrane transporter activity	1.725e-19	0.000e+00	2.200e+00	6.313e-03
GO:0022836	GO:0005267	potassium channel activity	1.494e-11	0.000e+00	3.284e+00	5.196e-04
GO:0022836	GO:0005244	voltage-gated monoatomic ion channel activity	1.219e-14	0.000e+00	3.122e+00	7.548e-04
GO:0022836	GO:0022832	voltage-gated channel activity	1.219e-14	0.000e+00	3.117e+00	7.633e-04
GO:0022836	GO:0015276	ligand-gated monoatomic ion channel activity	2.866e-10	0.000e+00	3.183e+00	6.561e-04
GO:0022836	GO:0022834	ligand-gated channel activity	2.866e-10	0.000e+00	3.183e+00	6.562e-04
GO:0022836	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	1.624e-05	0.000e+00	3.456e+00	3.500e-04
GO:0022836	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	2.784e-06	0.000e+00	4.098e+00	7.977e-05
GO:0022836	GO:0005234	extracellularly glutamate-gated ion channel activity	2.223e-03	0.000e+00	6.721e+00	1.901e-07
GO:0022836	GO:0022843	voltage-gated monoatomic cation channel activity	4.777e-15	0.000e+00	3.490e+00	3.235e-04
GO:0022836	GO:0005249	voltage-gated potassium channel activity	3.266e-09	0.000e+00	3.656e+00	2.209e-04
GO:0022836	GO:0005245	voltage-gated calcium channel activity	1.953e-03	0.000e+00	4.020e+00	9.545e-05
GO:0022836	GO:0015271	outward rectifier potassium channel activity	2.062e-04	0.000e+00	5.857e+00	1.391e-06
GO:0022836	GO:0005251	delayed rectifier potassium channel activity	6.792e-03	0.000e+00	5.516e+00	3.049e-06
