dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	1.119330150280738	0.2171232532183748	1.2912322611776312	-19.020957992047517	2.302585092994046	9.52888329486171e-20	second-messenger-mediated signaling	1. second-messenger-mediated signaling	['GO:0019932', 'GO:0019722', 'GO:0070371', 'GO:0048016', 'GO:0010737', 'GO:0007263', 'GO:0019935', 'GO:0019933', 'GO:0019934']	GO:0019932	0
2	1.091113625116874	0.4588002007336421	1.319932370169811	-17.21470885102391	2.302585092994046	6.09945664909141e-18	neuropeptide signaling pathway	2. neuropeptide signaling pathway	['GO:0007218', 'GO:0007188', 'GO:0007187', 'GO:0007200', 'GO:0007193', 'GO:0007189', 'GO:0016056', 'GO:0071214', 'GO:0104004']	GO:0007218	0
3	-0.3325846253970407	-1.3020908025940487	1.4286698233106194	-15.683043810868835	3.7376696182833684	2.07470421436037e-16	sensory perception of mechanical stimulus	3. sensory perception of mechanical stimulus	['GO:0050954', 'GO:0007605', 'GO:0007606', 'GO:0006936', 'GO:0003012', 'GO:0001503', 'GO:0007608', 'GO:0019233', 'GO:0099565', 'GO:0048771', 'GO:0019226', 'GO:0001895', 'GO:0007591', 'GO:0050886', 'GO:0045494', 'GO:0050909', 'GO:0032941', 'GO:0060384', 'GO:0003016', 'GO:0050953', 'GO:0007601', 'GO:0003015', 'GO:0060047', 'GO:0030431', 'GO:0050802', 'GO:0007588', 'GO:0030421', 'GO:0035812', 'GO:0003014', 'GO:0033555', 'GO:0042596', 'GO:0048265', 'GO:0010092', 'GO:0007368', 'GO:0009855', 'GO:0009799', 'GO:0007367', 'GO:0007365', 'GO:0071910', 'GO:0001964', 'GO:0050884']	GO:0050954	0
4	0.14760931913094125	-1.0720449875468532	1.2572427864708269	-15.184528112217055	3.044522437723423	6.53840605027814e-16	detection of abiotic stimulus	4. detection of abiotic stimulus	['GO:0009582', 'GO:0009583', 'GO:0009584', 'GO:0051602', 'GO:0007603', 'GO:0043052', 'GO:0050962', 'GO:0009642', 'GO:0009648', 'GO:0009581', 'GO:0007602', 'GO:0050906', 'GO:0051606', 'GO:0062149', 'GO:0060004', 'GO:0050974', 'GO:0050982', 'GO:0009612', 'GO:0050910', 'GO:0010996']	GO:0009582	0
5	-1.0576102710982933	0.515148845560754	1.2847904732508904	-14.654964820958025	2.4849066497880004	2.21327398359651e-15	cilium assembly	5. cilium assembly	['GO:0060271', 'GO:1905515', 'GO:0008045', 'GO:0044458', 'GO:0099054', 'GO:0099172', 'GO:0060122', 'GO:0072499', 'GO:0033564', 'GO:0070286', 'GO:0036158']	GO:0060271	0
6	-0.08689962856500932	-0.2898588702347098	1.3597127536681144	-14.654964820958025	2.0794415416798357	2.21327398359651e-15	cilium movement	6. cilium movement	['GO:0007018', 'GO:0003341', 'GO:0060294', 'GO:0035082', 'GO:0001578', 'GO:0007019', 'GO:0022617']	GO:0003341	0
7	1.0034853995281086	-0.3112363592903269	1.2456938402224604	-13.910729821096465	3.1780538303479458	1.22820307084654e-14	regulation of membrane potential	7. regulation of membrane potential	['GO:0042391', 'GO:0060078', 'GO:0007204', 'GO:0060079', 'GO:0030322', 'GO:0060080', 'GO:0060081', 'GO:0001508', 'GO:0019228', 'GO:0050803', 'GO:0042445', 'GO:0035150', 'GO:0035296', 'GO:0097746', 'GO:0003018', 'GO:0035151', 'GO:0035152', 'GO:0042310', 'GO:0019229', 'GO:0008217', 'GO:0003073', 'GO:0051899', 'GO:0086010']	GO:0042391	0
8	1.1265908021408706	-0.7577324333750592	1.4921164467831465	-12.796935232168543	2.70805020110221	1.5961171639366e-13	regulation of behavior	8. regulation of behavior	['GO:0050795', 'GO:0042749', 'GO:0048520', 'GO:0045187', 'GO:0042752', 'GO:0060259', 'GO:1903998', 'GO:0043051', 'GO:0048521', 'GO:2000252', 'GO:1901045', 'GO:0046662', 'GO:0110110', 'GO:0001759']	GO:0050795	0
9	-0.2184630188103383	-1.321301186046593	1.4889707396936829	-12.737502500189967	3.367295829986474	1.83019557002758e-13	adult behavior	9. adult behavior	['GO:0030534', 'GO:0008344', 'GO:0007638', 'GO:0002118', 'GO:0040040', 'GO:0048266', 'GO:0007625', 'GO:0071625', 'GO:0007628', 'GO:0090659', 'GO:0036269', 'GO:0007631', 'GO:0042755', 'GO:0007612', 'GO:0008306', 'GO:0007613', 'GO:0072375', 'GO:0007622', 'GO:0048512', 'GO:0042745', 'GO:0022410', 'GO:0045475', 'GO:0007635', 'GO:0042048', 'GO:0030537', 'GO:0008345', 'GO:0002209', 'GO:0001662']	GO:0030534	0
10	-0.20959233507301825	0.2467703921240941	1.2110402769493152	-12.459593851909391	1.9459101490553132	3.47061267146659e-13	homophilic cell adhesion via plasma membrane adhesion molecu...	10. homophilic cell adhesion via plasma membrane adhesion molecu...	['GO:0098742', 'GO:0007156', 'GO:0007157', 'GO:0016339', 'GO:0007158', 'GO:0061343']	GO:0007156	0
11	1.7361867991662063	-0.07560418333975313	1.1842262139095114	-11.580218314464156	2.9444389791664403	2.62894612098221e-12	regulation of monoatomic ion transmembrane transport	11. regulation of monoatomic ion transmembrane transport	['GO:0034762', 'GO:0034765', 'GO:0010959', 'GO:0044070', 'GO:1904062', 'GO:2001257', 'GO:0032412', 'GO:0022898', 'GO:0032409', 'GO:0099601', 'GO:0014059', 'GO:0050433', 'GO:0051952', 'GO:0051955', 'GO:0014048', 'GO:0051954', 'GO:0051957', 'GO:0033605']	GO:0034765	0
12	-1.4548950882838467	-0.09237719942159685	1.7228531235371538	-11.020762778157192	3.295836866004329	9.53316745823186e-12	ear development	12. ear development	['GO:0043583', 'GO:0030879', 'GO:0021510', 'GO:0001823', 'GO:0048839', 'GO:0008544', 'GO:0072073', 'GO:0021537', 'GO:0007424', 'GO:0030902', 'GO:0021543', 'GO:0021675', 'GO:0022037', 'GO:0021987', 'GO:0021549', 'GO:0003231', 'GO:0003205', 'GO:0021536', 'GO:0090102', 'GO:0003281', 'GO:0060711', 'GO:0021544', 'GO:0071698', 'GO:0071696', 'GO:0030900', 'GO:0001822']	GO:0043583	0
13	1.7314563511879781	0.12159270475810788	1.410618400407593	-10.361154117495117	2.833213344056216	4.35357351595422e-11	positive regulation of monoatomic ion transport	13. positive regulation of monoatomic ion transport	['GO:0043270', 'GO:0034767', 'GO:1904064', 'GO:0034764', 'GO:0010765', 'GO:1901381', 'GO:0043268', 'GO:0043266', 'GO:0032414', 'GO:0032411', 'GO:2001259', 'GO:0090280', 'GO:0090279', 'GO:0051924', 'GO:0051928', 'GO:1904427']	GO:0043270	0
14	-0.34546122679139113	-0.5727244393653236	1.781033159528669	-9.430291850290573	2.6390573296152584	3.71285637533562e-10	mating	14. mating	['GO:0007618', 'GO:0046692', 'GO:0044706', 'GO:0007320', 'GO:0046693', 'GO:0019098', 'GO:0007617', 'GO:0018991', 'GO:0007619', 'GO:0007620', 'GO:0007340', 'GO:0060179', 'GO:0008049']	GO:0007618	0
15	-0.5778622358375554	1.125216846975035	1.3569031235923312	-9.374243642478667	1.3862943611198906	4.22431560487028e-10	neurotransmitter transport	15. neurotransmitter transport	['GO:0006836', 'GO:0007269', 'GO:0001504']	GO:0006836	0
16	1.5459274546415256	-0.043557426434630106	1.5650101907344227	-9.264937866803729	1.6094379124341003	5.43328058232066e-10	regulation of neurotransmitter transport	16. regulation of neurotransmitter transport	['GO:0051588', 'GO:0046928', 'GO:0051589', 'GO:0046929']	GO:0051588	0
17	1.105607059055503	0.6280778184605205	1.5379813172266537	-8.83699364681334	3.1354942159291497	1.45548037228894e-09	positive regulation of synaptic transmission	17. positive regulation of synaptic transmission	['GO:0050806', 'GO:0060291', 'GO:0032222', 'GO:0032228', 'GO:1900271', 'GO:0051966', 'GO:0051968', 'GO:0050805', 'GO:0048167', 'GO:0048168', 'GO:0008277', 'GO:0022400', 'GO:2000050', 'GO:0023058', 'GO:0016059', 'GO:0010738', 'GO:0070372', 'GO:0043949', 'GO:0010739', 'GO:0010752', 'GO:1902216', 'GO:1902214']	GO:0050806	0
18	-1.0427193373660348	0.42775854163587484	1.521793281233847	-8.645028302906262	2.0794415416798357	2.26449672587212e-09	synapse assembly	18. synapse assembly	['GO:0007416', 'GO:0007043', 'GO:0019991', 'GO:0120193', 'GO:0045216', 'GO:0043297', 'GO:0120192']	GO:0007416	0
19	-1.3944304498483069	-0.459884653007463	1.5361839389742147	-8.242560523774168	2.833213344056216	5.72057226549621e-09	central nervous system neuron differentiation	19. central nervous system neuron differentiation	['GO:0021953', 'GO:0021879', 'GO:0010001', 'GO:0001649', 'GO:0021872', 'GO:0071542', 'GO:0097154', 'GO:0042490', 'GO:0060113', 'GO:0042491', 'GO:0035315', 'GO:0060563', 'GO:0048645', 'GO:0048665', 'GO:0001708', 'GO:0048663']	GO:0021953	0
20	-1.315953463263424	-0.30490274813103274	1.785169061313494	-8.146501861019901	2.8903717578961645	7.13671146923238e-09	ear morphogenesis	20. ear morphogenesis	['GO:0048562', 'GO:0042471', 'GO:0042472', 'GO:0060713', 'GO:0060669', 'GO:0003007', 'GO:0048593', 'GO:0060443', 'GO:0001736', 'GO:0007164', 'GO:0060042', 'GO:0003151', 'GO:0021575', 'GO:0060411', 'GO:0001738', 'GO:0003146', 'GO:0060603']	GO:0042471	0
21	-0.3694251419323091	1.2882622796542298	0.8892570351134134	-8.131463611090988	2.4849066497880004	7.38816164742407e-09	potassium ion transport	21. potassium ion transport	['GO:0035725', 'GO:0006813', 'GO:0006814', 'GO:0071805', 'GO:0070588', 'GO:0006816', 'GO:0097553', 'GO:1902476', 'GO:0098661', 'GO:0006821', 'GO:0070509']	GO:0006813	0
22	0.18317177436860427	1.057340615393382	1.8263789200840066	-8.040780006317572	3.1780538303479458	9.10374309758499e-09	dopamine secretion	22. dopamine secretion	['GO:0050432', 'GO:0014046', 'GO:0015844', 'GO:0051937', 'GO:0015872', 'GO:0046879', 'GO:0009914', 'GO:0030072', 'GO:0099643', 'GO:0030073', 'GO:0014047', 'GO:0015800', 'GO:0006865', 'GO:0060986', 'GO:0048791', 'GO:0099003', 'GO:0016079', 'GO:0099504', 'GO:0031623', 'GO:0007589', 'GO:0017156', 'GO:0046717', 'GO:0014051']	GO:0014046	0
23	-0.03238051323867323	1.2891196598458636	1.6023874444311557	-7.999920818596436	0.6931471805599453	1.00018233854114e-08	amine transport	23. amine transport	['GO:0015837']	GO:0015837	0
24	-1.3733992465317677	-0.5796476394243985	1.6753951886548364	-7.047505233723539	2.0794415416798357	8.96385383460519e-08	inner ear receptor cell development	24. inner ear receptor cell development	['GO:0060119', 'GO:0060117', 'GO:0021954', 'GO:0021884', 'GO:0060856', 'GO:0060857', 'GO:0021782']	GO:0060119	0
25	0.04425172053520454	-1.1084758908221284	1.5129301581040926	-6.996599904595047	3.5263605246161616	1.00785973581964e-07	response to calcium ion	25. response to calcium ion	['GO:0051592', 'GO:0009415', 'GO:0001101', 'GO:0045471', 'GO:0042220', 'GO:0043279', 'GO:0071294', 'GO:1905145', 'GO:1905144', 'GO:0060359', 'GO:0071242', 'GO:0071322', 'GO:0009743', 'GO:0071326', 'GO:0071333', 'GO:0001678', 'GO:0042593', 'GO:0033500', 'GO:0071331', 'GO:0051384', 'GO:0031960', 'GO:0071869', 'GO:0071870', 'GO:0071868', 'GO:0071867', 'GO:1903351', 'GO:1903350', 'GO:0001975', 'GO:0014075', 'GO:0072347', 'GO:0071248', 'GO:0071241', 'GO:0071277']	GO:0051592	0
26	1.1260910414319973	-0.8892692647354465	1.5597857598157443	-6.888027597203667	2.833213344056216	1.29411360450491e-07	regulation of nervous system process	26. regulation of nervous system process	['GO:0031644', 'GO:0098815', 'GO:0031645', 'GO:0090394', 'GO:0006937', 'GO:0090257', 'GO:1903522', 'GO:0008016', 'GO:0034103', 'GO:0044060', 'GO:0051931', 'GO:0051930', 'GO:0061337', 'GO:0002027', 'GO:0098801', 'GO:0035815']	GO:0031644	0
27	-0.06153982808248194	-0.8478803197984568	1.6295600732076712	-6.690804748509009	1.791759469228055	2.03795810344506e-07	sodium ion homeostasis	27. sodium ion homeostasis	['GO:0055078', 'GO:0055075', 'GO:0051480', 'GO:0006874', 'GO:0099566']	GO:0055078	0
28	0.6681082039810003	-0.24213133086229552	1.6755150264002554	-6.661108155205663	1.791759469228055	2.18218639996496e-07	synaptic transmission, cholinergic	28. synaptic transmission, cholinergic	['GO:0007271', 'GO:0035249', 'GO:0007274', 'GO:0051932', 'GO:0016204']	GO:0007271	0
29	0.750370701362993	-0.5419954081005487	1.534911162061581	-6.534398985208869	2.5649493574615367	2.92146720029504e-07	regulation of adenylate cyclase activity	29. regulation of adenylate cyclase activity	['GO:0031279', 'GO:0045761', 'GO:0051339', 'GO:0051349', 'GO:0045762', 'GO:1900274', 'GO:0010863', 'GO:0007202', 'GO:0010518', 'GO:0060193', 'GO:0060191', 'GO:0010517']	GO:0045761	0
30	1.5628148102138408	-0.5979846116712456	1.7486915444605902	-6.110997632410643	3.4339872044851463	7.74466019851346e-07	regulation of excretion	30. regulation of excretion	['GO:0044062', 'GO:0035813', 'GO:2000292', 'GO:0051048', 'GO:1903531', 'GO:0050709', 'GO:1904950', 'GO:0051051', 'GO:0051224', 'GO:0043271', 'GO:0046883', 'GO:0090276', 'GO:0002791', 'GO:0050796', 'GO:0050708', 'GO:0017158', 'GO:1903305', 'GO:0017157', 'GO:0051047', 'GO:1903532', 'GO:0046888', 'GO:0045746', 'GO:0090278', 'GO:0002792', 'GO:0046676', 'GO:0060336', 'GO:0060334', 'GO:0060330', 'GO:0060331', 'GO:0021914']	GO:0044062	0
31	-0.544210048039705	-0.07736195512839225	1.5155356578992851	-6.067722485639168	1.9459101490553132	8.55613275490462e-07	cilium-dependent cell motility	31. cilium-dependent cell motility	['GO:0001539', 'GO:0060285', 'GO:0001764', 'GO:0030317', 'GO:0097722', 'GO:0022029']	GO:0060285	0
32	1.0828855236641863	0.3334023751841852	1.3305612663148922	-5.990379990055845	1.9459101490553132	1.02239804399806e-06	glutamate receptor signaling pathway	32. glutamate receptor signaling pathway	['GO:0007215', 'GO:0035235', 'GO:0035567', 'GO:0060071', 'GO:0060333', 'GO:0035771']	GO:0007215	0
33	-0.3865497616489237	-0.9674611547298924	1.2702051400349101	-5.472280056191935	1.0986122886681098	3.37069877967235e-06	rhythmic process	33. rhythmic process	['GO:0048511', 'GO:0007623']	GO:0048511	0
34	-0.016208731826528232	1.0097848807042245	1.6069949269484922	-5.3751674205675055	1.0986122886681098	4.21533970713278e-06	extracellular transport	34. extracellular transport	['GO:0006858', 'GO:0003351']	GO:0006858	0
35	1.132728800935204	-0.10727953433528833	1.6206416107679247	-4.137923023344994	2.833213344056216	7.27908811517997e-05	positive regulation of tyrosine phosphorylation of STAT prot...	35. positive regulation of tyrosine phosphorylation of STAT prot...	['GO:0042509', 'GO:0042531', 'GO:0010799', 'GO:0070875', 'GO:2000479', 'GO:0045666', 'GO:0010721', 'GO:0045668', 'GO:0050768', 'GO:0051961', 'GO:0045667', 'GO:0030501', 'GO:0045778', 'GO:0030278', 'GO:0030279', 'GO:0070169']	GO:0042531	0
36	-0.12970609596144214	-0.07329395845199954	1.6326458801083494	-4.035432251633991	1.6094379124341003	9.2165365215256e-05	axon midline choice point recognition	36. axon midline choice point recognition	['GO:0016199', 'GO:0016198', 'GO:0008038', 'GO:0008037']	GO:0016199	0
37	0.8765219210466327	-0.6731023879164357	1.5284357545403469	-4.025031033632881	2.3978952727983707	9.43993418390121e-05	regulation of axonogenesis	37. regulation of axonogenesis	['GO:0050770', 'GO:0031346', 'GO:0010976', 'GO:1902667', 'GO:0050920', 'GO:0030516', 'GO:0061387', 'GO:1901888', 'GO:0050807', 'GO:0051963']	GO:0050770	0
38	0.9352037356437263	0.47626498171886034	1.472425039176069	-3.8448901681936	1.0986122886681098	0.000142925536731875	serotonin receptor signaling pathway	38. serotonin receptor signaling pathway	['GO:0007210', 'GO:0098664']	GO:0007210	0
39	-0.6680826796378236	-0.6221033778173862	1.4963437351651447	-3.6510261256364145	1.0986122886681098	0.000223343786298233	biological process involved in intraspecies interaction betw...	39. biological process involved in intraspecies interaction betw...	['GO:0051703', 'GO:0035176']	GO:0051703	0
40	-0.005316003955798454	0.2076752026903219	1.406351340521968	-3.6406696487249883	1.3862943611198906	0.000228733803275143	cGMP metabolic process	40. cGMP metabolic process	['GO:0046068', 'GO:0009187', 'GO:0052652']	GO:0046068	0
41	0.8797433415727398	-0.21544048156099618	1.6509308451860167	-3.6070214285970827	1.791759469228055	0.000247160219026805	regulation of cell morphogenesis involved in differentiation	41. regulation of cell morphogenesis involved in differentiation	['GO:0010769', 'GO:0010771', 'GO:2000027', 'GO:0090175', 'GO:1905330']	GO:0010769	0
42	-1.484042769947389	-0.2621408679470417	1.5780542439829115	-3.597196124943948	2.302585092994046	0.000252815603757559	mesoderm development	42. mesoderm development	['GO:0007498', 'GO:0030282', 'GO:0001657', 'GO:0072164', 'GO:0021915', 'GO:0072163', 'GO:0072170', 'GO:0072234', 'GO:0072243']	GO:0007498	0
43	0.13761471795163563	1.2024052203265883	1.3705811200158213	-3.2774001055569952	1.0986122886681098	0.000527958631461279	microtubule-based transport	43. microtubule-based transport	['GO:0099111', 'GO:0035721']	GO:0099111	0
