Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0022836	GO:0022836	gated channel activity	5.439e-24	0.000e+00	2.763e+00	1.727e-03
GO:0022836	GO:0022839	monoatomic ion gated channel activity	1.228e-20	0.000e+00	2.765e+00	1.718e-03
GO:0022836	GO:0005227	calcium activated cation channel activity	2.075e-05	0.000e+00	4.091e+00	8.109e-05
GO:0022836	GO:0005261	monoatomic cation channel activity	1.228e-20	0.000e+00	2.503e+00	3.142e-03
GO:0022836	GO:0005216	monoatomic ion channel activity	7.551e-21	0.000e+00	2.261e+00	5.486e-03
GO:0022836	GO:0015267	channel activity	1.721e-19	0.000e+00	2.200e+00	6.313e-03
GO:0022836	GO:0022803	passive transmembrane transporter activity	1.721e-19	0.000e+00	2.200e+00	6.313e-03
GO:0022836	GO:0005267	potassium channel activity	1.491e-11	0.000e+00	3.284e+00	5.196e-04
GO:0022836	GO:0005244	voltage-gated monoatomic ion channel activity	1.216e-14	0.000e+00	3.122e+00	7.548e-04
GO:0022836	GO:0022832	voltage-gated channel activity	1.216e-14	0.000e+00	3.117e+00	7.633e-04
GO:0022836	GO:0015276	ligand-gated monoatomic ion channel activity	2.860e-10	0.000e+00	3.183e+00	6.561e-04
GO:0022836	GO:0022834	ligand-gated channel activity	2.860e-10	0.000e+00	3.183e+00	6.562e-04
GO:0022836	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	1.621e-05	0.000e+00	3.456e+00	3.500e-04
GO:0022836	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	2.778e-06	0.000e+00	4.098e+00	7.977e-05
GO:0022836	GO:0005234	extracellularly glutamate-gated ion channel activity	2.218e-03	0.000e+00	6.721e+00	1.901e-07
GO:0022836	GO:0022843	voltage-gated monoatomic cation channel activity	4.767e-15	0.000e+00	3.490e+00	3.235e-04
GO:0022836	GO:0005249	voltage-gated potassium channel activity	3.258e-09	0.000e+00	3.656e+00	2.209e-04
GO:0022836	GO:0005245	voltage-gated calcium channel activity	1.949e-03	0.000e+00	4.020e+00	9.545e-05
GO:0022836	GO:0015271	outward rectifier potassium channel activity	2.057e-04	0.000e+00	5.857e+00	1.391e-06
GO:0022836	GO:0005251	delayed rectifier potassium channel activity	6.777e-03	0.000e+00	5.516e+00	3.049e-06
GO:0022836	GO:0099094	ligand-gated monoatomic cation channel activity	1.691e-10	0.000e+00	3.731e+00	1.856e-04
GO:0022836	GO:0022848	acetylcholine-gated monoatomic cation-selective channel activity	2.900e-03	0.000e+00	4.284e+00	5.205e-05
GO:0015631	GO:0015631	tubulin binding	1.752e-09	0.000e+00	3.172e+00	6.727e-04
GO:0015631	GO:0008017	microtubule binding	3.172e-07	0.000e+00	3.272e+00	5.341e-04
GO:0015631	GO:0005516	calmodulin binding	2.102e-05	0.000e+00	3.503e+00	3.138e-04
GO:0015631	GO:0030165	PDZ domain binding	2.309e-03	0.000e+00	5.051e+00	8.900e-06
GO:0015631	GO:0097110	scaffold protein binding	4.149e-03	0.000e+00	5.241e+00	5.744e-06
GO:0015631	GO:0051018	protein kinase A binding	3.067e-04	0.000e+00	4.892e+00	1.282e-05
GO:0015631	GO:0045505	dynein intermediate chain binding	5.274e-03	0.000e+00	3.992e+00	1.019e-04
GO:0015631	GO:0001965	G-protein alpha-subunit binding	1.495e-03	0.000e+00	4.910e+00	1.231e-05
GO:0015631	GO:0051959	dynein light intermediate chain binding	2.900e-03	0.000e+00	4.015e+00	9.667e-05
GO:0015631	GO:0017147	Wnt-protein binding	4.078e-03	0.000e+00	4.756e+00	1.755e-05
GO:0015631	GO:0045503	dynein light chain binding	1.377e-03	0.000e+00	5.341e+00	4.558e-06
GO:0015631	GO:0045504	dynein heavy chain binding	9.669e-03	0.000e+00	5.290e+00	5.124e-06
GO:0015631	GO:0001664	G protein-coupled receptor binding	6.795e-05	0.000e+00	3.900e+00	1.258e-04
GO:0015631	GO:0031690	adrenergic receptor binding	2.214e-04	0.000e+00	5.821e+00	1.511e-06
GO:0015631	GO:0005160	transforming growth factor beta receptor binding	9.813e-03	0.000e+00	4.923e+00	1.194e-05
GO:0015631	GO:0042043	neurexin family protein binding	9.813e-03	0.000e+00	4.928e+00	1.179e-05
GO:0015631	GO:0031698	beta-2 adrenergic receptor binding	2.900e-03	0.000e+00	6.489e+00	3.241e-07
GO:0008188	GO:0008528	G protein-coupled peptide receptor activity	3.998e-07	0.000e+00	3.687e+00	2.054e-04
GO:0008188	GO:0008188	neuropeptide receptor activity	1.607e-18	0.000e+00	4.108e+00	7.793e-05
GO:0008188	GO:0001653	peptide receptor activity	3.998e-07	0.000e+00	3.670e+00	2.139e-04
GO:0008188	GO:0004983	neuropeptide Y receptor activity	6.275e-06	0.000e+00	4.589e+00	2.577e-05
GO:0008188	GO:0005000	vasopressin receptor activity	8.559e-04	0.000e+00	4.869e+00	1.352e-05
GO:0008188	GO:0035013	myosuppressin receptor activity	2.309e-03	0.000e+00	6.921e+00	1.201e-07
GO:0008188	GO:0004948	calcitonin receptor activity	9.669e-03	0.000e+00	5.058e+00	8.752e-06
GO:0008188	GO:0004993	G protein-coupled serotonin receptor activity	6.040e-03	0.000e+00	4.569e+00	2.700e-05
GO:0008188	GO:0099589	serotonin receptor activity	6.040e-03	0.000e+00	4.559e+00	2.761e-05
GO:0030594	GO:0030594	neurotransmitter receptor activity	8.524e-11	0.000e+00	3.725e+00	1.882e-04
GO:0030594	GO:0022824	transmitter-gated monoatomic ion channel activity	1.922e-07	0.000e+00	3.825e+00	1.496e-04
GO:0030594	GO:0022835	transmitter-gated channel activity	1.922e-07	0.000e+00	3.825e+00	1.496e-04
GO:0030594	GO:0019199	transmembrane receptor protein kinase activity	6.751e-03	0.000e+00	3.491e+00	3.230e-04
GO:0030594	GO:0099528	G protein-coupled neurotransmitter receptor activity	2.776e-04	0.000e+00	4.665e+00	2.162e-05
GO:0030594	GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	1.922e-07	0.000e+00	4.255e+00	5.556e-05
GO:0030594	GO:0098960	postsynaptic neurotransmitter receptor activity	1.211e-07	0.000e+00	4.048e+00	8.961e-05
GO:0030594	GO:1904315	transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	1.450e-06	0.000e+00	4.257e+00	5.538e-05
GO:0030594	GO:0008066	glutamate receptor activity	3.174e-04	0.000e+00	4.056e+00	8.785e-05
GO:0030594	GO:0004970	ionotropic glutamate receptor activity	2.082e-03	0.000e+00	4.075e+00	8.420e-05
GO:0030594	GO:0009881	photoreceptor activity	7.282e-06	0.000e+00	3.792e+00	1.614e-04
GO:0030594	GO:0008020	G protein-coupled photoreceptor activity	1.769e-04	0.000e+00	5.705e+00	1.973e-06
GO:0015079	GO:0015079	potassium ion transmembrane transporter activity	1.213e-09	0.000e+00	2.993e+00	1.017e-03
GO:0015079	GO:0015269	calcium-activated potassium channel activity	2.900e-03	0.000e+00	4.454e+00	3.519e-05
GO:0015079	GO:0015220	choline transmembrane transporter activity	2.309e-03	0.000e+00	5.095e+00	8.037e-06
GO:0015079	GO:0022841	potassium ion leak channel activity	4.951e-03	0.000e+00	5.650e+00	2.241e-06
GO:0015079	GO:0015085	calcium ion transmembrane transporter activity	1.350e-05	0.000e+00	3.228e+00	5.912e-04
