Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0005759	GO:0005759	mitochondrial matrix	5.631e-19	0.000e+00	3.362e+00	4.347e-04
GO:0005759	GO:0005758	mitochondrial intermembrane space	8.904e-03	0.000e+00	3.695e+00	2.019e-04
GO:0005759	GO:1904813	ficolin-1-rich granule lumen	6.710e-06	0.000e+00	6.322e+00	4.760e-07
GO:0098687	GO:0098687	chromosomal region	2.572e-21	0.000e+00	3.130e+00	7.411e-04
GO:0098687	GO:0000775	chromosome, centromeric region	7.850e-16	0.000e+00	3.398e+00	4.000e-04
GO:0098687	GO:0000779	condensed chromosome, centromeric region	1.732e-15	0.000e+00	4.722e+00	1.897e-05
GO:0098687	GO:0000781	chromosome, telomeric region	1.128e-05	0.000e+00	3.474e+00	3.359e-04
GO:0098687	GO:0005703	polytene chromosome puff	2.742e-04	0.000e+00	5.716e+00	1.923e-06
GO:0005743	GO:0019866	organelle inner membrane	2.357e-17	0.000e+00	1.694e+00	2.024e-02
GO:0005743	GO:0005743	mitochondrial inner membrane	1.054e-17	0.000e+00	1.702e+00	1.987e-02
GO:0005743	GO:0031965	nuclear membrane	4.693e-03	0.000e+00	3.522e+00	3.006e-04
GO:0005743	GO:0030663	COPI-coated vesicle membrane	2.742e-04	0.000e+00	3.990e+00	1.023e-04
GO:0005743	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	9.380e-03	0.000e+00	4.174e+00	6.692e-05
GO:0005743	GO:0030867	rough endoplasmic reticulum membrane	9.884e-04	0.000e+00	4.546e+00	2.842e-05
GO:0016607	GO:0016607	nuclear speck	2.078e-22	0.000e+00	3.692e+00	2.034e-04
GO:0016607	GO:0015030	Cajal body	2.477e-06	0.000e+00	4.335e+00	4.625e-05
GO:0005938	GO:0005938	cell cortex	1.278e-05	0.000e+00	3.836e+00	1.458e-04
GO:0005819	GO:0005819	spindle	2.529e-08	0.000e+00	3.456e+00	3.503e-04
GO:0005819	GO:0072686	mitotic spindle	7.758e-08	0.000e+00	4.179e+00	6.629e-05
GO:0005819	GO:0005840	ribosome	9.020e-34	0.000e+00	1.297e+00	5.047e-02
GO:0005681	GO:0005681	spliceosomal complex	3.712e-32	0.000e+00	3.062e+00	8.665e-04
GO:0005681	GO:0005684	U2-type spliceosomal complex	2.296e-20	0.000e+00	4.090e+00	8.128e-05
GO:0005681	GO:0008023	transcription elongation factor complex	1.307e-06	0.000e+00	3.799e+00	1.588e-04
GO:0005681	GO:0008180	COP9 signalosome	2.421e-04	0.000e+00	4.059e+00	8.726e-05
GO:0005681	GO:0016592	mediator complex	6.155e-03	0.000e+00	3.449e+00	3.553e-04
GO:0005681	GO:0005689	U12-type spliceosomal complex	6.098e-04	0.000e+00	4.640e+00	2.290e-05
GO:0005681	GO:0031298	replication fork protection complex	3.690e-05	0.000e+00	5.154e+00	7.010e-06
GO:0005681	GO:0005697	telomerase holoenzyme complex	1.110e-03	0.000e+00	5.005e+00	9.877e-06
