Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0140014	GO:0140014	mitotic nuclear division	8.629e-31	0.000e+00	5.537e+00	2.905e-06
GO:0140014	GO:0140013	meiotic nuclear division	2.649e-23	0.000e+00	4.341e+00	4.559e-05
GO:0140014	GO:0007127	meiosis I	1.741e-13	0.000e+00	4.822e+00	1.505e-05
GO:0140014	GO:0007140	male meiotic nuclear division	2.205e-08	0.000e+00	4.574e+00	2.665e-05
GO:1903046	GO:1903046	meiotic cell cycle process	6.958e-25	0.000e+00	3.563e+00	2.732e-04
GO:1903046	GO:0061982	meiosis I cell cycle process	1.566e-15	0.000e+00	4.102e+00	7.909e-05
GO:1903046	GO:0032506	cytokinetic process	6.455e-04	0.000e+00	2.938e+00	1.152e-03
GO:1903046	GO:0051298	centrosome duplication	1.977e-03	0.000e+00	4.821e+00	1.509e-05
GO:1903046	GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	1.868e-05	0.000e+00	5.308e+00	4.921e-06
GO:1903046	GO:0030728	ovulation	4.369e-03	0.000e+00	5.634e+00	2.324e-06
GO:1903046	GO:0007542	primary sex determination, germ-line	4.195e-03	0.000e+00	6.264e+00	5.441e-07
GO:1903046	GO:0007538	primary sex determination	6.226e-03	0.000e+00	6.069e+00	8.532e-07
GO:1903046	GO:0007131	reciprocal meiotic recombination	2.571e-08	0.000e+00	4.254e+00	5.567e-05
GO:1903046	GO:0140527	reciprocal homologous recombination	2.571e-08	0.000e+00	4.254e+00	5.567e-05
GO:1903046	GO:0035825	homologous recombination	5.033e-08	0.000e+00	4.185e+00	6.534e-05
GO:1903046	GO:0051304	chromosome separation	2.322e-15	0.000e+00	3.916e+00	1.214e-04
GO:1903046	GO:0051306	mitotic sister chromatid separation	2.185e-14	0.000e+00	5.300e+00	5.011e-06
GO:1903046	GO:0051307	meiotic chromosome separation	6.828e-06	0.000e+00	5.884e+00	1.307e-06
GO:1903046	GO:0045137	development of primary sexual characteristics	2.358e-03	0.000e+00	5.843e+00	1.434e-06
GO:1903046	GO:0008406	gonad development	3.728e-03	0.000e+00	4.567e+00	2.711e-05
GO:1903046	GO:0007143	female meiotic nuclear division	2.048e-19	0.000e+00	5.026e+00	9.422e-06
GO:1903046	GO:0007144	female meiosis I	3.286e-05	0.000e+00	5.862e+00	1.374e-06
GO:1903046	GO:0070192	chromosome organization involved in meiotic cell cycle	2.607e-09	0.000e+00	4.377e+00	4.201e-05
GO:1903046	GO:0007130	synaptonemal complex assembly	1.468e-03	0.000e+00	4.822e+00	1.507e-05
GO:1903046	GO:0007129	homologous chromosome pairing at meiosis	3.480e-03	0.000e+00	4.902e+00	1.252e-05
GO:1903046	GO:0010032	meiotic chromosome condensation	1.011e-07	0.000e+00	5.350e+00	4.467e-06
GO:1903046	GO:0008608	attachment of spindle microtubules to kinetochore	6.043e-10	0.000e+00	4.172e+00	6.726e-05
GO:1903046	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	7.650e-07	0.000e+00	4.530e+00	2.950e-05
GO:1903046	GO:0061983	meiosis II cell cycle process	1.063e-06	0.000e+00	5.184e+00	6.546e-06
GO:1903046	GO:0007135	meiosis II	2.544e-06	0.000e+00	5.215e+00	6.090e-06
GO:0006260	GO:0006260	DNA replication	3.666e-27	0.000e+00	2.060e+00	8.702e-03
GO:0006260	GO:0006261	DNA-templated DNA replication	2.150e-19	0.000e+00	3.047e+00	8.967e-04
GO:0006260	GO:0044786	cell cycle DNA replication	6.075e-14	0.000e+00	4.336e+00	4.618e-05
GO:0006260	GO:0033260	nuclear DNA replication	2.336e-12	0.000e+00	4.391e+00	4.062e-05
GO:0006260	GO:1902969	mitotic DNA replication	1.396e-05	0.000e+00	5.884e+00	1.307e-06
GO:0006260	GO:0042023	DNA endoreduplication	1.793e-03	0.000e+00	5.260e+00	5.498e-06
GO:0006260	GO:0006310	DNA recombination	1.695e-16	0.000e+00	1.896e+00	1.270e-02
GO:0006260	GO:0000725	recombinational repair	1.324e-15	0.000e+00	3.361e+00	4.352e-04
GO:0006260	GO:0006270	DNA replication initiation	1.097e-13	0.000e+00	3.269e+00	5.381e-04
GO:0006260	GO:0006312	mitotic recombination	9.889e-03	0.000e+00	5.107e+00	7.816e-06
GO:0006260	GO:0006302	double-strand break repair	5.910e-16	0.000e+00	3.052e+00	8.878e-04
GO:0006260	GO:0000724	double-strand break repair via homologous recombination	1.324e-15	0.000e+00	3.516e+00	3.049e-04
GO:0006260	GO:0006303	double-strand break repair via nonhomologous end joining	6.906e-03	0.000e+00	3.746e+00	1.796e-04
GO:0006260	GO:0000727	double-strand break repair via break-induced replication	1.011e-07	0.000e+00	4.662e+00	2.177e-05
GO:0006260	GO:0071897	DNA biosynthetic process	1.815e-15	0.000e+00	2.145e+00	7.165e-03
GO:0006260	GO:0006278	RNA-templated DNA biosynthetic process	4.776e-04	0.000e+00	2.671e+00	2.133e-03
GO:0006260	GO:0000731	DNA synthesis involved in DNA repair	2.038e-03	0.000e+00	4.148e+00	7.107e-05
GO:1901990	GO:1901990	regulation of mitotic cell cycle phase transition	1.182e-19	0.000e+00	3.704e+00	1.975e-04
GO:1901990	GO:1901991	negative regulation of mitotic cell cycle phase transition	1.062e-11	0.000e+00	3.945e+00	1.136e-04
GO:1901990	GO:0007096	regulation of exit from mitosis	6.414e-05	0.000e+00	4.859e+00	1.384e-05
GO:1901990	GO:0009794	regulation of mitotic cell cycle, embryonic	4.481e-03	0.000e+00	5.699e+00	1.999e-06
GO:1901990	GO:0045930	negative regulation of mitotic cell cycle	5.074e-14	0.000e+00	3.858e+00	1.388e-04
GO:1901990	GO:0007093	mitotic cell cycle checkpoint signaling	2.206e-13	0.000e+00	3.990e+00	1.022e-04
GO:1901990	GO:0010389	regulation of G2/M transition of mitotic cell cycle	5.855e-11	0.000e+00	4.271e+00	5.355e-05
GO:1901990	GO:1902749	regulation of cell cycle G2/M phase transition	3.627e-11	0.000e+00	4.136e+00	7.314e-05
GO:1901990	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	5.540e-07	0.000e+00	4.357e+00	4.397e-05
GO:1901990	GO:0044818	mitotic G2/M transition checkpoint	8.996e-08	0.000e+00	4.428e+00	3.734e-05
GO:1901990	GO:1902750	negative regulation of cell cycle G2/M phase transition	6.966e-07	0.000e+00	4.351e+00	4.458e-05
GO:1901990	GO:2000045	regulation of G1/S transition of mitotic cell cycle	1.605e-03	0.000e+00	4.607e+00	2.472e-05
GO:1901990	GO:1902806	regulation of cell cycle G1/S phase transition	3.712e-03	0.000e+00	4.531e+00	2.942e-05
GO:1901990	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	5.589e-03	0.000e+00	5.737e+00	1.834e-06
GO:1901990	GO:0030330	DNA damage response, signal transduction by p53 class mediator	6.046e-03	0.000e+00	5.143e+00	7.198e-06
GO:1901990	GO:0072331	signal transduction by p53 class mediator	3.265e-03	0.000e+00	4.654e+00	2.219e-05
