dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.5653419844569962	-1.0919579584674723	0.5890880674598169	-11.92085105254817	1.0986122886681098	1.19991075900024e-12	catalytic activity, acting on DNA	1. catalytic activity, acting on DNA	['GO:0140097', 'GO:0034061']	GO:0140097	0
2	0.6581082975004826	-1.0438240054029102	0.8778828936813525	-7.90374418867543	2.0794415416798357	1.24811847367386e-08	ATP-dependent activity, acting on DNA	2. ATP-dependent activity, acting on DNA	['GO:0008094', 'GO:0003678', 'GO:0004386', 'GO:0017116', 'GO:0043138', 'GO:0008574', 'GO:0003777']	GO:0008094	0
3	-0.7792382657116046	0.4180243968737863	1.18551299820134	-6.170057249332985	1.9459101490553132	6.75993859020455e-07	microtubule binding	3. microtubule binding	['GO:0015631', 'GO:0008017', 'GO:0051015', 'GO:0042393', 'GO:0019838', 'GO:0042826']	GO:0008017	0
4	0.025727730209863978	0.7222210395245826	1.1133693541989984	-6.170057249332985	0.6931471805599453	6.75993859020455e-07	single-stranded DNA binding	4. single-stranded DNA binding	['GO:0003697']	GO:0003697	0
5	0.1027514128773302	1.0412344980401587	1.1564758664959045	-5.150999353448047	0.6931471805599453	7.06318605787567e-06	damaged DNA binding	5. damaged DNA binding	['GO:0003684']	GO:0003684	0
6	0.4881689016659705	0.8112813282495508	1.3025202097477282	-5.150999353448047	1.0986122886681098	7.06318605787567e-06	DNA secondary structure binding	6. DNA secondary structure binding	['GO:0000217', 'GO:0000400']	GO:0000217	0
7	-0.36477671370089837	0.9051312003254104	1.3128478942981956	-4.799017899224645	1.3862943611198906	1.58848127880628e-05	DNA replication origin binding	7. DNA replication origin binding	['GO:0000978', 'GO:0003688', 'GO:0000987']	GO:0003688	0
8	-0.4145378529487004	-0.8714354911369948	1.3933079821426244	-3.6451066508831094	1.0986122886681098	0.000226408824098	DNA-binding transcription activator activity, RNA polymerase...	8. DNA-binding transcription activator activity, RNA polymerase...	['GO:0001228', 'GO:0001216']	GO:0001228	0
9	-1.0599772038506388	-0.31012317877081563	1.4442324480800817	-3.2983548458056235	1.0986122886681098	0.000503089385260571	extracellular matrix structural constituent	9. extracellular matrix structural constituent	['GO:0005201', 'GO:0005200']	GO:0005201	0
10	1.0375827287069468	0.01626024993100848	1.611225736697357	-2.8227425609908354	1.0986122886681098	0.00150403325554802	histone kinase activity	10. histone kinase activity	['GO:0004674', 'GO:0035173']	GO:0035173	0
11	0.46161930386158684	-0.18923979047905642	1.3668185756207294	-2.595107226986096	0.6931471805599453	0.00254034541871077	cyclin-dependent protein serine/threonine kinase regulator a...	11. cyclin-dependent protein serine/threonine kinase regulator a...	['GO:0016538']	GO:0016538	0
12	-0.7207703230673351	-0.40757228868724754	1.8623293181023584	-2.255923692067186	0.6931471805599453	0.00554723172312697	structural molecule activity conferring elasticity	12. structural molecule activity conferring elasticity	['GO:0097493']	GO:0097493	0
