dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-1.5122653105679265	-0.5070210515581255	0.9085091050032322	-47.02615323111002	3.6109179126442243	9.41557330431155e-48	ribosomal subunit	1. ribosomal subunit	['GO:0044391', 'GO:0015934', 'GO:0015935', 'GO:0022625', 'GO:0005844', 'GO:0022627', 'GO:0005732', 'GO:0005681', 'GO:0005684', 'GO:0008180', 'GO:0016592', 'GO:0005689', 'GO:0031298', 'GO:0005680', 'GO:0000152', 'GO:0044615', 'GO:0005697', 'GO:0031080', 'GO:0031523', 'GO:0000176', 'GO:0000178', 'GO:0005662', 'GO:0043240', 'GO:0000346', 'GO:0005667', 'GO:0090575', 'GO:0030684', 'GO:0032040', 'GO:0030686', 'GO:0030687', 'GO:0030688', 'GO:0098803', 'GO:0045271', 'GO:0016282', 'GO:0070993', 'GO:0033290']	GO:0044391	0
2	0.7941072135232021	0.8550703480321741	1.1410707210491033	-42.116933298924565	1.791759469228055	7.63953106230908e-43	chromosomal region	2. chromosomal region	['GO:0098687', 'GO:0000775', 'GO:0000781', 'GO:0000779', 'GO:0005703']	GO:0098687	0
3	-1.425842574393174	-0.18936771953206485	1.102450317740595	-37.116675822505655	2.5649493574615367	7.64406158796892e-38	mitochondrial protein-containing complex	3. mitochondrial protein-containing complex	['GO:0098798', 'GO:0098800', 'GO:0005762', 'GO:0000315', 'GO:0005763', 'GO:0000314', 'GO:0005747', 'GO:0005742', 'GO:0098799', 'GO:0005744', 'GO:0005753', 'GO:0045259']	GO:0098798	0
4	0.7800426944063075	-0.9356033678273404	1.5476444809892178	-30.73544506452711	0.6931471805599453	1.83888654653399e-31	cytosolic ribosome	4. cytosolic ribosome	['GO:0022626']	GO:0022626	0
5	1.0662346297615235	-0.6543079529246564	1.5286331454118087	-27.930535637386747	1.3862943611198906	1.17344938749511e-28	condensed chromosome	5. condensed chromosome	['GO:0000793', 'GO:0000794', 'GO:0005700']	GO:0000793	0
6	-1.1129988580569703	-0.8534487085349397	1.463920119337456	-23.685356007275857	2.1972245773362196	2.06368778092791e-24	precatalytic spliceosome	6. precatalytic spliceosome	['GO:0071011', 'GO:0071005', 'GO:0071013', 'GO:0071007', 'GO:0071010', 'GO:0071004', 'GO:0071006', 'GO:0071012']	GO:0071011	0
7	-0.2880577139102988	1.0887163595145612	1.4290199582478034	-22.653892659193808	1.0986122886681098	2.21874473995917e-23	replication fork	7. replication fork	['GO:0005657', 'GO:0043596']	GO:0005657	0
8	1.122630490276857	-0.8172651457063238	1.2535083655501653	-18.495169453498075	2.302585092994046	3.19764720475341e-19	kinetochore	8. kinetochore	['GO:0030016', 'GO:0000776', 'GO:0043292', 'GO:0035770', 'GO:0036464', 'GO:0010494', 'GO:0005884', 'GO:0005876', 'GO:1990498']	GO:0000776	0
9	0.5816413664091138	0.0842620294567718	0.5316849033122849	-18.28710072942703	1.3862943611198906	5.16296606541701e-19	mitochondrial inner membrane	9. mitochondrial inner membrane	['GO:0019866', 'GO:0005743', 'GO:0031965']	GO:0005743	0
10	0.675113862998065	-1.0585600327644293	1.4886571810973328	-17.988810720115087	1.0986122886681098	1.02609903667552e-18	mitochondrial ribosome	10. mitochondrial ribosome	['GO:0000313', 'GO:0005761']	GO:0005761	0
11	-1.4247448616615928	-0.43647985768000924	1.1590198424482319	-17.806346546998164	1.9459101490553132	1.56190082032152e-18	nuclear pore	11. nuclear pore	['GO:0005643', 'GO:0097525', 'GO:0055029', 'GO:0000428', 'GO:0030880', 'GO:0061695']	GO:0005643	0
12	-1.508020327653223	0.09506756457165992	1.013281090508265	-16.47271506973793	2.1972245773362196	3.36732419037606e-17	Sm-like protein family complex	12. Sm-like protein family complex	['GO:0120114', 'GO:0030532', 'GO:0005686', 'GO:0005682', 'GO:0005685', 'GO:0034719', 'GO:0046540', 'GO:0097526']	GO:0120114	0
13	-1.470706958004225	-0.04666806590548346	1.0713273202457132	-13.930971526527395	3.1780538303479458	1.17227222023583e-14	proteasome complex	13. proteasome complex	['GO:1905369', 'GO:0000502', 'GO:1905368', 'GO:0031597', 'GO:0101031', 'GO:0005839', 'GO:0017101', 'GO:1990204', 'GO:0030964', 'GO:0033202', 'GO:1904949', 'GO:0016469', 'GO:0070603', 'GO:0031011', 'GO:0097346', 'GO:0034708', 'GO:0035097', 'GO:0034709', 'GO:0048188', 'GO:0000307', 'GO:0042575', 'GO:0045239', 'GO:0030062']	GO:0000502	0
14	-1.363022379465496	-0.6442324564531724	0.9763078570623536	-13.143714817695104	2.3978952727983707	7.18265790365179e-14	protein-DNA complex	14. protein-DNA complex	['GO:0032993', 'GO:0031261', 'GO:0071162', 'GO:0000792', 'GO:0005721', 'GO:0000791', 'GO:0030894', 'GO:0043601', 'GO:0005656', 'GO:0036387']	GO:0032993	0
15	0.394781441709757	0.8409152844805109	1.3060825753857248	-12.414997508145888	1.0986122886681098	3.84593988726311e-13	nuclear speck	15. nuclear speck	['GO:0016607', 'GO:0015030']	GO:0016607	0
16	0.7382293745840114	-1.161654317351802	1.2399862572844953	-12.200221272981805	1.3862943611198906	6.30635953676831e-13	spindle	16. spindle	['GO:0005840', 'GO:0005819', 'GO:0072686']	GO:0005819	0
17	-0.8618596175889089	-0.748905944028522	1.5959041808235843	-12.174674207017228	0.6931471805599453	6.68845474597692e-13	proteasome accessory complex	17. proteasome accessory complex	['GO:0022624']	GO:0022624	0
18	-1.1499097264202838	0.3567927506269017	1.5142831984964393	-11.516152166343629	0.6931471805599453	3.04682726757478e-12	proteasome regulatory particle	18. proteasome regulatory particle	['GO:0005838']	GO:0005838	0
19	0.4307026648763515	-1.1360562113602517	1.6276575230142851	-10.93766299576254	0.6931471805599453	1.1543486629205e-11	proteasome storage granule	19. proteasome storage granule	['GO:0034515']	GO:0034515	0
20	0.002869254307477885	-0.1501690391330237	1.5552530445005615	-8.803346390669532	0.6931471805599453	1.57272796570637e-09	nuclear periphery	20. nuclear periphery	['GO:0034399']	GO:0034399	0
21	0.9575741452358429	-0.899017450642144	1.432935973727251	-8.736282991554418	1.0986122886681098	1.835342022489e-09	mitochondrial nucleoid	21. mitochondrial nucleoid	['GO:0009295', 'GO:0042645']	GO:0042645	0
22	0.029513738125981997	0.9434430461075721	1.5809854424877445	-7.310336924955134	1.0986122886681098	4.89398997106036e-08	spindle midzone	22. spindle midzone	['GO:0051233', 'GO:1990023']	GO:0051233	0
23	-0.07383931378856567	0.6979751796903673	1.3326504535530481	-6.728220525629231	0.6931471805599453	1.86973248833679e-07	spindle pole	23. spindle pole	['GO:0000922']	GO:0000922	0
24	0.593422100271686	0.6052502622827609	1.5043548937265745	-6.021882486656825	1.0986122886681098	9.50862047355525e-07	site of DNA damage	24. site of DNA damage	['GO:0090734', 'GO:0035861']	GO:0090734	0
25	0.9998713531527579	0.2993076616990428	1.3290582082913347	-5.770261521396948	1.0986122886681098	1.69722131997417e-06	focal adhesion	25. focal adhesion	['GO:0030055', 'GO:0005925']	GO:0005925	0
