Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0003729	GO:0003729	mRNA binding	2.019e-37	0.000e+00	2.013e+00	9.698e-03
GO:0003729	GO:0019843	rRNA binding	1.877e-19	0.000e+00	2.101e+00	7.923e-03
GO:0003729	GO:0003730	mRNA 3'-UTR binding	1.226e-05	0.000e+00	4.368e+00	4.289e-05
GO:0003729	GO:0000049	tRNA binding	9.935e-03	0.000e+00	2.488e+00	3.249e-03
GO:0003729	GO:0036002	pre-mRNA binding	1.121e-05	0.000e+00	3.846e+00	1.427e-04
GO:0003729	GO:0048027	mRNA 5'-UTR binding	8.773e-05	0.000e+00	4.339e+00	4.581e-05
GO:0003729	GO:1990825	sequence-specific mRNA binding	1.334e-03	0.000e+00	5.721e+00	1.901e-06
GO:0003729	GO:0017069	snRNA binding	2.008e-11	0.000e+00	3.490e+00	3.236e-04
GO:0003729	GO:0030621	U4 snRNA binding	6.148e-03	0.000e+00	3.630e+00	2.346e-04
GO:0003729	GO:0017070	U6 snRNA binding	8.860e-07	0.000e+00	4.425e+00	3.759e-05
GO:0003729	GO:0030620	U2 snRNA binding	6.643e-03	0.000e+00	4.997e+00	1.008e-05
GO:0003729	GO:0003727	single-stranded RNA binding	5.532e-08	0.000e+00	3.956e+00	1.106e-04
GO:0003729	GO:0070717	poly-purine tract binding	3.721e-03	0.000e+00	4.566e+00	2.720e-05
GO:0003729	GO:0008187	poly-pyrimidine tract binding	6.860e-04	0.000e+00	5.301e+00	5.002e-06
GO:0003729	GO:0030515	snoRNA binding	1.402e-12	0.000e+00	4.233e+00	5.844e-05
GO:0003729	GO:0034511	U3 snoRNA binding	1.376e-05	0.000e+00	4.995e+00	1.011e-05
GO:0003729	GO:0070180	large ribosomal subunit rRNA binding	1.917e-05	0.000e+00	3.733e+00	1.849e-04
GO:0003729	GO:0008097	5S rRNA binding	7.126e-04	0.000e+00	4.031e+00	9.316e-05
GO:0003735	GO:0003735	structural constituent of ribosome	2.027e-46	0.000e+00	1.697e+00	2.011e-02
GO:0003735	GO:0017056	structural constituent of nuclear pore	7.639e-11	0.000e+00	3.980e+00	1.047e-04
GO:0140097	GO:0140097	catalytic activity, acting on DNA	4.690e-22	0.000e+00	1.802e+00	1.576e-02
GO:0140097	GO:0034061	DNA polymerase activity	1.248e-04	0.000e+00	2.327e+00	4.712e-03
GO:0140097	GO:0140098	catalytic activity, acting on RNA	6.427e-16	0.000e+00	1.522e+00	3.004e-02
GO:0140097	GO:0140101	catalytic activity, acting on a tRNA	8.156e-04	0.000e+00	1.740e+00	1.818e-02
GO:0140097	GO:0003724	RNA helicase activity	2.407e-05	0.000e+00	2.954e+00	1.113e-03
GO:0140097	GO:0008186	ATP-dependent activity, acting on RNA	1.226e-05	0.000e+00	2.923e+00	1.193e-03
GO:0140097	GO:0008094	ATP-dependent activity, acting on DNA	2.066e-16	0.000e+00	2.406e+00	3.928e-03
GO:0140097	GO:0003678	DNA helicase activity	1.777e-12	0.000e+00	2.811e+00	1.546e-03
GO:0140097	GO:0004386	helicase activity	1.402e-12	0.000e+00	2.173e+00	6.710e-03
GO:0140097	GO:0017116	single-stranded DNA helicase activity	3.047e-07	0.000e+00	4.803e+00	1.574e-05
GO:0140097	GO:0043138	3'-5' DNA helicase activity	1.195e-03	0.000e+00	4.112e+00	7.734e-05
GO:0140097	GO:0004536	DNA nuclease activity	3.832e-05	0.000e+00	2.760e+00	1.739e-03
GO:0140097	GO:0004520	DNA endonuclease activity	1.248e-04	0.000e+00	3.013e+00	9.702e-04
GO:0140097	GO:0048256	flap endonuclease activity	3.039e-03	0.000e+00	4.117e+00	7.643e-05
GO:0003713	GO:0003713	transcription coactivator activity	9.023e-06	0.000e+00	3.856e+00	1.392e-04
GO:0043021	GO:0043021	ribonucleoprotein complex binding	1.332e-16	0.000e+00	3.102e+00	7.898e-04
GO:0043021	GO:0043022	ribosome binding	8.860e-07	0.000e+00	3.125e+00	7.499e-04
GO:0043021	GO:0031491	nucleosome binding	3.038e-05	0.000e+00	4.564e+00	2.731e-05
GO:0043021	GO:0031490	chromatin DNA binding	2.446e-04	0.000e+00	4.543e+00	2.861e-05
GO:0043021	GO:0070990	snRNP binding	8.773e-05	0.000e+00	6.109e+00	7.783e-07
GO:0043021	GO:0032404	mismatch repair complex binding	3.039e-03	0.000e+00	5.759e+00	1.743e-06
GO:0003697	GO:0003697	single-stranded DNA binding	2.066e-16	0.000e+00	3.045e+00	9.024e-04
GO:0003697	GO:0098847	sequence-specific single stranded DNA binding	3.692e-03	0.000e+00	4.797e+00	1.597e-05
GO:0003697	GO:0098505	G-rich strand telomeric DNA binding	3.357e-04	0.000e+00	5.909e+00	1.233e-06
GO:0016874	GO:0016874	ligase activity	1.093e-04	0.000e+00	1.441e+00	3.626e-02
GO:0016874	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	3.762e-03	0.000e+00	2.751e+00	1.774e-03
GO:0045182	GO:0045182	translation regulator activity	1.151e-10	0.000e+00	2.346e+00	4.510e-03
GO:0045182	GO:0090079	translation regulator activity, nucleic acid binding	1.897e-08	0.000e+00	2.351e+00	4.453e-03
GO:0045182	GO:0008135	translation factor activity, RNA binding	3.079e-08	0.000e+00	2.352e+00	4.446e-03
GO:0045182	GO:0003743	translation initiation factor activity	1.248e-04	0.000e+00	2.752e+00	1.771e-03
GO:0045182	GO:0003746	translation elongation factor activity	1.818e-03	0.000e+00	2.684e+00	2.072e-03
GO:0051082	GO:0042393	histone binding	8.730e-12	0.000e+00	3.711e+00	1.945e-04
GO:0051082	GO:0051082	unfolded protein binding	5.770e-13	0.000e+00	2.885e+00	1.302e-03
GO:0051082	GO:0008017	microtubule binding	3.692e-03	0.000e+00	3.272e+00	5.341e-04
GO:0051082	GO:0015631	tubulin binding	7.210e-03	0.000e+00	3.172e+00	6.727e-04
GO:0051082	GO:0051015	actin filament binding	3.163e-03	0.000e+00	3.643e+00	2.276e-04
GO:0051082	GO:0045296	cadherin binding	1.865e-04	0.000e+00	4.549e+00	2.822e-05
GO:0051082	GO:0031072	heat shock protein binding	1.164e-04	0.000e+00	3.656e+00	2.207e-04
GO:0051082	GO:0051427	hormone receptor binding	3.222e-03	0.000e+00	5.095e+00	8.039e-06
GO:0051082	GO:0031369	translation initiation factor binding	1.744e-04	0.000e+00	4.355e+00	4.417e-05
GO:0051082	GO:0070182	DNA polymerase binding	4.852e-05	0.000e+00	5.539e+00	2.891e-06
GO:0051082	GO:0042826	histone deacetylase binding	2.420e-03	0.000e+00	4.900e+00	1.260e-05
GO:0051082	GO:0051011	microtubule minus-end binding	5.676e-04	0.000e+00	5.456e+00	3.495e-06
GO:0051082	GO:0140296	general transcription initiation factor binding	6.741e-06	0.000e+00	4.096e+00	8.015e-05
GO:0051082	GO:0017025	TBP-class protein binding	3.559e-05	0.000e+00	4.191e+00	6.445e-05
GO:0051082	GO:0001091	RNA polymerase II general transcription initiation factor binding	9.123e-03	0.000e+00	4.860e+00	1.380e-05
GO:0051082	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	8.771e-05	0.000e+00	4.197e+00	6.357e-05
GO:0051082	GO:0140297	DNA-binding transcription factor binding	1.248e-04	0.000e+00	4.005e+00	9.877e-05
GO:0051082	GO:0016922	nuclear receptor binding	2.019e-04	0.000e+00	4.523e+00	2.998e-05
GO:0051082	GO:0046966	nuclear thyroid hormone receptor binding	4.607e-04	0.000e+00	5.663e+00	2.171e-06
GO:0016853	GO:0016853	isomerase activity	2.557e-03	0.000e+00	1.617e+00	2.415e-02
GO:0004519	GO:0004518	nuclease activity	5.401e-07	0.000e+00	1.783e+00	1.647e-02
GO:0004519	GO:0004519	endonuclease activity	5.812e-08	0.000e+00	2.093e+00	8.071e-03
GO:0004519	GO:0004521	RNA endonuclease activity	3.781e-03	0.000e+00	2.642e+00	2.281e-03
GO:0004519	GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	4.945e-04	0.000e+00	2.663e+00	2.170e-03
GO:0004519	GO:0016891	RNA endonuclease activity, producing 5'-phosphomonoesters	1.599e-03	0.000e+00	2.740e+00	1.819e-03
GO:0004519	GO:0004540	RNA nuclease activity	3.330e-03	0.000e+00	2.464e+00	3.435e-03
GO:0004519	GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	4.519e-04	0.000e+00	2.887e+00	1.296e-03
GO:0004519	GO:0004527	exonuclease activity	1.844e-03	0.000e+00	2.452e+00	3.530e-03
GO:0004519	GO:0016895	DNA exonuclease activity, producing 5'-phosphomonoesters	9.123e-03	0.000e+00	3.175e+00	6.679e-04
GO:0000287	GO:0000287	magnesium ion binding	3.756e-03	0.000e+00	2.173e+00	6.716e-03
GO:0016779	GO:0016779	nucleotidyltransferase activity	1.350e-05	0.000e+00	1.685e+00	2.063e-02
GO:0016779	GO:0003887	DNA-directed DNA polymerase activity	8.771e-05	0.000e+00	2.558e+00	2.769e-03
GO:0016779	GO:0008168	methyltransferase activity	1.382e-04	0.000e+00	1.727e+00	1.873e-02
GO:0016779	GO:0016741	transferase activity, transferring one-carbon groups	8.773e-05	0.000e+00	1.661e+00	2.182e-02
GO:0016779	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	8.232e-04	0.000e+00	2.288e+00	5.147e-03
GO:0016779	GO:0008170	N-methyltransferase activity	2.338e-03	0.000e+00	2.757e+00	1.749e-03
GO:0016779	GO:0008649	rRNA methyltransferase activity	1.293e-03	0.000e+00	2.795e+00	1.603e-03
GO:0016779	GO:0140102	catalytic activity, acting on a rRNA	1.293e-03	0.000e+00	2.789e+00	1.626e-03
GO:0016407	GO:0016407	acetyltransferase activity	1.722e-04	0.000e+00	2.646e+00	2.258e-03
GO:0016407	GO:0034212	peptide N-acetyltransferase activity	4.766e-04	0.000e+00	3.525e+00	2.988e-04
GO:0016407	GO:0016408	C-acyltransferase activity	3.692e-03	0.000e+00	3.384e+00	4.132e-04
GO:0003684	GO:0003684	damaged DNA binding	8.589e-11	0.000e+00	3.179e+00	6.627e-04
GO:0003684	GO:0032356	oxidized DNA binding	8.232e-04	0.000e+00	5.926e+00	1.184e-06
GO:0003684	GO:0032357	oxidized purine DNA binding	3.039e-03	0.000e+00	5.988e+00	1.028e-06
GO:0051539	GO:0051539	4 iron, 4 sulfur cluster binding	8.548e-09	0.000e+00	2.203e+00	6.272e-03
GO:0051539	GO:0051536	iron-sulfur cluster binding	8.773e-05	0.000e+00	1.741e+00	1.814e-02
GO:0051539	GO:0051540	metal cluster binding	8.773e-05	0.000e+00	1.741e+00	1.814e-02
GO:0000217	GO:0000217	DNA secondary structure binding	2.260e-06	0.000e+00	3.679e+00	2.096e-04
GO:0000217	GO:0000400	four-way junction DNA binding	2.637e-04	0.000e+00	3.774e+00	1.684e-04
GO:0003688	GO:0003688	DNA replication origin binding	7.019e-10	0.000e+00	3.717e+00	1.920e-04
GO:0003688	GO:0042162	telomeric DNA binding	1.121e-05	0.000e+00	4.247e+00	5.659e-05
