dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-1.2640159337773782	0.08010098875510457	1.4636064570303826	-33.0234605269394	3.367295829986474	9.47413291061752e-34	nuclear chromosome segregation	1. nuclear chromosome segregation	['GO:0098813', 'GO:0045132', 'GO:0045143', 'GO:0016321', 'GO:0007060', 'GO:0000819', 'GO:0000070', 'GO:0045144', 'GO:1903046', 'GO:0061982', 'GO:0046661', 'GO:0007338', 'GO:0009566', 'GO:0045138', 'GO:0090598', 'GO:0035262', 'GO:0007538', 'GO:0070192', 'GO:0007130', 'GO:0007129', 'GO:0010032', 'GO:0045137', 'GO:0046546', 'GO:0046545', 'GO:0007143', 'GO:0007144', 'GO:0008608', 'GO:0051315']	GO:0098813	0
2	-1.2737489606470747	0.3914976138203066	1.7114147406318228	-31.93489975294016	2.70805020110221	1.1617167389315e-32	mitotic nuclear division	2. mitotic nuclear division	['GO:0140014', 'GO:0140013', 'GO:0007127', 'GO:0007140', 'GO:0007135', 'GO:0061983', 'GO:0000082', 'GO:0044843', 'GO:0000086', 'GO:0044839', 'GO:0010458', 'GO:0007091', 'GO:0044784', 'GO:0030071']	GO:0140014	0
3	0.9281288431329024	0.08379327531474119	0.8550186469823264	-30.324206467442654	4.110873864173311	4.74016580004805e-31	DNA conformation change	3. DNA conformation change	['GO:0071103', 'GO:0032392', 'GO:0032508', 'GO:0070193', 'GO:0006268', 'GO:0043570', 'GO:0030261', 'GO:0007076', 'GO:0042254', 'GO:0042273', 'GO:0006997', 'GO:0006999', 'GO:0007000', 'GO:0007062', 'GO:0007064', 'GO:0051383', 'GO:0051382', 'GO:0006998', 'GO:0071763', 'GO:0032200', 'GO:0000723', 'GO:0032201', 'GO:0016233', 'GO:0010833', 'GO:0007004', 'GO:0065004', 'GO:0006334', 'GO:0034508', 'GO:0071824', 'GO:0006325', 'GO:0006338', 'GO:0034728', 'GO:0070828', 'GO:0006267', 'GO:0036388', 'GO:1902299', 'GO:0051017', 'GO:0061572', 'GO:0007015', 'GO:0007044', 'GO:0150115', 'GO:0048041', 'GO:0045814', 'GO:0040029', 'GO:0031507', 'GO:0030032', 'GO:0097581', 'GO:0016358', 'GO:0097374', 'GO:0031055', 'GO:0034080', 'GO:0010927', 'GO:0030239', 'GO:0007304', 'GO:0030703', 'GO:0007306', 'GO:0001706', 'GO:0022618', 'GO:0071826', 'GO:0046931']	GO:0071103	0
4	1.0813926005709216	-0.7325257962508843	0.7229017390126188	-29.299663143546393	3.8066624897703196	5.01576125618931e-30	DNA replication	4. DNA replication	['GO:0006260', 'GO:0006261', 'GO:0090305', 'GO:0006270', 'GO:0033260', 'GO:0044786', 'GO:0042023', 'GO:1902969', 'GO:0071897', 'GO:0006278', 'GO:0009263', 'GO:0000731', 'GO:0019985', 'GO:0042276', 'GO:0006301', 'GO:0070987', 'GO:0006277', 'GO:0007307', 'GO:0000724', 'GO:0006302', 'GO:0000725', 'GO:0006310', 'GO:0006303', 'GO:0006312', 'GO:0000727', 'GO:0006289', 'GO:0006283', 'GO:0036297', 'GO:0035825', 'GO:0007131', 'GO:0140527', 'GO:0006298', 'GO:0006284', 'GO:0006364', 'GO:0034470', 'GO:0016072', 'GO:0000154', 'GO:0000398', 'GO:0000377', 'GO:0000375', 'GO:0008380', 'GO:0000380', 'GO:0000470', 'GO:0000463']	GO:0006260	0
5	0.2701036168796765	1.070018816035938	1.3261911900355914	-22.54305279373624	3.7612001156935624	2.8638298156651e-23	regulation of chromosome organization	5. regulation of chromosome organization	['GO:0033044', 'GO:0033045', 'GO:1902275', 'GO:1903053', 'GO:2001251', 'GO:0010639', 'GO:0033046', 'GO:2001252', 'GO:0032206', 'GO:0070507', 'GO:0032886', 'GO:0051495', 'GO:0110020', 'GO:0060297', 'GO:1902743', 'GO:0010591', 'GO:1902745', 'GO:0007063', 'GO:0045876', 'GO:0033047', 'GO:0033048', 'GO:0045841', 'GO:0007094', 'GO:1902100', 'GO:0090266', 'GO:0090231', 'GO:1901976', 'GO:1903504', 'GO:1901978', 'GO:0051783', 'GO:0007088', 'GO:0051784', 'GO:0045839', 'GO:0051785', 'GO:0045840', 'GO:0051893', 'GO:0001952', 'GO:0010810', 'GO:0090109', 'GO:0150116', 'GO:1900024', 'GO:1900026']	GO:0033044	0
6	-0.02111280469326564	1.2952853479463817	1.1075246481346075	-19.473793862704646	3.5263605246161616	3.3589700947818e-20	regulation of DNA metabolic process	6. regulation of DNA metabolic process	['GO:0051052', 'GO:0006275', 'GO:0006282', 'GO:0051053', 'GO:0045910', 'GO:0051054', 'GO:0045739', 'GO:0045740', 'GO:0045911', 'GO:0090329', 'GO:0030174', 'GO:0000018', 'GO:0010569', 'GO:2000779', 'GO:2000781', 'GO:2000278', 'GO:2000573', 'GO:1900264', 'GO:1900262', 'GO:0032210', 'GO:1904356', 'GO:0032204', 'GO:0032212', 'GO:1904358', 'GO:0032211', 'GO:2000279', 'GO:1904357', 'GO:0006417', 'GO:0017148', 'GO:0034249', 'GO:0045727', 'GO:0000079', 'GO:1904029']	GO:0051052	0
7	0.6143861951369459	1.2791677857303072	1.3095347995794224	-18.179121219142356	3.258096538021482	6.62031693352611e-19	regulation of mitotic cell cycle phase transition	7. regulation of mitotic cell cycle phase transition	['GO:1901990', 'GO:1901991', 'GO:0007096', 'GO:0009794', 'GO:0045930', 'GO:0007093', 'GO:0010389', 'GO:1902749', 'GO:0010972', 'GO:0044818', 'GO:1902750', 'GO:2000045', 'GO:1902806', 'GO:2000134', 'GO:1902807', 'GO:0051983', 'GO:1902099', 'GO:0010965', 'GO:1905818', 'GO:2000816', 'GO:1901970', 'GO:0051985', 'GO:1905819', 'GO:0051984', 'GO:0062033']	GO:1901990	0
8	0.5171031913693034	1.3147917591627933	1.3649380992269236	-17.59752402833006	3.713572066704308	2.526247935852e-18	positive regulation of cell cycle	8. positive regulation of cell cycle	['GO:0045787', 'GO:0090068', 'GO:1901989', 'GO:1902751', 'GO:0045931', 'GO:1901992', 'GO:0010971', 'GO:0051729', 'GO:0051728', 'GO:0060184', 'GO:0010948', 'GO:1901988', 'GO:0000075', 'GO:0070317', 'GO:0070316', 'GO:0032954', 'GO:0031570', 'GO:0000077', 'GO:0007266', 'GO:0000076', 'GO:0033313', 'GO:2000146', 'GO:0040013', 'GO:0030336', 'GO:0044774', 'GO:0007095', 'GO:0000083', 'GO:0031577', 'GO:0071173', 'GO:0071174', 'GO:1904874', 'GO:1904872', 'GO:1904814', 'GO:1904871', 'GO:1900182', 'GO:1904869', 'GO:1904851', 'GO:1904816', 'GO:0070203', 'GO:0070202']	GO:0045787	0
9	-1.0534342313701583	-0.5323938843052569	1.4485970888788449	-15.661754567553054	3.4657359027997265	2.17894080731717e-16	protein localization to chromosome	9. protein localization to chromosome	['GO:0034502', 'GO:0071168', 'GO:0070200', 'GO:0070199', 'GO:0070198', 'GO:0034504', 'GO:0090435', 'GO:0006620', 'GO:0034501', 'GO:0071459', 'GO:1903083', 'GO:1904867', 'GO:1903405', 'GO:1990173', 'GO:0006406', 'GO:0051168', 'GO:0006405', 'GO:0006611', 'GO:0016973', 'GO:0006913', 'GO:0051169', 'GO:0051170', 'GO:0051028', 'GO:0050658', 'GO:0050657', 'GO:0015931', 'GO:0051236', 'GO:0017038', 'GO:0071806', 'GO:0065002', 'GO:0044743']	GO:0034502	0
10	-1.2541717169654918	0.19437877871712053	1.364977973014252	-14.880695975655122	3.4965075614664802	1.31614586705871e-15	chromosome separation	10. chromosome separation	['GO:0051304', 'GO:0051306', 'GO:0051307', 'GO:0000910', 'GO:0061640', 'GO:0032506', 'GO:0051298', 'GO:0045023', 'GO:0000281', 'GO:0033206', 'GO:0040038', 'GO:0007051', 'GO:0051225', 'GO:0007052', 'GO:1902850', 'GO:0090307', 'GO:0000212', 'GO:0090306', 'GO:0007056', 'GO:0031023', 'GO:0007098', 'GO:0051231', 'GO:0000022', 'GO:0051255', 'GO:0051256', 'GO:0051257', 'GO:0031032', 'GO:0045214', 'GO:0000915', 'GO:0044837', 'GO:0030866', 'GO:0000912']	GO:0051304	0
