Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0030684	GO:0030684	preribosome	7.392e-19	0.000e+00	3.523e+00	2.999e-04
GO:0030684	GO:0032040	small-subunit processome	1.534e-09	0.000e+00	3.728e+00	1.872e-04
GO:0030684	GO:0030686	90S preribosome	1.037e-13	0.000e+00	4.526e+00	2.976e-05
GO:0030684	GO:0030687	preribosome, large subunit precursor	2.036e-07	0.000e+00	4.313e+00	4.861e-05
GO:0030684	GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	8.965e-07	0.000e+00	3.823e+00	1.503e-04
GO:0030684	GO:0030688	preribosome, small subunit precursor	1.583e-04	0.000e+00	4.471e+00	3.379e-05
GO:0030684	GO:0016282	eukaryotic 43S preinitiation complex	5.750e-12	0.000e+00	3.849e+00	1.414e-04
GO:0030684	GO:0070993	translation preinitiation complex	4.121e-12	0.000e+00	3.551e+00	2.811e-04
GO:0030684	GO:0033290	eukaryotic 48S preinitiation complex	5.750e-12	0.000e+00	3.855e+00	1.397e-04
GO:0030684	GO:0005689	U12-type spliceosomal complex	3.821e-03	0.000e+00	4.640e+00	2.290e-05
GO:0030684	GO:0005686	U2 snRNP	2.045e-03	0.000e+00	3.941e+00	1.146e-04
GO:0030684	GO:0120114	Sm-like protein family complex	1.782e-03	0.000e+00	2.755e+00	1.759e-03
GO:0030684	GO:0030532	small nuclear ribonucleoprotein complex	7.855e-03	0.000e+00	2.778e+00	1.668e-03
GO:0043209	GO:0043209	myelin sheath	1.432e-06	0.000e+00	4.802e+00	1.578e-05
GO:0140534	GO:0140534	endoplasmic reticulum protein-containing complex	3.083e-06	0.000e+00	3.323e+00	4.756e-04
GO:0005788	GO:0005788	endoplasmic reticulum lumen	6.788e-04	0.000e+00	3.706e+00	1.968e-04
GO:0005788	GO:0005758	mitochondrial intermembrane space	8.478e-03	0.000e+00	3.695e+00	2.019e-04
GO:1905368	GO:1905368	peptidase complex	1.187e-06	0.000e+00	2.831e+00	1.475e-03
GO:1905368	GO:1905369	endopeptidase complex	6.215e-05	0.000e+00	2.891e+00	1.285e-03
GO:1905368	GO:0034709	methylosome	6.104e-03	0.000e+00	5.049e+00	8.933e-06
GO:1905368	GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	1.475e-04	0.000e+00	4.484e+00	3.284e-05
GO:1905368	GO:0031597	cytosolic proteasome complex	8.018e-04	0.000e+00	3.524e+00	2.994e-04
GO:1905368	GO:0005697	telomerase holoenzyme complex	1.038e-03	0.000e+00	5.005e+00	9.877e-06
GO:1905368	GO:0005643	nuclear pore	3.392e-03	0.000e+00	3.187e+00	6.504e-04
GO:1905368	GO:0005685	U1 snRNP	3.821e-03	0.000e+00	3.756e+00	1.755e-04
GO:0005791	GO:0005791	rough endoplasmic reticulum	1.862e-04	0.000e+00	4.618e+00	2.410e-05
GO:0042470	GO:0042470	melanosome	4.299e-04	0.000e+00	4.277e+00	5.286e-05
GO:0042470	GO:0048770	pigment granule	6.788e-04	0.000e+00	4.277e+00	5.290e-05
GO:0001650	GO:0001650	fibrillar center	8.281e-04	0.000e+00	4.446e+00	3.577e-05
GO:0101031	GO:0101031	protein folding chaperone complex	4.480e-12	0.000e+00	4.056e+00	8.784e-05
GO:0101031	GO:0000502	proteasome complex	1.386e-05	0.000e+00	2.919e+00	1.204e-03
GO:0001750	GO:0001750	photoreceptor outer segment	6.788e-04	0.000e+00	4.498e+00	3.176e-05
GO:0005793	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	7.467e-03	0.000e+00	4.211e+00	6.145e-05
GO:0097733	GO:0097733	photoreceptor cell cilium	9.651e-03	0.000e+00	5.839e+00	1.447e-06
GO:0005852	GO:0005852	eukaryotic translation initiation factor 3 complex	9.394e-11	0.000e+00	3.462e+00	3.448e-04
GO:0005838	GO:0005838	proteasome regulatory particle	3.083e-06	0.000e+00	4.546e+00	2.843e-05
GO:0022624	GO:0022624	proteasome accessory complex	4.272e-06	0.000e+00	4.933e+00	1.167e-05
GO:0043614	GO:0043614	multi-eIF complex	1.385e-05	0.000e+00	5.558e+00	2.764e-06
GO:0034515	GO:0034515	proteasome storage granule	1.278e-03	0.000e+00	5.092e+00	8.092e-06
GO:0005744	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	8.018e-04	0.000e+00	4.216e+00	6.076e-05
GO:0005744	GO:0030126	COPI vesicle coat	6.104e-03	0.000e+00	3.830e+00	1.478e-04
GO:0097381	GO:0097381	photoreceptor disc membrane	1.102e-03	0.000e+00	5.626e+00	2.369e-06
GO:0097381	GO:0005743	mitochondrial inner membrane	1.769e-03	0.000e+00	1.702e+00	1.987e-02
GO:0097381	GO:0019866	organelle inner membrane	1.049e-03	0.000e+00	1.694e+00	2.024e-02
GO:0097381	GO:0030662	coated vesicle membrane	6.712e-03	0.000e+00	3.535e+00	2.921e-04
GO:0034719	GO:0034719	SMN-Sm protein complex	2.945e-03	0.000e+00	5.084e+00	8.234e-06
GO:0008541	GO:0008541	proteasome regulatory particle, lid subcomplex	4.197e-03	0.000e+00	4.475e+00	3.352e-05
