dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.37489284031867454	0.8851548949151641	1.4068176014019682	-32.65753895001508	0.6931471805599453	2.20019437476282e-33	axoneme	1. axoneme	['GO:0005930']	GO:0005930	0
2	-0.7934235046283351	-0.5826869572612515	1.6878896622949058	-32.16394092649892	1.0986122886681098	6.85581474111441e-33	ciliary plasm	2. ciliary plasm	['GO:0032838', 'GO:0097014']	GO:0097014	0
3	-0.37565313622306906	0.10022646701883774	1.2706081460512713	-28.877461829891224	1.3862943611198906	1.32598365324114e-29	motile cilium	3. motile cilium	['GO:0031514', 'GO:0097729', 'GO:0036126']	GO:0031514	0
4	0.5865304861606896	-0.22764061377224093	1.5386573712254965	-15.36716151454272	1.791759469228055	4.2937671144851e-16	axonemal dynein complex	4. axonemal dynein complex	['GO:0030286', 'GO:0005858', 'GO:0005875', 'GO:0036157', 'GO:0036156']	GO:0005858	0
5	-0.7323238487832074	0.7172881220450816	1.0038888648977267	-9.923326379184248	0.6931471805599453	1.19309114056935e-10	microtubule	5. microtubule	['GO:0005874']	GO:0005874	0
6	0.8824359737364155	-0.7174503680622338	1.2040549812169414	-5.702588259708442	1.791759469228055	1.98340653711246e-06	cation channel complex	6. cation channel complex	['GO:0034702', 'GO:0034703', 'GO:0034705', 'GO:0008076', 'GO:0034706']	GO:0034703	0
7	0.8053705072033736	0.5320627394158213	1.712757868620224	-5.693863583177099	0.6931471805599453	2.02365473176108e-06	manchette	7. manchette	['GO:0002177']	GO:0002177	0
8	-0.31076135899247	-0.8624317475989133	1.4396158825573226	-4.254754295517865	0.6931471805599453	5.56218852132604e-05	ciliary basal body	8. ciliary basal body	['GO:0036064']	GO:0036064	0
9	-1.0406472177164545	0.0403585633607711	1.5890858539998638	-2.791348881565359	1.0986122886681098	0.00161678070819374	neuron projection membrane	9. neuron projection membrane	['GO:0042734', 'GO:0032589']	GO:0032589	0
10	0.7726391352613134	-0.824833128000628	0.8097955537924798	-2.2557562588537046	1.0986122886681098	0.00554937075535752	transmembrane transporter complex	10. transmembrane transporter complex	['GO:1902495', 'GO:1990351']	GO:1902495	0
11	-0.16905987633692995	0.9399520279395918	1.6260529807484678	-2.2557562588537046	0.6931471805599453	0.00554937075535752	sperm principal piece	11. sperm principal piece	['GO:0097228']	GO:0097228	0
