dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.2333853927199315	-1.151228328290322	1.0162029030610407	-9.495583853803272	3.044522437723423	3.19459749072055e-10	gated channel activity	1. gated channel activity	['GO:0022836', 'GO:0022839', 'GO:0022803', 'GO:0005216', 'GO:0005261', 'GO:0005244', 'GO:0022832', 'GO:0022843', 'GO:0005245', 'GO:0015276', 'GO:0022834', 'GO:0005230', 'GO:0099094', 'GO:0005231', 'GO:0005234', 'GO:0005267', 'GO:0015079', 'GO:0005272', 'GO:0015081', 'GO:0005248']	GO:0022836	0
2	-0.6564027998682103	-1.0694286100716637	1.4047901334014101	-6.890280310088269	2.302585092994046	1.28741833497535e-07	ionotropic glutamate receptor activity	2. ionotropic glutamate receptor activity	['GO:0008066', 'GO:0004970', 'GO:0022824', 'GO:0030594', 'GO:0022835', 'GO:0099529', 'GO:1904315', 'GO:0098960', 'GO:0099583']	GO:0004970	0
3	-0.9974043060083515	0.33791824288531624	1.4381909096503418	-4.591384092228019	1.791759469228055	2.56221699655304e-05	channel regulator activity	3. channel regulator activity	['GO:0016247', 'GO:0099106', 'GO:0005246', 'GO:0008200', 'GO:0016248']	GO:0016247	0
4	0.18431128069559624	0.5083456427347	1.3610650275951492	-3.855070044686173	2.0794415416798357	0.000139614316755086	G protein-coupled receptor binding	4. G protein-coupled receptor binding	['GO:0001664', 'GO:0031690', 'GO:0001965', 'GO:0019905', 'GO:0000149', 'GO:0005179', 'GO:0030165']	GO:0001664	0
5	-0.057242008857009405	1.0318118055041365	1.3497205685810676	-3.474467734205457	1.3862943611198906	0.000335376220213248	peptide binding	5. peptide binding	['GO:0033218', 'GO:0042277', 'GO:0017046']	GO:0042277	0
6	-0.9542250509442884	-0.41951413491139805	1.3049204438413495	-3.402086750915397	1.9459101490553132	0.000396198885082678	G protein-coupled peptide receptor activity	6. G protein-coupled peptide receptor activity	['GO:0001653', 'GO:0008528', 'GO:0008188', 'GO:0004948', 'GO:0009881', 'GO:0008020']	GO:0008528	0
7	0.43881438716196114	-0.8780626145986398	1.6798848906307593	-3.29473930246291	1.3862943611198906	0.000507295135137537	neurotransmitter transmembrane transporter activity	7. neurotransmitter transmembrane transporter activity	['GO:0005326', 'GO:0005328', 'GO:0015294']	GO:0005326	0
8	-0.5893005245039146	0.8159220677111172	2.163183766080114	-2.716705857012355	0.6931471805599453	0.00191996867456502	ammonium ion binding	8. ammonium ion binding	['GO:0070405']	GO:0070405	0
9	1.0755046114570097	-0.27143240513991695	1.4441082248278443	-2.531317732507798	1.6094379124341003	0.00294226826466954	guanylate cyclase activity	9. guanylate cyclase activity	['GO:0004383', 'GO:0009975', 'GO:0016849', 'GO:0016829']	GO:0004383	0
10	0.5077396116759411	0.9116684396703738	1.3521457712044684	-2.4999976136792283	0.6931471805599453	0.00316229503600416	calcium-dependent phospholipid binding	10. calcium-dependent phospholipid binding	['GO:0005544']	GO:0005544	0
11	0.8812338976463143	0.5190194560053752	1.492061273466208	-2.426465486707153	0.6931471805599453	0.00374571312958276	hormone binding	11. hormone binding	['GO:0042562']	GO:0042562	0
12	-0.3053992875533147	0.32413666124773394	1.2770334315722545	-2.2454182611179316	0.6931471805599453	0.005683053426591	amino acid binding	12. amino acid binding	['GO:0016597']	GO:0016597	0
13	0.06459678636344995	-0.7284544084250439	1.6441242706995658	-2.235940034913031	0.6931471805599453	0.00580844611939233	monoamine transmembrane transporter activity	13. monoamine transmembrane transporter activity	['GO:0008504']	GO:0008504	0
14	0.6411587954547483	0.0692981856782326	1.6847851498844029	-2.1493521377297755	0.6931471805599453	0.0070900265627818	catecholamine binding	14. catecholamine binding	['GO:1901338']	GO:1901338	0
