Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0022836	GO:0022836	gated channel activity	3.195e-10	0.000e+00	2.763e+00	1.727e-03
GO:0022836	GO:0022839	monoatomic ion gated channel activity	2.228e-07	0.000e+00	2.765e+00	1.718e-03
GO:0022836	GO:0022803	passive transmembrane transporter activity	4.191e-09	0.000e+00	2.200e+00	6.313e-03
GO:0022836	GO:0005216	monoatomic ion channel activity	1.220e-08	0.000e+00	2.261e+00	5.486e-03
GO:0022836	GO:0005261	monoatomic cation channel activity	2.228e-07	0.000e+00	2.503e+00	3.142e-03
GO:0022836	GO:0005244	voltage-gated monoatomic ion channel activity	1.819e-06	0.000e+00	3.122e+00	7.548e-04
GO:0022836	GO:0022832	voltage-gated channel activity	1.819e-06	0.000e+00	3.117e+00	7.633e-04
GO:0022836	GO:0022843	voltage-gated monoatomic cation channel activity	1.298e-05	0.000e+00	3.490e+00	3.235e-04
GO:0022836	GO:0005245	voltage-gated calcium channel activity	9.573e-03	0.000e+00	4.020e+00	9.545e-05
GO:0022836	GO:0015276	ligand-gated monoatomic ion channel activity	5.350e-07	0.000e+00	3.183e+00	6.561e-04
GO:0022836	GO:0022834	ligand-gated channel activity	5.350e-07	0.000e+00	3.183e+00	6.562e-04
GO:0022836	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	3.145e-06	0.000e+00	3.456e+00	3.500e-04
GO:0022836	GO:0099094	ligand-gated monoatomic cation channel activity	6.147e-05	0.000e+00	3.731e+00	1.856e-04
GO:0022836	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	4.388e-04	0.000e+00	4.098e+00	7.977e-05
GO:0022836	GO:0005234	extracellularly glutamate-gated ion channel activity	3.358e-03	0.000e+00	6.721e+00	1.901e-07
GO:0022836	GO:0005267	potassium channel activity	1.196e-04	0.000e+00	3.284e+00	5.196e-04
