dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.013538449737439869	-0.8593294760972797	1.6360701882188882	-12.415978219610103	2.1972245773362196	3.83726489354057e-13	synaptic vesicle localization	1. synaptic vesicle localization	['GO:0097479', 'GO:0048489', 'GO:0030050', 'GO:0099518', 'GO:0099515', 'GO:0097480', 'GO:0051648', 'GO:0051650']	GO:0097479	0
2	-0.5035135931134362	-0.753246960113693	1.7201964536983674	-9.471716426670946	2.772588722239781	3.37507612903466e-10	calcium ion-regulated exocytosis of neurotransmitter	2. calcium ion-regulated exocytosis of neurotransmitter	['GO:0048791', 'GO:0016079', 'GO:0099003', 'GO:0099504', 'GO:0007269', 'GO:0099643', 'GO:0017156', 'GO:0036465', 'GO:0014047', 'GO:0006865', 'GO:0014046', 'GO:0050432', 'GO:0051937', 'GO:0015872', 'GO:0015844']	GO:0048791	0
3	1.0363850367328602	-0.07071142113718434	1.4160176839603216	-9.471716426670946	2.5649493574615367	3.37507612903466e-10	detection of visible light	3. detection of visible light	['GO:0009584', 'GO:0009583', 'GO:0009582', 'GO:0009581', 'GO:0051606', 'GO:0007602', 'GO:0071482', 'GO:0071478', 'GO:0007603', 'GO:0016056', 'GO:0050962', 'GO:0050908']	GO:0009584	0
4	0.8453373752149151	-0.5979243593575424	1.2956690477745811	-7.218209326854261	2.5649493574615367	6.05049175057961e-08	sensory perception of light stimulus	4. sensory perception of light stimulus	['GO:0003012', 'GO:0050953', 'GO:0007601', 'GO:0001503', 'GO:0007605', 'GO:0050954', 'GO:0060047', 'GO:0003015', 'GO:0030421', 'GO:0019098', 'GO:0030537', 'GO:0008345']	GO:0050953	0
5	0.8848393966511207	0.7188373688324527	1.581401216254993	-6.173826045510989	3.4965075614664802	6.70152982100367e-07	regulation of neurotransmitter secretion	5. regulation of neurotransmitter secretion	['GO:0051588', 'GO:0046928', 'GO:2000300', 'GO:0051590', 'GO:0050806', 'GO:0048167', 'GO:0010753', 'GO:1903305', 'GO:0017157', 'GO:0046883', 'GO:0017158', 'GO:0014059', 'GO:0050433', 'GO:0051952', 'GO:0098693', 'GO:1900242', 'GO:1903421', 'GO:0045956', 'GO:1903307', 'GO:0034765', 'GO:0034762', 'GO:0051047', 'GO:1902803', 'GO:0031338', 'GO:0050773', 'GO:0031340', 'GO:0022400', 'GO:0008277', 'GO:0016059', 'GO:0060292', 'GO:0050805', 'GO:1900452']	GO:0046928	0
6	0.30891215952748957	0.7386311264498432	1.6203137276656834	-5.621249295834009	1.3862943611198906	2.39194232786552e-06	cyclic-nucleotide-mediated signaling	6. cyclic-nucleotide-mediated signaling	['GO:0019932', 'GO:0019935', 'GO:0019934']	GO:0019935	0
7	0.7210705393929309	0.4109694861345758	1.6224657211936016	-4.657926967601505	1.791759469228055	2.19822950325879e-05	cardiac conduction	7. cardiac conduction	['GO:0008016', 'GO:0061337', 'GO:0090257', 'GO:0050795', 'GO:1903522']	GO:0061337	0
8	-0.04254630204571539	-1.1092600698798776	1.6023874444311557	-4.432306013826516	0.6931471805599453	3.6956768217197e-05	amine transport	8. amine transport	['GO:0015837']	GO:0015837	0
9	-0.5431415693106816	0.8412726532630451	1.6753951886548364	-4.432306013826516	2.70805020110221	3.6956768217197e-05	inner ear receptor cell development	9. inner ear receptor cell development	['GO:0002066', 'GO:0060119', 'GO:0060041', 'GO:0060117', 'GO:0071695', 'GO:0048469', 'GO:0060042', 'GO:0043583', 'GO:0048839', 'GO:0060113', 'GO:0042490', 'GO:0002065', 'GO:0042491', 'GO:0021533']	GO:0060119	0
10	0.7352593230342106	0.9001313552313751	1.2456938402224604	-4.308740856576679	1.9459101490553132	4.9120088818743e-05	regulation of membrane potential	10. regulation of membrane potential	['GO:0042391', 'GO:0051899', 'GO:0009914', 'GO:0046879', 'GO:0030073', 'GO:0030072']	GO:0042391	0
