dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	1.030667140343592	-0.15041317108921046	1.378245223142414	-7.8388866185602755	1.6094379124341003	1.44915013438763e-08	transport vesicle	1. transport vesicle	['GO:0030133', 'GO:0070382', 'GO:0008021', 'GO:0042581']	GO:0030133	0
2	0.8766237565543818	0.3024718177157739	1.5893290200998762	-5.944930159800364	0.6931471805599453	1.13519335484648e-06	presynaptic active zone	2. presynaptic active zone	['GO:0048786']	GO:0048786	0
3	0.07190408315501254	0.2419198553539518	1.0717622275360685	-5.675212499009009	1.6094379124341003	2.112455168839e-06	synaptic membrane	3. synaptic membrane	['GO:0097060', 'GO:0045211', 'GO:0042734', 'GO:0048787']	GO:0097060	0
4	0.15649939427395498	-0.6038395337485047	1.88453533360317	-5.141537223569589	0.6931471805599453	7.21876287953832e-06	distal axon	4. distal axon	['GO:0150034']	GO:0150034	0
5	-1.1707508725219085	0.28836864111026456	1.3740255682042903	-4.841425557539106	1.6094379124341003	1.44070294011874e-05	actin-based cell projection	5. actin-based cell projection	['GO:0098858', 'GO:0030175', 'GO:0032420', 'GO:0016028']	GO:0098858	0
6	-0.23313958117579486	-0.2582501900658058	1.4195417980205032	-4.716834536970577	0.6931471805599453	1.91939987873407e-05	perikaryon	6. perikaryon	['GO:0043204']	GO:0043204	0
7	-0.4622411010254068	0.3134729875956395	1.440872632635482	-4.285863422570621	1.791759469228055	5.17769635141768e-05	synaptic vesicle membrane	7. synaptic vesicle membrane	['GO:0030672', 'GO:0099501', 'GO:0030658', 'GO:0035579', 'GO:0030667']	GO:0030672	0
8	-0.7180499359755235	-0.7312723629242888	1.5471298067274855	-4.126361489643251	0.6931471805599453	7.4754701275216e-05	photoreceptor inner segment	8. photoreceptor inner segment	['GO:0001917']	GO:0001917	0
9	-1.2042444848737068	0.10343572597473656	1.4654719698671392	-4.126361489643251	1.3862943611198906	7.4754701275216e-05	dendritic spine	9. dendritic spine	['GO:0043197', 'GO:0044309', 'GO:0097440']	GO:0043197	0
10	-0.7536523712759144	-0.3328751583265701	1.407670766741649	-4.126361489643251	1.6094379124341003	7.4754701275216e-05	glutamatergic synapse	10. glutamatergic synapse	['GO:0098984', 'GO:0098978', 'GO:0098685', 'GO:0098982']	GO:0098978	0
11	0.7013191358423674	0.7556964823019771	1.3404145877599867	-3.7709936561998085	1.9459101490553132	0.000169436255005713	voltage-gated potassium channel complex	11. voltage-gated potassium channel complex	['GO:0034705', 'GO:0008076', 'GO:0034703', 'GO:0034702', 'GO:1990351', 'GO:0016027']	GO:0008076	0
12	-0.3616722138414319	-0.9350369377980767	1.4722631544766291	-3.4555567649974814	1.0986122886681098	0.000350302498587732	growth cone	12. growth cone	['GO:0030427', 'GO:0030426']	GO:0030426	0
13	0.5378590753183022	-0.885203158871393	1.6274554397433982	-3.3848856357604964	1.3862943611198906	0.0004122060524249	terminal bouton	13. terminal bouton	['GO:0043679', 'GO:0043195', 'GO:0044306']	GO:0043195	0
14	-0.26213512024468105	0.9237158024540396	1.7361482552526377	-2.9069717783038245	0.6931471805599453	0.00123887708968733	stereocilium bundle	14. stereocilium bundle	['GO:0032421']	GO:0032421	0
15	0.25248210561795664	0.9871939353427245	1.7662326209196422	-2.8647372658620394	0.6931471805599453	0.00136540891508295	guanylate cyclase complex, soluble	15. guanylate cyclase complex, soluble	['GO:0008074']	GO:0008074	0
16	0.06332231579507913	-1.0527684211967412	1.7656311907112108	-2.471291656736287	1.0986122886681098	0.00337837880095451	basal cortex	16. basal cortex	['GO:0005938', 'GO:0045180']	GO:0045180	0
17	-0.6008792537637614	0.7525880887946687	1.7038674512540426	-2.3045262984141606	0.6931471805599453	0.00495990892087261	basal part of cell	17. basal part of cell	['GO:0045178']	GO:0045178	0
18	0.5032067300903756	0.9958658088315933	1.2879313033999709	-2.263883808252465	1.0986122886681098	0.00544648349325787	protein serine/threonine phosphatase complex	18. protein serine/threonine phosphatase complex	['GO:0008287', 'GO:1903293']	GO:0008287	0
19	0.6760803460540673	-0.1965950023674513	1.3075853763312901	-2.054868686567556	0.6931471805599453	0.00881315307533023	actin cytoskeleton	19. actin cytoskeleton	['GO:0015629']	GO:0015629	0
20	0.8968008516530397	-0.5184752090873278	1.415633370251093	-2.032922056940695	0.6931471805599453	0.00926996176943023	postsynaptic specialization	20. postsynaptic specialization	['GO:0099572']	GO:0099572	0
