Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0030133	GO:0030133	transport vesicle	1.449e-08	0.000e+00	3.968e+00	1.077e-04
GO:0030133	GO:0070382	exocytic vesicle	8.274e-07	0.000e+00	4.140e+00	7.245e-05
GO:0030133	GO:0008021	synaptic vesicle	1.135e-06	0.000e+00	4.157e+00	6.962e-05
GO:0030133	GO:0042581	specific granule	8.978e-03	0.000e+00	5.581e+00	2.622e-06
GO:0150034	GO:0150034	distal axon	7.219e-06	0.000e+00	6.583e+00	2.610e-07
GO:0097060	GO:0097060	synaptic membrane	2.112e-06	0.000e+00	2.921e+00	1.201e-03
GO:0097060	GO:0045211	postsynaptic membrane	5.685e-04	0.000e+00	3.046e+00	8.999e-04
GO:0097060	GO:0042734	presynaptic membrane	5.035e-04	0.000e+00	4.614e+00	2.432e-05
GO:0097060	GO:0048787	presynaptic active zone membrane	1.213e-04	0.000e+00	5.463e+00	3.440e-06
GO:0045178	GO:0045178	basal part of cell	4.960e-03	0.000e+00	5.495e+00	3.198e-06
GO:0015629	GO:0015629	actin cytoskeleton	8.813e-03	0.000e+00	3.697e+00	2.008e-04
GO:0098858	GO:0098858	actin-based cell projection	1.441e-05	0.000e+00	3.951e+00	1.119e-04
GO:0098858	GO:0030175	filopodium	9.435e-03	0.000e+00	4.203e+00	6.267e-05
GO:0098858	GO:0032420	stereocilium	2.087e-04	0.000e+00	4.805e+00	1.568e-05
GO:0098858	GO:0016028	rhabdomere	4.677e-05	0.000e+00	5.887e+00	1.298e-06
GO:0043204	GO:0043204	perikaryon	1.919e-05	0.000e+00	4.135e+00	7.324e-05
GO:0030426	GO:0030427	site of polarized growth	8.808e-04	0.000e+00	4.099e+00	7.966e-05
GO:0030426	GO:0030426	growth cone	3.503e-04	0.000e+00	4.359e+00	4.374e-05
GO:0099572	GO:0099572	postsynaptic specialization	9.270e-03	0.000e+00	4.119e+00	7.602e-05
GO:0098978	GO:0098984	neuron to neuron synapse	9.270e-03	0.000e+00	4.936e+00	1.159e-05
GO:0098978	GO:0098978	glutamatergic synapse	7.475e-05	0.000e+00	4.086e+00	8.195e-05
GO:0098978	GO:0098685	Schaffer collateral - CA1 synapse	7.475e-05	0.000e+00	4.779e+00	1.665e-05
GO:0098978	GO:0098982	GABA-ergic synapse	2.536e-03	0.000e+00	4.862e+00	1.373e-05
GO:0043197	GO:0043197	dendritic spine	7.475e-05	0.000e+00	4.330e+00	4.682e-05
GO:0043197	GO:0044309	neuron spine	9.063e-05	0.000e+00	4.314e+00	4.850e-05
GO:0043197	GO:0097440	apical dendrite	4.791e-03	0.000e+00	5.904e+00	1.248e-06
GO:0043195	GO:0043679	axon terminus	9.032e-04	0.000e+00	5.095e+00	8.038e-06
GO:0043195	GO:0043195	terminal bouton	4.122e-04	0.000e+00	5.091e+00	8.111e-06
GO:0043195	GO:0044306	neuron projection terminus	1.706e-03	0.000e+00	4.950e+00	1.122e-05
GO:0048786	GO:0048786	presynaptic active zone	1.135e-06	0.000e+00	4.900e+00	1.258e-05
GO:0030672	GO:0030672	synaptic vesicle membrane	5.178e-05	0.000e+00	4.224e+00	5.965e-05
GO:0030672	GO:0099501	exocytic vesicle membrane	5.310e-05	0.000e+00	4.224e+00	5.969e-05
GO:0030672	GO:0030658	transport vesicle membrane	5.808e-05	0.000e+00	3.622e+00	2.385e-04
GO:0030672	GO:0035579	specific granule membrane	1.481e-03	0.000e+00	6.299e+00	5.029e-07
GO:0030672	GO:0030667	secretory granule membrane	8.813e-03	0.000e+00	4.699e+00	1.998e-05
GO:0032421	GO:0032421	stereocilium bundle	1.239e-03	0.000e+00	5.675e+00	2.111e-06
GO:0001917	GO:0001917	photoreceptor inner segment	7.475e-05	0.000e+00	4.698e+00	2.005e-05
GO:0008076	GO:0034705	potassium channel complex	2.638e-04	0.000e+00	3.809e+00	1.554e-04
GO:0008076	GO:0008076	voltage-gated potassium channel complex	1.694e-04	0.000e+00	3.821e+00	1.511e-04
GO:0008076	GO:0034703	cation channel complex	3.503e-04	0.000e+00	3.334e+00	4.639e-04
GO:0008076	GO:0034702	monoatomic ion channel complex	9.031e-04	0.000e+00	3.163e+00	6.863e-04
GO:0008076	GO:1990351	transporter complex	9.485e-03	0.000e+00	2.242e+00	5.723e-03
GO:0008076	GO:0016027	inaD signaling complex	3.825e-04	0.000e+00	6.390e+00	4.069e-07
GO:0008074	GO:0008074	guanylate cyclase complex, soluble	1.365e-03	0.000e+00	5.849e+00	1.417e-06
GO:0008287	GO:0008287	protein serine/threonine phosphatase complex	5.446e-03	0.000e+00	3.625e+00	2.370e-04
GO:0008287	GO:1903293	phosphatase complex	7.445e-03	0.000e+00	3.625e+00	2.372e-04
GO:0045180	GO:0005938	cell cortex	1.706e-03	0.000e+00	3.836e+00	1.458e-04
GO:0045180	GO:0045180	basal cortex	3.378e-03	0.000e+00	5.845e+00	1.428e-06
